@relation Xavier_Henry
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
4,3,13,8,8,3,1584,1610612746,1610612747,2,2,1,0,1,1,22
1,0,11,4,9,6,2131,1610612744,1610612747,0,1,0,0,4,5,14
2,0,6,0,6,3,1320,1610612759,1610612747,0,1,0,0,0,4,3
4,2,11,5,8,6,1556,1610612737,1610612747,0,1,0,0,1,1,18
4,0,8,2,2,1,1260,1610612742,1610612747,0,1,3,2,0,1,5
0,0,5,1,2,1,836,1610612745,1610612747,1,1,1,0,3,3,3
0,0,5,2,2,2,983,1610612740,1610612747,1,1,0,0,1,1,6
0,0,8,1,4,0,855,1610612750,1610612747,3,1,1,0,0,0,2
3,3,8,6,0,0,1329,1610612740,1610612747,0,1,3,0,5,3,15
2,1,5,2,2,1,947,1610612743,1610612747,1,0,0,0,1,2,6
0,0,2,0,0,0,413,1610612763,1610612747,1,1,0,0,1,0,0
1,0,4,2,0,0,1188,1610612765,1610612747,0,0,1,0,0,3,4
0,0,5,1,4,1,1206,1610612744,1610612747,1,0,2,0,1,0,3
4,2,11,7,6,5,1258,1610612758,1610612747,0,0,0,0,3,1,21
2,1,5,2,3,3,697,1610612764,1610612747,1,0,0,0,0,0,8
0,0,1,1,4,3,758,1610612751,1610612747,0,0,0,0,0,1,5
0,0,3,1,3,1,806,1610612765,1610612747,0,1,2,0,0,4,3
4,2,12,9,11,7,1741,1610612757,1610612747,1,1,1,0,1,2,27
0,0,4,2,0,0,1025,1610612758,1610612747,0,3,1,0,3,1,4
3,2,8,6,3,3,848,1610612761,1610612747,0,2,1,0,0,2,17
4,1,13,5,1,1,1724,1610612756,1610612747,0,0,2,0,0,4,12
1,0,7,3,16,9,1625,1610612760,1610612747,0,2,1,0,2,2,15
2,0,6,1,2,2,1259,1610612766,1610612747,0,2,0,1,0,0,4
2,0,14,6,6,6,1606,1610612737,1610612747,2,3,3,0,2,1,18
3,0,8,2,2,1,1180,1610612763,1610612747,0,1,2,1,2,3,5
3,1,19,8,6,4,2514,1610612750,1610612747,0,4,3,0,3,1,21
3,0,9,2,10,9,2159,1610612744,1610612747,0,2,2,0,3,2,13
2,0,12,3,14,7,2051,1610612756,1610612747,1,0,1,1,1,3,13
1,0,8,5,7,4,1557,1610612748,1610612747,2,2,2,0,4,3,14
3,2,7,5,2,0,1807,1610612762,1610612747,1,2,0,0,0,4,12
1,0,2,0,0,0,266,1610612755,1610612747,0,0,0,0,1,0,0
0,0,2,0,0,0,294,1610612757,1610612747,0,0,0,0,0,0,0
1,1,7,4,4,3,862,1610612740,1610612747,0,2,0,0,1,2,12
3,3,10,5,2,2,1159,1610612746,1610612747,0,3,1,0,1,2,15
0,0,7,3,4,4,1880,1610612743,1610612747,1,3,2,0,3,4,10
1,0,3,1,2,2,771,1610612760,1610612747,0,0,0,0,2,1,4
2,0,14,3,2,1,1313,1610612760,1610612747,2,3,3,0,1,1,7
2,0,7,1,4,4,996,1610612759,1610612747,1,1,1,1,0,0,6
5,1,22,9,7,5,1936,1610612759,1610612747,1,0,0,0,1,3,24
1,0,10,6,0,0,1400,1610612764,1610612747,1,2,2,0,2,3,12
4,3,11,8,5,3,1400,1610612752,1610612747,1,0,2,1,2,1,22
3,0,8,2,4,3,1199,1610612749,1610612747,0,1,0,0,1,3,7
0,0,4,0,0,0,788,1610612757,1610612747,0,0,0,0,0,1,0
0,0,4,0,4,3,1108,1610612745,1610612747,1,0,1,0,0,1,3
0,0,0,0,4,2,318,1610612746,1610612747,0,0,0,0,0,0,2
0,0,0,0,0,0,565,1610612744,1610612747,0,0,0,0,0,0,0
0,0,2,0,0,0,442,1610612766,1610612747,0,0,1,0,1,0,0
0,0,2,1,0,0,380,1610612763,1610612747,0,0,0,0,1,1,2
0,0,2,1,2,0,618,1610612740,1610612747,0,1,1,0,0,1,2
0,0,1,0,0,0,263,1610612759,1610612747,0,0,0,0,0,0,0
0,0,1,1,8,6,720,1610612744,1610612747,1,2,0,0,1,3,8
0,0,1,0,6,3,720,1610612742,1610612747,0,0,0,0,0,0,3
