@relation Zaza_Pachulia
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300008,0,0,10,6,1,1,2033,1610612752,1610612749,2,3,2,0,2,4,13
21300024,0,0,10,5,10,10,1776,1610612738,1610612749,6,4,2,1,0,4,20
21300037,0,0,4,3,0,0,863,1610612761,1610612749,1,0,0,0,1,3,6
21300066,0,0,4,2,10,10,2455,1610612739,1610612749,4,7,0,0,3,2,14
21300092,0,0,6,1,3,2,2302,1610612742,1610612749,2,1,3,1,3,4,4
21300107,0,0,4,1,1,1,1077,1610612748,1610612749,1,0,0,0,3,1,3
21300125,0,0,14,2,0,0,1482,1610612754,1610612749,9,1,0,0,0,0,4
21300144,1,0,13,3,1,1,2200,1610612760,1610612749,3,3,2,0,3,3,7
21300167,0,0,10,4,4,3,1700,1610612757,1610612749,4,0,1,1,3,3,11
21300177,0,0,8,3,1,1,2054,1610612755,1610612749,3,0,0,0,2,1,7
21300193,0,0,2,0,0,0,710,1610612766,1610612749,0,0,1,0,0,0,0
21300204,0,0,3,2,4,4,1045,1610612765,1610612749,0,2,1,0,1,3,8
21300222,0,0,2,1,2,1,2173,1610612764,1610612749,7,2,1,0,3,5,3
21300228,0,0,4,2,2,2,1017,1610612766,1610612749,0,3,1,0,1,2,6
21300247,0,0,4,0,2,2,1337,1610612738,1610612749,2,3,0,1,2,5,2
21300262,0,0,5,3,2,2,1083,1610612738,1610612749,2,1,0,1,1,2,8
21300272,0,0,2,0,2,2,372,1610612765,1610612749,1,0,2,0,1,1,2
21300702,0,0,2,2,0,0,746,1610612763,1610612749,1,1,1,0,1,1,4
21300714,0,0,9,4,4,4,1105,1610612752,1610612749,5,2,1,0,1,1,12
21300734,0,0,6,2,12,11,1348,1610612743,1610612749,3,2,2,0,2,3,15
21300753,0,0,5,5,2,2,1767,1610612745,1610612749,3,5,1,0,2,4,12
21300767,0,0,8,3,2,2,1912,1610612738,1610612749,5,4,2,0,3,3,8
21300785,0,0,11,3,2,2,2259,1610612740,1610612749,2,2,0,0,2,2,8
21300797,0,0,3,2,4,2,941,1610612753,1610612749,0,0,0,0,1,1,6
21300812,0,0,5,1,4,3,1421,1610612743,1610612749,1,2,0,0,4,3,5
21300829,0,0,5,1,10,8,1620,1610612754,1610612749,4,2,2,0,2,3,10
21300841,0,0,3,1,0,0,1093,1610612755,1610612749,4,2,2,0,1,1,2
21300863,0,0,8,1,0,0,1539,1610612754,1610612749,5,2,0,0,0,2,2
21300878,0,0,5,1,0,0,893,1610612751,1610612749,3,0,0,1,3,1,2
21300894,0,0,4,3,8,8,1539,1610612762,1610612749,2,5,0,1,1,2,14
21300910,0,0,5,2,0,0,983,1610612758,1610612749,0,3,0,0,3,4,4
21300923,0,0,8,3,1,0,1814,1610612740,1610612749,3,4,0,0,1,2,6
21300931,0,0,7,2,2,2,1765,1610612764,1610612749,2,3,2,0,1,1,6
21300947,0,0,5,2,0,0,1031,1610612753,1610612749,3,0,1,1,0,1,4
21300954,0,0,7,4,2,1,1671,1610612750,1610612749,0,10,0,0,1,2,9
21300969,0,0,6,2,0,0,1389,1610612737,1610612749,1,1,1,0,3,2,4
21300981,0,0,3,2,0,0,1173,1610612752,1610612749,2,4,1,0,1,1,4
21300987,0,0,9,3,4,2,2301,1610612766,1610612749,3,3,3,0,2,1,8
21301005,0,0,14,7,3,3,2213,1610612757,1610612749,6,3,4,0,3,1,17
21301021,0,0,4,3,0,0,1535,1610612744,1610612749,0,4,1,0,3,2,6
21301043,0,0,8,4,2,0,1191,1610612758,1610612749,3,0,0,0,2,5,8
21301056,0,0,11,7,0,0,2117,1610612746,1610612749,3,8,1,0,1,2,14
21301073,0,0,6,4,2,2,1283,1610612747,1610612749,1,2,2,0,1,3,10
21301091,0,0,6,2,0,0,1082,1610612748,1610612749,1,1,1,0,2,3,4
21301104,0,0,13,6,0,0,2094,1610612765,1610612749,7,6,0,3,3,2,12
21301121,0,0,5,3,2,2,1527,1610612748,1610612749,6,4,0,0,0,2,8
21301137,0,0,10,5,4,3,2408,1610612741,1610612749,2,3,0,1,2,3,13
21301148,0,0,1,0,0,0,536,1610612761,1610612749,0,1,0,0,1,4,0
21301168,0,0,10,6,4,3,1965,1610612754,1610612749,2,1,0,1,1,3,15
21301185,0,0,13,6,5,4,1799,1610612739,1610612749,5,4,1,0,1,4,16
21301191,0,0,9,4,2,1,1461,1610612764,1610612749,3,5,0,0,4,1,9
21301205,0,0,5,3,0,0,1002,1610612761,1610612749,1,3,0,1,1,2,6
21301217,0,0,5,2,4,3,1273,1610612737,1610612749,2,4,0,0,3,3,7
21400004,0,0,5,2,0,0,868,1610612766,1610612749,0,0,2,1,3,1,4
21400031,0,0,3,1,0,0,848,1610612764,1610612749,1,1,0,0,3,1,2
21400049,0,0,7,4,2,1,1221,1610612754,1610612749,0,3,1,1,1,4,9
21400062,0,0,5,1,1,1,1106,1610612741,1610612749,1,3,1,0,2,2,3
21400076,0,0,3,3,0,0,1017,1610612765,1610612749,1,1,2,1,1,3,6
21400088,0,0,4,2,0,0,889,1610612763,1610612749,2,0,0,0,0,4,4
21400105,0,0,7,3,2,2,1349,1610612760,1610612749,4,4,2,1,2,4,8
21400123,0,0,3,1,0,0,894,1610612753,1610612749,1,1,0,0,2,4,2
21400143,1,0,9,5,1,1,1517,1610612748,1610612749,2,2,1,0,2,3,11
21400156,0,0,11,6,2,2,2073,1610612752,1610612749,7,4,2,0,4,2,14
21400164,0,0,7,2,0,0,1738,1610612751,1610612749,2,1,1,1,2,5,4
21400175,0,0,3,1,4,3,518,1610612761,1610612749,1,0,2,0,1,1,5
21400190,0,0,8,3,0,0,1557,1610612764,1610612749,1,2,0,1,1,2,6
21400207,0,0,8,4,0,0,1059,1610612765,1610612749,4,1,0,0,2,3,8
21400218,0,0,3,2,2,2,1174,1610612750,1610612749,1,2,2,0,1,1,6
21400253,0,0,6,2,2,1,1521,1610612739,1610612749,3,1,1,1,1,2,5
21400269,0,0,6,3,2,2,1563,1610612742,1610612749,1,2,0,0,1,2,8
21400285,0,0,2,2,0,0,1414,1610612748,1610612749,2,2,2,1,5,4,4
21400298,1,0,10,5,4,4,1230,1610612742,1610612749,3,1,1,0,1,3,14
21400312,0,0,5,3,1,1,1777,1610612760,1610612749,0,5,0,0,2,4,7
21400344,0,0,6,1,4,2,1177,1610612746,1610612749,1,3,0,1,2,0,4
21400360,0,0,9,6,3,1,1734,1610612756,1610612749,1,5,2,0,1,1,13
21400376,0,0,3,1,4,3,1569,1610612757,1610612749,3,3,0,0,1,1,5
21400381,0,0,7,2,6,3,1575,1610612758,1610612749,2,2,0,0,2,5,7
21400399,0,0,3,1,4,3,1209,1610612746,1610612749,2,2,0,0,2,1,5
21400423,0,0,6,1,1,1,1015,1610612766,1610612749,2,2,0,0,2,2,3
