@relation Aaron_Gray
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,1.0,0,363,1,4
0,0.0,0,376,1,0
0,0,0,1,0,0
0,0,0.5,448,1,1
0,0.5,0.5,791,6,7
0,0,0,354,0,0
0.0,0.3333333333333333,0,316,0,2
0,0.0,0,357,2,0
0,0,0,497,0,0
0,0,0,178,1,0
0,0,0,75,0,0
0,0.0,0,305,0,0
0,0,0,317,0,0
0,0.5,0.25,624,0,3
0,1.0,0,132,0,4
0,0,0,722,0,0
0,1.0,0,676,0,2
0,0.0,1.0,138,1,2
0,0.0,0.0,707,0,0
0,0.3333333333333333,0.5,2178,3,3
0,0.75,0,1508,3,6
0,0.0,0,383,2,0
0,0.4,0,1359,3,4
0,1.0,0,1354,1,4
0,0.0,0.5,860,4,1
0,0,0,496,1,0
0,0.0,1.0,317,2,2
0,0,0,483,0,0
0,0,0,267,0,0
0,1.0,0,772,1,2
0,0.6666666666666666,0,1161,0,4
0,0,0,71,0,0
0,0.5,1.0,262,2,4
0,1.0,0,114,0,2
0,0,0,268,1,0
0,0.5,0,469,0,2
0,0.375,0,1562,6,6
