@relation Alex_Len
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,1.0,0,484,1,2
0,0.3333333333333333,0.5,783,1,3
0,0.0,0,319,0,0
0,0.5,0,283,3,2
0,1.0,0.5,365,1,3
0,0.3333333333333333,0,715,4,2
0,0.3333333333333333,0,312,1,2
0,0.0,0,424,3,0
0,0,0,0,0,0
0,0.3333333333333333,0,267,1,2
0,0.0,0,76,0,0
0,0.75,0.75,974,4,9
0,0.0,0,327,0,0
0,1.0,1.0,377,0,4
0,0,0,386,0,0
0,1.0,1.0,828,0,6
0,0.75,1.0,1319,3,7
0,0.0,0,862,1,0
0,0.3333333333333333,0,1135,1,2
0,0.3333333333333333,0,870,0,2
0,0,0,363,0,0
0,0.0,0,567,2,0
0,0.5,0,407,0,2
0,0.5,0,415,0,2
0,0,0,76,0,0
0,0,0.25,644,1,1
0,0.375,0,1140,2,6
0,0.6666666666666666,0.6666666666666666,671,3,6
0,0,0.75,902,0,3
0,1.0,0,152,0,2
0,1.0,0.6666666666666666,533,1,6
0,0.0,0,474,0,0
0,0,0,466,0,0
0,0.8,0.5,685,2,9
0,0.0,0,764,1,0
0,0.0,0.5,312,1,1
0,0,0,167,0,0
0,0,0,255,0,0
0,0.5,0,360,2,2
0,0,0,175,0,0
0,0,0,125,0,0
0,0.0,0,978,0,0
0,0.25,1.0,1122,1,3
0,0.6666666666666666,0.6666666666666666,1900,4,10
0,1.0,0,1068,1,4
0,0,1.0,1219,2,2
0,0.0,1.0,1466,2,2
0,0.25,1.0,627,0,3
0,0.5,0,461,0,2
0,0.5,0.5,712,3,5
0,1.0,1.0,844,1,4
0,0.6363636363636364,1.0,1549,5,17
0,0.8,1.0,1724,3,19
0,1.0,0,983,1,6
0,1.0,0,1140,1,4
0,1.0,0,1252,3,6
0,0.25,0,1226,1,2
0,0.8,1.0,701,1,10
0,0.0,0,1117,1,0
0,0.0,0,951,3,0
0,0.0,0,905,0,0
0,0.75,0,675,1,6
1.0,0.5,0.6666666666666666,1041,1,9
0,0.5454545454545454,0.4,1580,2,14
0,0.0,0,1238,2,0
0.0,0.0,0,723,0,0
0,0.5,0,1070,2,2
0,0.2857142857142857,0.6666666666666666,1148,4,6
0,0.8333333333333334,0,1127,1,10
0,0.16666666666666666,1.0,1249,5,4
0,1.0,0.3333333333333333,1413,4,8
0,0.6666666666666666,0.7142857142857143,1668,3,17
0,0.5555555555555556,0,1407,5,10
0,0.6666666666666666,0,1510,2,8
0,0.6666666666666666,0,1201,1,4
0,0.5,0,1289,0,2
0,0.0,0,987,2,0
0,0.8333333333333334,0,912,2,10
0,0.5714285714285714,0.5,1439,2,9
0.0,0.6666666666666666,1.0,1622,3,9
0,0.4,0,1759,1,4
0,0.5555555555555556,1.0,1836,4,14
0,0.625,0.75,2241,3,13
0,0.5,0,1309,5,6
0,0.5,1.0,1132,1,6
0,0.75,0,1163,2,6
0,0.6666666666666666,0.0,1444,3,4
0,0.75,0.75,1494,1,15
0,0.5714285714285714,0,1500,0,8
0,0.75,0.5,1243,1,7
0,0.0,0,1160,1,0
0,0.0,0.0,1328,2,0
0,0.6666666666666666,1.0,563,1,5
0,0.5714285714285714,0,2056,2,8
0,0.7142857142857143,0,1899,1,10
0,0.5454545454545454,0,2250,1,12
0,0.2222222222222222,0.6666666666666666,1950,0,6
0,0.4444444444444444,1.0,1627,3,10
0,0.2,0,1337,2,2
0,0.5,0.6,997,2,5
0,0.5,1.0,1676,0,10
0,0.5,0,1141,1,2
0,0.0,0.0,1466,2,0
0,0.4,1.0,2103,5,11
0,0.25,0.5,1245,5,6
0,0.2,0.3333333333333333,1074,4,5
0,0.7142857142857143,0,1544,2,10
0,0.2857142857142857,1.0,1500,6,6
0,0.6,0,1789,2,6
0,0.3333333333333333,0,1487,3,2
0,0.375,0,1502,1,6
0,0.3333333333333333,0.5,813,3,4
0,0.6666666666666666,0.5,1125,1,10
0,0.125,0,781,2,2
0,0.0,1.0,415,0,2
0,0.5833333333333334,0.6666666666666666,1330,4,16
0,0.5,1.0,531,2,4
0,0.6666666666666666,1.0,1200,1,8
0,0.25,0.0,1131,1,2
0,0.0,1.0,975,0,4
0,0.5714285714285714,0.6666666666666666,1524,2,10
0,1.0,0.0,1024,2,6
0,1.0,0.5,862,1,9
0,0,0,108,0,0
0,0.0,0,382,0,0
0,0.5,0.0,941,3,2
0,0.0,1.0,566,2,2
0,0.5,0,1674,3,8
