@relation Alexis_Ajinca
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.5,0,1001,5,4
0,0.75,0,853,1,6
0,0.6666666666666666,0,1210,2,4
0,0.5,0,301,0,2
0,0,0,113,0,0
0,0.3333333333333333,0,701,1,2
0,0.0,0,724,1,0
0,0.7142857142857143,0.7,1890,3,17
0,0.5,1.0,850,1,4
0,0.6,0,882,1,6
0,0,0,301,1,0
0,1.0,0,710,2,2
0,0.5,0.5,1198,0,7
0,1.0,0,739,1,2
0,0.0,1.0,696,2,2
0,0.625,0,1320,1,10
0,0.6666666666666666,0,958,1,4
0,0.6,0,926,0,6
0,0.0,0,472,1,0
0,0.0,0,1047,1,0
0,0.4,0,977,2,4
0,1.0,0,1086,3,8
0,0.6666666666666666,0,1629,3,8
0,0.6666666666666666,0,888,1,4
0,1.0,0,783,1,4
0,0.0,0,671,1,0
0,0.3333333333333333,0,557,1,2
0,1.0,1.0,1307,1,16
0,0.3333333333333333,0.0,745,1,2
0,1.0,0,836,0,2
0,0.3333333333333333,1.0,1595,2,9
0,0.5384615384615384,0.8333333333333334,1599,6,19
0,0.6,1.0,1541,4,14
0,1.0,0,862,1,4
0,0.6666666666666666,0.75,1718,4,11
0,0.5,0,1216,3,4
0,0.3333333333333333,1.0,949,1,4
0,0.0,0,753,0,0
0,0,0,670,0,0
0,0.2,0,1088,2,2
0,0.0,0,574,0,0
0,0.75,1.0,1285,2,10
0,0.6,0.5,795,1,7
0,0.75,0.5,756,1,7
0,0.5,0,1291,4,6
0,0.5454545454545454,1.0,1655,4,14
0.0,0.5,1.0,1682,3,9
0,0.16666666666666666,0,1629,2,2
0,0.0,0,500,1,0
0,0.6,0.75,1183,0,9
0,1.0,1.0,648,2,6
0,0.5454545454545454,1.0,840,4,13
0,0.36363636363636365,1.0,1336,2,12
0,0.5833333333333334,1.0,1956,3,17
0,0.8,1.0,1150,2,10
0,0.7142857142857143,0.5,1393,1,11
0,1.0,0,149,0,2
0,0.6666666666666666,0.5,614,0,5
0,0.3333333333333333,0,302,1,2
0,1.0,0,527,0,2
0,0.5,0.8,699,0,6
0,0.5,0,793,0,2
0,0.6,0,948,2,6
0,1.0,0.5,1173,1,5
0,0.75,1.0,1265,3,12
0,0.75,0,1128,4,6
0,0.0,0,202,0,0
0,0.0,1.0,356,0,2
0,1.0,0.0,550,2,4
0,1.0,0.5,615,0,10
0,1.0,1.0,277,0,4
0,0,0,196,0,0
0,0.5714285714285714,1.0,878,4,10
0,0.7142857142857143,0,677,1,10
0,1.0,0,648,0,2
0,0.5,0,608,2,4
0,0.5,0,641,0,2
0,0.42857142857142855,0,965,3,6
0,0.0,0,118,1,0
0,1.0,0.5,262,0,3
0,0.5,0,382,2,2
0,0,0,25,0,0
0,0.6666666666666666,1.0,1501,4,16
0,0.7692307692307693,1.0,2036,2,22
0,0.375,0.4,1559,6,8
0,0.0,0,377,2,0
0,0.5,1.0,831,1,6
0,0,0,264,0,0
0,0.25,1.0,1048,3,5
0,0.5454545454545454,1.0,1466,4,17
0,0.75,0,525,1,6
0,0.0,0,181,1,0
0,0.5555555555555556,0,1335,2,10
0,0.5714285714285714,0,1609,3,8
0,0.375,1.0,1526,3,14
0,0.3333333333333333,0,583,0,2
0,0.75,1.0,652,2,8
0,0.6666666666666666,0,1642,4,16
0,0.9,0.75,1298,2,24
0,0.5,1.0,1299,1,10
0,0.6666666666666666,0.5,1506,5,13
0,0.5,0,1399,2,10
0,1.0,0,584,2,4
0,0.42857142857142855,0,1077,1,6
0,0.375,0,1072,1,6
0,0.5,1.0,1375,1,17
0,1.0,1.0,723,0,4
0,0.14285714285714285,0.5,1041,2,3
0,0.38461538461538464,0,1555,3,10
0,0.6,1.0,1133,2,15
0,0.45454545454545453,0.5,1594,5,11
0,0.6,1.0,912,2,8
0,0.6,0,731,5,6
0,0.5,1.0,1363,1,10
0,0.3333333333333333,1.0,831,1,6
0,0,0,612,0,0
0,0.6666666666666666,0,745,0,4
0,0.5,0.5,906,1,5
0,0.75,0.5,674,1,7
0,0.3333333333333333,1.0,1053,2,5
0,0.0,0,169,0,0
0,1.0,0,221,0,6
0,0,0,264,0,0
0,1.0,0,140,0,2
0,0.42857142857142855,0,1016,3,6
0,0.0,1.0,441,1,2
0,0.6,1.0,369,4,7
0,0.4,0,1229,1,4
0,1.0,0,524,0,4
0,0.8,0,986,3,8
0,0.0,0,326,0,0
0,0.0,0,521,1,0
0,0.5555555555555556,0,1425,2,10
0,0.0,0,421,1,0
0,0.6666666666666666,0,249,0,4
0,0.75,0,1358,1,12
0,0.5,1.0,690,0,8
0,0.5,0,261,0,2
