@relation Andre_Iguodala
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.3333333333333333,0.42857142857142855,0,1669,0,7
0.3333333333333333,0.625,0.5,2569,1,14
0.3333333333333333,0.4,0,2360,1,5
0.6363636363636364,0.6111111111111112,0.75,1959,1,32
0.3333333333333333,0.6153846153846154,0.5,2499,1,20
0.0,0.5714285714285714,0.5,2643,0,9
0.5,0.8,0.2,1982,1,19
0.6666666666666666,0.3333333333333333,1.0,1917,1,8
1.0,0.8333333333333334,1.0,2245,0,14
0.6,0.75,0.5,2271,0,16
0.6666666666666666,0.5,0.8333333333333334,2296,0,11
0.0,0.21428571428571427,0.5,2865,0,7
0.5,0.25,0.75,1676,1,6
0.0,0.25,0,1043,0,2
0.0,0.75,0,1862,1,6
0.0,0.16666666666666666,0.5,1464,1,3
0.5,0.5,0,1851,1,12
1.0,0.6,0.0,1999,2,9
1.0,0.75,0,1500,1,8
0.0,0.42857142857142855,0.6666666666666666,2365,1,8
0.4,0.5,0,1293,0,8
1.0,0.5,0,2031,0,8
0.3333333333333333,0.6,0,1608,1,7
0,0.6,0.75,1683,0,9
1.0,1.0,0.5,1744,0,11
0.3333333333333333,0.2,0,1816,1,3
0.4,0.6428571428571429,0.6666666666666666,2287,1,22
0.0,0.14285714285714285,0.5,2184,0,3
0.0,0.125,0.0,1773,2,2
0.0,0.42857142857142855,1.0,2150,0,8
0.3333333333333333,0.4,1.0,1770,0,7
0.3333333333333333,0.6666666666666666,0.6,1969,0,16
0.6666666666666666,0.45454545454545453,0,2224,2,12
0.0,0.2857142857142857,0.5,1993,2,5
0.0,0.42857142857142855,0.6666666666666666,1808,0,8
0.0,0.16666666666666666,0.6666666666666666,2212,1,4
0.0,0.375,0,2024,1,6
0.0,0.3,0.3333333333333333,2431,2,7
0.5,0.5555555555555556,0.3333333333333333,2358,3,12
0.2,0.4444444444444444,1.0,1994,2,11
0.5,0.5714285714285714,0,2372,1,9
0.0,0.5454545454545454,1.0,2187,0,13
0.3333333333333333,0.5,1.0,2311,2,11
0.0,0.5,0,2651,1,8
0.0,0.2,0,1597,1,4
0.0,0.125,0.75,1265,1,5
0.0,0.25,0.6,1566,0,7
0.0,0.5,1.0,1829,2,8
0.0,0.3333333333333333,0,1404,0,6
1.0,0.5555555555555556,0,1376,1,11
1.0,0.5555555555555556,1.0,1877,1,13
0.5,0.3333333333333333,0.5,2133,2,7
0.0,0.5,0.0,1531,2,4
1.0,0.7142857142857143,0.6666666666666666,1854,0,13
0.5,0.5,1.0,1847,0,11
0.0,0.4,0,1822,2,4
1.0,0.6666666666666666,0,1731,1,5
0.5,0.25,0.9,2034,1,12
0.6666666666666666,0.7777777777777778,0.0,2437,2,16
0,0.5,0,1038,0,4
0.3333333333333333,0.6666666666666666,1.0,1295,0,11
0.0,0.3333333333333333,1.0,1616,1,6
0.3333333333333333,0.7,0,2223,0,15
0.0,0.16666666666666666,0.0,1755,0,2
0.25,0.5,0,1960,1,9
0.0,0.3333333333333333,0.5,1899,1,5
1.0,1.0,1.0,1234,0,9
0.5,0.5454545454545454,0.5,1875,2,15
0.0,0.0,0.5,1868,1,1
0,0.5,0,1339,0,2
0.0,0.25,0.3333333333333333,1908,0,5
0.0,0.0,0,1535,1,0
0.6666666666666666,0.6666666666666666,0.0,1238,2,10
1.0,0.875,0.5,1482,0,17
0.0,0.42857142857142855,1.0,1649,0,7
0.3333333333333333,0.5,0,1109,0,5
0.75,0.5,0.5,1634,0,13
0.3333333333333333,0.3333333333333333,0,1941,2,3
0.3333333333333333,0.2,0.6666666666666666,1637,0,7
0.0,0.6,0,1812,0,6
0.0,0.5,0.0,1390,0,6
0.0,0.5,0,1815,2,6
0.0,0.4,0,1437,2,8
0.0,0.0,0.5,1444,0,1
0.0,0.16666666666666666,0,1750,1,2
0.75,0.5833333333333334,0.6,2274,2,20
0.3333333333333333,0.3,0,1916,1,9
0.5,0.3333333333333333,0.5,1776,0,7
0.6666666666666666,0.8333333333333334,0,1426,0,12
0.3333333333333333,0.25,0,904,0,3
0.0,0.3333333333333333,0.5,1255,1,5
0.5,0.5,1.0,1632,0,10
1.0,1.0,0,1198,0,7
0.0,0.2,0.2,1751,2,3
0.25,0.42857142857142855,1.0,2024,0,8
0.0,0.2,0.75,1913,2,5
0.5,0.5,1.0,1472,0,5
0,0.5,0,1509,0,4
0.5,0.8,0,1817,0,9
1.0,0.8,0.0,1611,1,9
0.5,0.5,0,1039,0,7
