@relation Andre_Miller
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.6666666666666666,0,1277,0,12
0,1.0,0.4,1012,0,10
1.0,0.3333333333333333,0,1756,0,6
1.0,0.6,0,1241,0,7
0,0.2,1.0,815,0,6
1.0,0.625,1.0,1597,1,15
0.0,0.3,1.0,1274,0,7
1.0,0.5,0.6,1236,2,13
0,0.0,0,933,0,0
0,0.0,0.5,681,0,1
0,1.0,0,853,0,2
0,0.0,0,923,0,0
0,0.6666666666666666,0,1146,3,4
0,0.4,1.0,1230,2,10
1.0,0.6,0,1199,1,7
1.0,0.5714285714285714,0,1386,0,9
0,0,0,1337,0,0
0,0.0,0,1022,1,0
0.0,0.8333333333333334,0,1437,1,10
0.0,0.3333333333333333,1.0,1727,1,8
0.0,0.0,0.5,1313,0,3
0,0.6,0.8333333333333334,1673,0,11
0.5,0.4444444444444444,0,930,1,9
0,0.0,0,340,1,0
0,1.0,1.0,990,0,6
0.0,0.0,0,938,1,0
0,0.75,0.6666666666666666,1791,1,14
0.0,0.0,0,910,0,0
0,1.0,0.6666666666666666,665,0,4
0,0.5,0,583,0,2
0,0.3333333333333333,0.75,979,1,5
0,0.25,0,787,0,2
1.0,0.3333333333333333,1.0,845,2,5
0,0.7142857142857143,0.5,874,0,11
0,0.0,1.0,895,0,2
0,0.0,0,607,0,0
0,0.25,0,789,1,2
0,0.6,0,716,0,6
0,0.5,0,883,0,2
0.0,0.75,0,815,0,6
0,0.3333333333333333,0.8333333333333334,769,1,7
0,0.0,1.0,751,0,2
0,0.16666666666666666,0.6666666666666666,1142,0,4
0,0.0,0,856,1,0
1.0,1.0,0.5,805,0,8
0,0.3333333333333333,0,779,0,2
0,0.5,1.0,1295,0,7
0,0.5,1.0,642,2,4
0,1.0,1.0,1125,0,10
0,0.4,0,1124,1,4
0,1.0,0,1189,1,2
0,0.42857142857142855,0,917,1,6
0,0.0,0,515,0,0
0,0.5,0,650,0,4
0,0,0,652,0,0
0,0,0,817,0,0
0,0.0,1.0,1304,1,2
0,1.0,0,1174,0,4
0.0,0.0,0,624,0,0
0,0.0,1.0,677,0,2
0,0,0,602,0,0
0,0.6,0,1005,0,12
0,0.5,0,606,1,2
0,1.0,0.5,1060,1,10
0,0.0,1.0,809,1,2
0,0,0.5,665,0,1
0,0.6666666666666666,0,893,0,4
0,0.5,0,801,1,2
0,1.0,0,637,0,6
0,0.6666666666666666,0.0,682,2,8
0,1.0,0,574,0,4
0,0.75,0.5,923,0,7
0.0,0.3333333333333333,0,862,1,4
0,1.0,0,983,0,6
0,0.6666666666666666,0,679,0,4
0,1.0,0,930,0,4
0,1.0,0,389,0,2
0.0,0.5,0.75,829,0,7
0,0,0.5,791,0,1
0,0.0,1.0,604,0,2
0,0.8333333333333334,0,734,2,10
0.0,0.0,0,449,1,0
0,1.0,0,613,0,4
0,0.0,0,521,0,0
0,0.6666666666666666,0,870,1,8
0,0,0.5,690,0,1
0,0.3333333333333333,0,1053,1,2
0,0.6666666666666666,0,666,1,4
0,0.5,0,1046,0,2
1.0,0.5555555555555556,1.0,1187,1,15
0,0.0,0,738,1,0
0,1.0,1.0,853,1,12
0,1.0,0,869,0,2
0.0,0.0,0,764,1,0
0,0.0,0,428,1,0
0,1.0,0,725,0,2
0,0.5,0.75,626,0,7
0.0,0.4,0,845,0,4
0,0,0,716,0,0
0,0,0,893,0,0
0,0.0,0.0,550,0,0
0,0.5,0,761,0,4
0,0.25,0,644,2,2
0,0.5,0,697,0,4
0,1.0,0,286,1,2
0,0,0,207,0,0
0,0.5,1.0,1306,0,4
0,0.0,1.0,832,0,2
0.0,0.25,0,699,0,2
0,0.4,0,1317,1,4
0.0,0.5714285714285714,0.6666666666666666,1010,0,10
0,0.8571428571428571,0,1555,0,12
0,0.0,0,1207,0,0
0.0,0.3333333333333333,1.0,1089,0,4
0.25,0.125,0,1396,2,3
0.0,0.375,0.5,1817,1,7
0.0,0.6666666666666666,1.0,1349,1,6
0.3333333333333333,0.3333333333333333,0,1549,1,7
0,0.1,1.0,1419,2,4
0.0,0.16666666666666666,0.6666666666666666,1339,2,4
0,0.6,1.0,1396,1,8
0,0.5,0,1561,0,4
1.0,0.8571428571428571,1.0,1692,0,16
1.0,0.5,0,1498,1,7
0.0,0.42857142857142855,0,1058,0,6
0,1.0,1.0,941,0,4
0.5,0.2,1.0,1064,1,7
0.0,0.5,0,833,0,4
0,0.0,0,1145,0,0
0,0,0,755,0,0
0,0.5,0,792,0,2
0.0,0.5,0.0,881,0,2
0.0,0.3333333333333333,0,1516,0,4
0.0,0.5,0.6666666666666666,1429,2,8
0,0.7142857142857143,0,1611,0,10
0,0,0,148,0,0
0,0,0,239,0,0
0,0,0,182,0,0
0,0.625,0.5,1300,2,11
0,0.8,1.0,1362,1,10
0.0,0.5,0,2011,1,8
0,0.0,0,527,0,0
1.0,1.0,1.0,1126,0,12
0,0.5714285714285714,1.0,1278,0,11
