@relation Andre_Roberson
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.0,0,556,4,0
0,1.0,0,92,1,2
0,1.0,0,766,1,2
0,0,0,109,0,0
0,0,0.5,768,1,1
0,0,0,47,0,0
0,1.0,0,735,1,2
1.0,0.6666666666666666,1.0,1148,2,7
0.0,0.25,0,1335,2,2
0,0,0,76,0,0
0,1.0,0,145,0,2
0,1.0,0,335,1,4
0,0.0,0,437,0,0
0,0.5,0,396,0,2
0,0,0,630,0,0
0.0,0.6666666666666666,0.5,784,2,5
0,0.0,0,131,0,0
0,0.3333333333333333,0,514,2,2
0,0,0.5,34,0,1
0,0,0,18,0,0
0,0,0,78,0,0
0,0.5,0,806,1,4
0,0,0,114,0,0
0,0.5,0,388,3,2
0,1.0,0,482,0,2
0,0,0,805,1,0
0.0,0.5,1.0,1447,2,8
0.0,0.3333333333333333,0,1419,1,2
0.0,0.3333333333333333,0,856,1,2
0.0,0.25,0,1027,3,4
0,0,0,848,0,0
0,0.5,0,1105,1,2
0,0.0,0,792,1,0
0,1.0,0,914,0,6
0,0.0,0,1108,1,0
1.0,1.0,0,885,2,5
0.0,0.0,0,814,1,0
0,0,0,319,0,0
0,0,0,297,0,0
0,1.0,0,383,1,6
0,0.75,0,2096,1,6
0.0,0.6,0.75,2231,0,9
0.0,0.5,1.0,2125,1,8
0,0.0,0.5,688,2,1
0.25,0.25,0,401,0,3
0.0,0.4,0,1297,1,4
0.0,0.25,0,2002,0,2
0.0,0.5,0.5,1523,0,5
0.0,0.2857142857142857,0.5,1482,2,5
0,0.0,0,1086,2,0
0,1.0,0,1072,1,2
0.0,0.6666666666666666,0,903,2,4
0.0,0.3333333333333333,0,1360,0,2
0.0,0.6666666666666666,0,876,0,4
0.0,0.2857142857142857,0.25,1527,3,5
0,0,0,1161,1,0
0,0.6666666666666666,0,1400,1,4
0.3333333333333333,0.5,0.5,2057,2,10
0.5,0.5714285714285714,0.0,2180,2,10
0.0,0.75,0.5,1561,1,7
0.0,0.2,0,1243,0,2
1.0,0.6666666666666666,0.3333333333333333,1502,4,7
0.0,0.4,0,1566,1,4
0,0,0.5,1216,0,1
0.0,0.25,0.5,1061,4,3
0,0,0.0,1337,1,0
0.0,0.4,0,1219,1,4
0,0,0.5,501,0,1
0.0,0.25,0,860,1,2
0.0,0.0,0,481,1,0
0.0,0.3333333333333333,0,758,1,2
0.6666666666666666,0.75,0.5,1452,1,10
0.5,0.5,0,858,1,5
0,0,0,980,0,0
1.0,1.0,0,921,0,6
0,1.0,0,898,1,2
0,1.0,0,718,0,2
0,0,0,883,0,0
1.0,1.0,0,830,0,3
0.0,0.2,0,1365,1,2
0,0,0,704,1,0
0.5,0.75,0,1357,1,7
0,0.3333333333333333,0.5,1390,2,3
0.6666666666666666,0.8333333333333334,0,1467,0,12
0.0,0.3333333333333333,0,1009,1,2
0.0,0.2222222222222222,0.0,911,6,4
0.0,0.5,0,876,0,2
0,1.0,0,681,2,2
0,1.0,0,1034,0,2
0.0,0.0,0,1133,1,0
0.3333333333333333,0.3333333333333333,0,1196,0,3
0.6666666666666666,0.5,0,1106,1,8
0,0,0,700,0,0
0.0,0.5,0,1361,0,2
0,1.0,0,1299,0,6
0.0,0.0,0,648,0,0
0,0,1.0,1104,1,2
0,0.6666666666666666,0,1242,0,4
1.0,1.0,0,747,0,3
0.3333333333333333,0.5,0,1047,0,5
0,0,0,89,0,0
0.0,0.2,0,960,2,2
0.0,0.3333333333333333,0,1275,0,2
0.0,0.0,0,659,1,0
0,1.0,0,995,0,2
0.0,0.0,0,1128,0,0
0.3333333333333333,0.5714285714285714,0.5,1221,1,10
1.0,0.6,0,1344,1,7
0.3333333333333333,0.3333333333333333,1.0,1604,0,5
0.5,0.3333333333333333,0,889,1,3
0.0,0.42857142857142855,0.5,1357,2,7
0.3333333333333333,0.5,0,1494,0,7
0.0,0.3333333333333333,0.5,1126,0,5
0.5,0.6,0,1502,0,7
0.5,0.6,0.5,1767,4,8
0.0,0.25,0,1577,1,2
0.4,0.3333333333333333,0.5,1979,2,7
0.0,0.25,0,988,0,2
0,0.6666666666666666,0,1311,0,4
0.0,0.3333333333333333,0,1856,0,2
