@relation Andrea_Bargnani
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.3333333333333333,0,1029,0,6
0.5,0.5714285714285714,0,1478,1,9
0.5,0.6,0,1126,1,14
0,0.4,1.0,1382,1,6
0.3333333333333333,0.44,0,2088,3,25
0.5,0.5,0.8333333333333334,1561,0,16
0.5,0.5333333333333333,1.0,1859,4,20
1.0,0.75,0.75,1978,3,24
0.25,0.45454545454545453,0.8333333333333334,1705,4,16
0.0,0.5,1.0,2278,1,13
0.16666666666666666,0.25,0.5,2277,2,10
0.25,0.35714285714285715,0,2002,2,11
0.5,0.4375,0.0,2609,1,16
0.0,0.4444444444444444,1.0,2326,3,20
0.5,0.6363636363636364,0.875,2337,0,22
0.0,0.38461538461538464,0.875,2165,1,17
0.5,0.5384615384615384,1.0,1670,1,16
0.3333333333333333,0.375,0.75,1703,6,17
0,0.14285714285714285,0,1353,0,2
0.0,0.29411764705882354,0.5,1932,0,11
0.0,0.4,0.0,1598,0,8
0.0,0.4090909090909091,1.0,2265,2,22
0.3333333333333333,0.6875,0,2187,4,23
0.0,0.3333333333333333,0.8333333333333334,2249,1,13
0.3333333333333333,0.3125,0,2062,2,12
0.0,0.2,0.5,1349,1,3
0.0,0.4166666666666667,1.0,1690,1,13
0,0.5,1.0,961,0,9
0.6666666666666666,0.35294117647058826,0.8,2238,5,18
0.0,0.45454545454545453,1.0,1057,1,12
0.0,0.375,1.0,1339,2,10
0.0,0.3,0.5,1805,4,7
1.0,0.5,0,1582,1,13
0.3333333333333333,0.46153846153846156,0,1911,3,13
0,0.6923076923076923,1.0,2524,1,19
0.0,0.4444444444444444,1.0,1466,1,10
0.0,0.375,1.0,2008,1,10
1.0,0.75,0.5,1348,0,8
0.0,0.3333333333333333,0,1908,2,6
0.0,0.4166666666666667,0.75,2166,3,13
0,0.3333333333333333,1.0,1153,0,5
0.2,0.5833333333333334,0.8333333333333334,1709,0,20
0,0.36363636363636365,0.5,1190,2,9
0,0,0.0,107,0,0
0,0.5,1.0,817,1,4
0,0.3333333333333333,0.8333333333333334,1049,0,11
0,0.45454545454545453,1.0,1682,2,11
0.0,0.38461538461538464,0.7777777777777778,1526,2,17
0.5,0.5,0.8,2176,1,25
0.5,0.5,0.8571428571428571,1880,1,19
0,0.25,0.5,1093,0,3
0.6666666666666666,0.5882352941176471,1.0,2301,2,25
0,0.7142857142857143,1.0,1890,1,21
1.0,0.2857142857142857,0.75,1432,3,12
0.0,0.47368421052631576,1.0,2007,0,20
0.0,0.4,0.7272727272727273,1959,0,16
1.0,0.5714285714285714,0.5,1692,1,18
0.0,0.4375,0.8,2191,0,18
0.0,0.4375,1.0,1834,2,16
0.0,0.4375,0,2034,1,14
0.0,0.36363636363636365,0.9,1591,1,17
0,0.46153846153846156,1.0,1972,1,16
0.25,0.4444444444444444,0.5,1864,0,18
0.0,0.2857142857142857,1.0,1169,0,6
0.4,0.5,0.75,2324,2,25
0.0,0.4666666666666667,0,1584,1,14
0.6666666666666666,0.5625,1.0,1646,2,22
0,0.1111111111111111,0,1084,0,2
0.6666666666666666,0.5333333333333333,0.875,2068,3,25
1.0,0.45454545454545453,1.0,1531,1,15
0.0,0.46153846153846156,1.0,1329,2,17
1.0,0.5,0,978,0,5
0,1.0,0.5,893,0,5
0.0,0.125,1.0,940,4,5
0,1.0,0,623,0,4
0,0.0,0,575,0,0
0,0.5,0,471,1,4
0,0.42857142857142855,1.0,1013,1,8
1.0,0.25,0,835,1,5
0,0.5,0,490,0,4
0,0.0,0,228,0,0
0.0,0.4,0,711,0,8
0,0.25,1.0,882,1,5
0,0.6666666666666666,0,1285,1,12
0.0,0.5,1.0,958,0,13
0.0,0.3333333333333333,0,989,0,6
0,0.0,0,151,0,0
