@relation Bradley_Beal
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.3333333333333333,0.3333333333333333,1.0,2295,1,17
0.4,0.2222222222222222,0.0,2130,1,10
0.5,0.42857142857142855,0.5,2453,1,19
0.3333333333333333,0.35,0.0,2324,1,17
0.5,0.55,1.0,2787,0,29
0.75,0.5652173913043478,1.0,2531,1,34
0.0,0.2,0.8333333333333334,2201,0,9
0.3333333333333333,0.47368421052631576,0,2107,0,19
0.4444444444444444,0.44,1.0,2846,1,28
0.6666666666666666,0.42857142857142855,1.0,2302,1,25
0.8571428571428571,0.45,1.0,2446,3,26
0.2222222222222222,0.3333333333333333,1.0,2553,1,17
0.14285714285714285,0.3684210526315789,1.0,2417,0,18
0.6,0.5625,0,1808,2,21
0.75,0.4,1.0,1717,1,15
0.25,0.25,1.0,1680,0,9
0.6666666666666666,0.4166666666666667,1.0,1567,0,14
0.75,0.5,0,1201,1,15
0.25,0.46153846153846156,0,1760,0,13
0.4,0.3076923076923077,0.0,1780,1,10
0.0,0.375,0,1699,2,12
0.5,0.26666666666666666,0,1505,0,9
0.3333333333333333,0.5555555555555556,0,1859,0,21
0.5,0.46153846153846156,0.5,1773,0,17
0.75,0.3333333333333333,0.5,1700,0,17
0.0,0.25,1.0,1610,1,13
0.3333333333333333,0.5,0,1797,1,13
0.4,0.5384615384615384,1.0,1717,0,19
1.0,0.6,0,1356,0,14
0.14285714285714285,0.14285714285714285,0.6666666666666666,1810,0,7
0.75,0.5333333333333333,1.0,1774,2,22
0.0,0.4375,0,1818,1,14
0.5,0.5333333333333333,0,1856,0,17
0.0,0.3125,1.0,1845,0,14
0.5714285714285714,0.42105263157894735,0,1834,1,20
0.0,0.5333333333333333,0.6666666666666666,1844,0,20
0.16666666666666666,0.25,0,2048,0,7
0.3333333333333333,0.3125,0.6666666666666666,2091,1,13
0.0,0.4375,0.8333333333333334,2061,0,19
1.0,0.26666666666666666,0,2063,1,9
0.8,0.6,0,2041,0,16
0.7142857142857143,0.625,1.0,2209,1,37
0.4,0.3333333333333333,0,2171,2,20
0.25,0.2,1.0,2206,0,9
0.5,0.4375,1.0,2113,1,19
0.0,0.3076923076923077,1.0,2227,0,11
0.0,0.5333333333333333,0.5,2267,2,17
1.0,0.5384615384615384,0.6666666666666666,2134,0,21
0.25,0.25,1.0,3067,1,11
0.25,0.4166666666666667,0,1764,2,11
0.5,0.4666666666666667,1.0,2169,0,21
0.3333333333333333,0.47368421052631576,1.0,2081,0,22
0.625,0.4444444444444444,1.0,2169,1,23
0.42857142857142855,0.3888888888888889,1.0,2183,3,18
0.4,0.3888888888888889,0.6666666666666666,2193,0,18
0.4,0.42105263157894735,1.0,2525,1,20
0.3333333333333333,0.42857142857142855,0.3333333333333333,2213,1,15
0.25,0.30434782608695654,0.5,2549,1,19
0.3333333333333333,0.3333333333333333,0.8,2085,2,18
0.6666666666666666,0.38461538461538464,0.6666666666666666,2297,0,18
0.6,0.4444444444444444,1.0,2290,3,21
0.0,0.2727272727272727,1.0,1992,0,8
0.3333333333333333,0.15384615384615385,1.0,2114,0,7
0.0,0.3333333333333333,1.0,2233,1,14
0.6666666666666666,0.6666666666666666,0.6666666666666666,2392,0,20
1.0,0.875,1.0,1877,0,19
0.125,0.5454545454545454,0.6,2350,2,28
0.0,0.4375,0.0,2304,2,14
0.0,0.26666666666666666,0,2562,0,8
0.4,0.4,0.6,2121,2,16
0.2857142857142857,0.5454545454545454,0,2214,0,26
0.6,0.5555555555555556,0.6666666666666666,1574,0,15
0.6,0.7142857142857143,1.0,2154,0,27
0.5,0.5294117647058824,0,1557,1,21
1.0,0.5,0,1890,0,12
0.0,0.46153846153846156,1.0,2046,1,15
0.3333333333333333,0.2857142857142857,0.6666666666666666,2073,4,13
0.0,0.4,1.0,1688,0,10
0.5,0.45454545454545453,0.0,2095,1,12
0.6666666666666666,0.42857142857142855,0,1003,1,8
0.75,0.5789473684210527,1.0,2235,1,27
0.6666666666666666,0.5,0,1519,0,14
0.3333333333333333,0.2222222222222222,0,2154,0,10
0.5,0.4166666666666667,0.75,2744,0,14
0.3333333333333333,0.5,0,2034,1,9
0.5714285714285714,0.5294117647058824,0.875,2334,1,29
0.4,0.5294117647058824,1.0,2239,0,22
0.3333333333333333,0.25,1.0,2262,0,10
0.2,0.26666666666666666,0.875,2077,3,16
0.5,0.36363636363636365,0.7142857142857143,1596,1,14
0.6666666666666666,0.5,0.5,2201,0,15
0.4,0.4375,1.0,2143,2,17
0.5,0.36363636363636365,0,1713,1,9
0.45454545454545453,0.5294117647058824,1.0,2237,1,33
0.3333333333333333,0.2857142857142857,0.5,1726,1,10
0.6,0.4666666666666667,1.0,2236,1,21
0.6666666666666666,0.5,0.5,2003,1,15
0.0,0.3,0,2046,0,6
0.6666666666666666,0.4,0,1753,0,12
0.75,0.4375,0,2305,1,17
0.4,0.3333333333333333,1.0,2053,1,12
0.0,0.4,0.8333333333333334,2202,2,13
0.5,0.5714285714285714,0,2187,1,17
0.3333333333333333,0.375,0,1577,0,7
0.3333333333333333,0.4166666666666667,0.8333333333333334,2322,2,17
0.5,0.5,0.5,1399,1,10
0.2222222222222222,0.23809523809523808,1.0,2512,4,14
0.25,0.4666666666666667,0.5,1903,0,16
0.5,0.5454545454545454,1.0,1676,0,14
0.16666666666666666,0.5,0,2298,1,19
1.0,0.3333333333333333,0,2164,0,13
0.5,0.5294117647058824,1.0,2686,1,26
0.5,0.4375,1.0,2337,0,18
0.0,0.42105263157894735,0.7,2328,1,23
0,0.0,0.5,657,1,1
0.25,0.2,0.75,1952,2,8
0.5,0.5454545454545454,0.6,1979,0,17
0.0,0.4375,0,1887,1,14
0.0,0.36363636363636365,0.5,1608,0,9
0.3333333333333333,0.3076923076923077,0.8,2018,3,14
1.0,0.6153846153846154,0.5,2364,1,23
0.6,0.5,1.0,2201,1,18
0.25,0.6153846153846154,1.0,1597,1,19
0.5,0.36363636363636365,0.6666666666666666,2066,0,12
0.5,0.4,0,650,0,5
0.6666666666666666,0.3888888888888889,0,2574,2,16
0.25,0.36363636363636365,0.8571428571428571,2262,0,15
0.0,0.5,0.5,1949,0,20
0.6666666666666666,0.4444444444444444,0,2138,1,18
0.0,0.47619047619047616,0,2391,1,20
1.0,0.7777777777777778,0.8,1398,2,21
0.75,0.5263157894736842,0.5,1934,0,24
0.2222222222222222,0.2916666666666667,0.75,2505,1,19
0.14285714285714285,0.2608695652173913,0.6,2853,3,16
0.4,0.5714285714285714,1.0,2524,0,28
0.3333333333333333,0.3333333333333333,0.7142857142857143,2521,1,16
0.5,0.3333333333333333,0.9090909090909091,2134,1,23
0.4,0.4090909090909091,0.8,2386,2,28
0.6666666666666666,0.36363636363636365,0.6666666666666666,2580,2,20
0.2857142857142857,0.4,1.0,2354,2,17
0.5,0.44,0.8888888888888888,2659,1,34
0.2,0.42857142857142855,0.8,2495,0,23
0.375,0.4583333333333333,1.0,2559,2,29
0.25,0.47368421052631576,0.5714285714285714,2256,3,24
0.8333333333333334,0.5625,0.75,1783,1,26
0.5,0.391304347826087,1.0,2233,0,26
0.375,0.5,0,2176,2,25
0.75,0.6,1.0,1836,0,24
0.0,0.4166666666666667,1.0,2216,3,11
