@relation Charles_Hayes
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0,0,656,2,0
0,0.0,0,716,1,0
0,0.25,0.5,985,0,3
0,0.0,0,763,0,0
0,0.0,0,424,2,0
0,0.0,0,201,0,0
0,0,0,460,1,0
0,0.3333333333333333,0.5,488,2,3
0,0.0,0,689,2,0
0,1.0,0,168,0,2
0,1.0,0,476,0,2
0,0.5,0,346,2,2
0,1.0,0,1259,1,4
0,1.0,0,1050,3,6
0,0.6666666666666666,1.0,908,1,6
0,0.3333333333333333,1.0,1149,3,5
0,0.0,0,113,0,0
0,0,0,117,0,0
0,0.5,0,636,0,2
0,0.5,0,695,0,2
0,0.5,1.0,993,3,5
0,0.3333333333333333,1.0,825,1,4
0,0.25,0,903,2,2
0,0.3333333333333333,0,968,1,2
0,0.0,0,1157,3,0
0,1.0,1.0,1394,1,7
0,0.5555555555555556,1.0,1534,5,12
0,0,0,990,1,0
0,0.25,0,1353,3,2
0,0.0,1.0,785,1,2
0,0.5,0.0,745,2,2
0,0.16666666666666666,0,739,3,2
0,0.5,0,725,0,2
0.0,0.3333333333333333,0,801,2,2
0,1.0,0,976,2,4
0,0.6666666666666666,1.0,1042,2,5
0,0,0,174,0,0
0,0.0,0,412,0,0
0,1.0,0,144,0,2
0,0,0,355,0,0
0,0,0,23,0,0
0,0.0,0,648,0,0
0,0.3333333333333333,0.5,723,2,3
0,1.0,0,428,0,2
0,0.0,0,1097,3,0
0,1.0,0,396,0,2
0,1.0,0,256,0,2
0,1.0,0,1022,0,2
0,0.3333333333333333,1.0,1053,4,5
0,0.6666666666666666,0,705,0,4
0,0.5,1.0,923,1,6
0,0.0,0,1617,3,0
0,1.0,0,1627,0,6
0,0.0,0,575,1,0
0,0,0,349,0,0
0,0.75,0,1031,0,6
0,0.0,0,948,1,0
0,0,0,445,0,0
0,0,0,394,0,0
0,0.3333333333333333,0,845,2,2
0,0,0,789,0,0
0,0.0,0,690,2,0
0,0.0,0,428,0,0
0,1.0,0,728,0,2
0,0.0,0,377,0,0
0,0,0,602,0,0
0,1.0,0,785,1,2
0,1.0,0.5,922,0,3
0,0.6666666666666666,0,562,0,4
0,0.3333333333333333,0.0,1045,2,2
0,0,0,289,0,0
0,0.5,0,320,1,2
0,1.0,0.5,571,2,3
0,1.0,0,441,0,2
0,1.0,1.0,761,0,9
0,1.0,0,479,1,2
0,0,1.0,396,0,2
0,0.0,0,77,0,0
0,0.0,0,276,0,0
0,1.0,0,812,0,2
0,1.0,0,322,0,2
0,0.0,0,206,0,0
0,0.5,0,883,0,2
0,0.6666666666666666,0,398,0,4
0,0,0,195,0,0
0,0.0,0.5,539,2,1
0,0.0,0,290,2,0
0,0,0,556,0,0
0,1.0,0,453,1,2
0,0.5,0,918,4,4
0,0,0,559,0,0
0,0.5,1.0,871,0,4
