@relation Charlie_Villanueva
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.3333333333333333,0,325,0,2
0.5,0.5,0,736,1,8
0.4,0.5555555555555556,0,775,0,12
0.0,0.0,0,252,0,0
0.0,0.3333333333333333,0,216,0,2
0.3333333333333333,0.5,0,845,0,10
0.5,0.5,0,482,0,3
0.0,0.4,0.6666666666666666,301,0,6
0.0,0.0,0.75,795,0,3
0.0,0.3333333333333333,0.5,620,2,5
0.0,0.25,0.0,686,0,2
0.25,0.4,0,479,0,5
0.3333333333333333,0.4,0,597,1,5
0.0,0.3333333333333333,0,373,0,2
0.0,0.3333333333333333,0.5,284,0,3
0.0,0.5,0,486,0,2
0.6666666666666666,0.6,0.5,734,1,9
0.3333333333333333,0.38461538461538464,0,1002,1,13
0.0,0.0,0,452,0,0
0.0,0.0,0,340,0,0
0,0,0,135,0,0
0.0,0.5,0,442,0,2
0.5,0.3333333333333333,0,298,0,3
0,0.0,0,5,0,0
0.5,0.6666666666666666,0,477,0,10
0.0,0.0,0,201,0,0
0.3333333333333333,0.4,0,462,0,5
0.0,0.3333333333333333,0,474,0,4
0,0,0,57,0,0
0.75,0.5714285714285714,0,535,0,11
0,0.0,0,154,0,0
0.0,0.0,0,48,0,0
1.0,1.0,0,49,0,3
0.5,0.3333333333333333,0,245,1,3
0,0.0,0,88,1,0
0.6666666666666666,0.5,1.0,794,3,14
0.4444444444444444,0.5384615384615384,0,1220,1,18
0.5,0.5555555555555556,0,1245,1,13
0.14285714285714285,0.2727272727272727,0,876,0,7
0.5,0.75,0,745,0,14
0.0,0.0,0,469,3,0
1.0,1.0,0,153,0,3
0.5,0.5,0,756,1,8
0.0,0.375,0,849,0,6
0.3333333333333333,0.375,0.5,865,0,9
0.0,0.0,0,335,0,0
0.4,0.5714285714285714,1.0,1131,0,11
0.0,0.3333333333333333,0,265,0,2
0.0,0.0,0,344,0,0
0.0,0.0,0,429,0,0
0.5454545454545454,0.4666666666666667,0,1355,1,20
0.5,0.3333333333333333,0.0,1172,0,6
0.0,0.2222222222222222,0,755,1,4
0.42857142857142855,0.3333333333333333,0,928,0,9
0.0,0.2857142857142857,0,1514,2,8
0.5,0.5,0,414,0,3
0.7142857142857143,0.6923076923076923,0.5,1362,2,26
0.6666666666666666,0.42857142857142855,0,724,0,8
0.4,0.5,0.5,754,0,11
0.25,0.2857142857142857,0.5,1085,1,6
0,0,0,194,0,0
0.3333333333333333,0.42857142857142855,0,1328,0,8
0.25,0.25,0,927,2,5
0.0,0.0,0,265,1,0
0.0,0.5,0,259,1,2
0.0,0.2,0.8333333333333334,874,0,7
0.0,0.0,0.25,509,0,1
0.375,0.5333333333333333,0,1368,0,19
1.0,0.8,1.0,830,0,13
0.4,0.5,0,1150,1,10
0.3333333333333333,0.5555555555555556,0,639,0,12
0.0,0.0,0,134,0,0
1.0,1.0,0,230,0,3
0.0,0.2,1.0,246,2,4
0.3333333333333333,0.2,0,700,0,3
0.0,0.0,0,200,0,0
0.5,0.5,0,203,0,3
0.0,0.2857142857142857,0,677,2,4
0.5,0.42857142857142855,0,787,0,9
0.25,0.2,0,1093,1,6
0.5,0.46153846153846156,0,1346,0,15
0.5,0.375,0,809,1,8
0.6666666666666666,0.6666666666666666,0,108,0,6
0.5,0.5,0,528,0,5
0.25,0.3333333333333333,0,676,1,5
0.4,0.42857142857142855,0,727,3,8
0.4,0.4,0,565,0,6
0.6666666666666666,0.8,0,879,0,10
0.0,0.2727272727272727,0.5,1380,0,7
0.25,0.16666666666666666,0,716,0,3
0.0,0.5,0,295,1,4
0.2,0.375,0,770,1,7
0.25,0.42857142857142855,1.0,1588,0,15
0.0,0.5,0,723,0,4
0.3333333333333333,0.3333333333333333,0,860,0,6
0.42857142857142855,0.5,0,1525,2,19
0.5,0.2,0,495,2,3
0.0,0.0,0,174,0,0
1.0,1.0,0,227,0,6
0.0,0.25,0,565,0,2
0.0,0.42857142857142855,0,716,1,6
0.0,0.0,0,404,0,0
