@relation Chris_Bosh
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.5,0.5454545454545454,0.75,1882,1,16
0.6666666666666666,0.6153846153846154,1.0,2055,3,22
0.5,0.5,1.0,2068,0,17
0.6666666666666666,0.6666666666666666,0.75,1883,3,24
0.5,0.5,0.5,1750,2,12
0.0,0.5833333333333334,0.75,1881,1,20
0.5,0.3333333333333333,0.75,1414,1,10
0.0,0.36363636363636365,1.0,1787,1,14
0.5,0.75,0,934,0,7
1.0,0.8888888888888888,0.6666666666666666,1499,1,19
0.5,0.7,0.75,1439,2,18
0.0,0.46153846153846156,1.0,1879,0,15
0,0.2222222222222222,0.75,1642,0,7
0.0,0.3333333333333333,0,1813,0,6
0,0.3333333333333333,0,1228,0,4
0.75,0.6153846153846154,0.75,2077,1,22
0.0,0.45454545454545453,0.6666666666666666,1922,2,14
0,0.36363636363636365,0.5,1603,0,10
0.0,0.5,0,1428,0,8
0.0,0.4166666666666667,1.0,1881,1,16
0.0,0.5,0,1944,1,12
0,0.5882352941176471,0.6666666666666666,1810,2,22
0.0,0.6153846153846154,0.8,1813,2,20
0.3333333333333333,0.5,0.6666666666666666,1835,0,15
0,0.6875,1.0,1527,2,25
0,0.5,1.0,1800,2,11
0.0,0.5,0.8333333333333334,1867,4,23
0.0,0.5333333333333333,1.0,2117,1,18
1.0,0.5769230769230769,1.0,2334,4,37
0,0.6666666666666666,0.25,2202,1,17
0.5,0.375,0.8571428571428571,2025,0,19
0,1.0,0.6666666666666666,1868,0,20
0.0,0.2222222222222222,1.0,1988,3,8
0.5,0.42857142857142855,1.0,2051,2,12
0.0,0.3,0,2248,1,6
0.0,0.4444444444444444,1.0,2622,4,10
0.5,0.5263157894736842,1.0,2154,3,26
0,0.6111111111111112,0.75,1962,3,25
0.5,0.625,0.6666666666666666,2233,2,25
0.3333333333333333,0.3888888888888889,0.8333333333333334,2048,0,21
0.6666666666666666,0.7,0,2060,0,16
0.3333333333333333,0.6818181818181818,0,2016,2,31
0.5,0.9,1.0,1536,1,24
0.25,0.5,0.75,2172,1,18
0.0,0.18181818181818182,0,2243,0,4
0.5,0.625,0.8571428571428571,2078,3,17
0.3333333333333333,0.4,0.5,2003,1,15
0.0,0.25,0.875,2071,2,13
1.0,0.7272727272727273,0.75,2302,2,21
0.0,0.5714285714285714,1.0,2241,1,19
0.5,0.6666666666666666,0.6666666666666666,1987,0,22
0.5,0.6666666666666666,0.9166666666666666,2323,0,24
0.4444444444444444,0.43478260869565216,1.0,2085,3,28
0.0,0.5,0,1454,1,6
0.6666666666666666,0.625,1.0,1083,0,17
0.3333333333333333,0.42857142857142855,1.0,1808,1,15
0.0,0.2,0.75,1616,0,5
0.5,0.625,1.0,2070,2,24
0.6,0.6,0,2273,0,15
0.6666666666666666,0.7142857142857143,0,2050,1,22
0.5,0.6428571428571429,0.8,2107,1,24
0.0,0.3333333333333333,0.75,2142,3,11
0.3333333333333333,0.5833333333333334,1.0,2038,1,18
0.4,0.5,0.75,2341,0,21
0.0,0.2727272727272727,0,2181,0,6
0.16666666666666666,0.26666666666666666,1.0,2088,1,11
0.0,0.5,1.0,2033,0,12
0.6666666666666666,0.5,0.5,1918,0,15
0.3333333333333333,0.2727272727272727,0,1560,0,8
0.6666666666666666,0.6,1.0,1564,1,15
0.0,0.4,1.0,1554,3,14
0.0,0.5,0.6666666666666666,2057,1,18
0.25,0.5384615384615384,0,1575,0,15
0.42857142857142855,0.42105263157894735,0.8333333333333334,2680,4,24
0.3333333333333333,0.7142857142857143,0.75,1905,2,14
0.0,0.38461538461538464,0.6666666666666666,2143,2,12
0.3333333333333333,0.42857142857142855,0,2119,1,13
0.0,0.4444444444444444,1.0,2215,1,10
0.25,0.625,0,1680,0,11
0.75,0.5,1.0,2348,4,26
0.4,0.5294117647058824,0.9090909090909091,1981,3,30
0.5,0.38461538461538464,0.7692307692307693,2273,1,21
0.5,0.5714285714285714,0.6,1801,2,21
0.16666666666666666,0.3888888888888889,1.0,2255,2,23
0.0,0.42857142857142855,1.0,2129,2,24
0.0,0.7,0.5454545454545454,2210,2,20
0.3333333333333333,0.23076923076923078,0.6666666666666666,1986,1,9
0.0,0.3684210526315789,1.0,2264,0,20
0.16666666666666666,0.11764705882352941,0.625,2311,0,10
0.5,0.45454545454545453,1.0,1723,2,15
0.5,0.5294117647058824,1.0,1882,3,28
0.6666666666666666,0.65,1.0,2268,1,32
0.4,0.42857142857142855,0,2151,1,20
0.6666666666666666,0.5263157894736842,0.8,2024,2,26
0.3333333333333333,0.3888888888888889,0.6666666666666666,1992,0,20
0.3333333333333333,0.6428571428571429,0.4,2007,0,21
1.0,0.75,0.75,2276,0,27
0.16666666666666666,0.391304347826087,0.6666666666666666,2309,1,21
0.0,0.5,0.0,2130,0,12
0.6666666666666666,0.6666666666666666,1.0,2200,0,34
0.3333333333333333,0.4166666666666667,0.6,2012,0,14
0.2,0.5625,0.75,2177,0,22
0.0,0.47058823529411764,0.5714285714285714,1978,1,20
0.5,0.5,0.6666666666666666,2261,0,18
0.25,0.3333333333333333,0.75,1642,2,15
0.75,0.625,0.5,2341,1,26
0.5,0.3125,0.8571428571428571,2160,1,18
0.4,0.65,0.8571428571428571,2346,2,34
0.0,0.23529411764705882,0,2299,2,8
0.5,0.4444444444444444,1.0,1984,2,26
1.0,0.55,0.8333333333333334,2339,1,30
0.3333333333333333,0.4166666666666667,0.8333333333333334,2211,1,16
0.16666666666666666,0.35,1.0,2061,0,17
0.0,0.5,1.0,1996,0,19
0.0,0.45,1.0,2181,1,20
0.5,0.5263157894736842,0.6666666666666666,2139,0,26
0.25,0.2777777777777778,0.3333333333333333,2051,2,12
0.25,0.3157894736842105,0.7142857142857143,2106,2,18
0.6,0.6086956521739131,0.75,2020,0,34
0.0,0.35714285714285715,0.8,2031,0,14
0.0,0.3888888888888889,0.0,2153,1,14
0.6666666666666666,0.5217391304347826,0.8,2193,0,32
0.25,0.29411764705882354,0.8,2160,0,15
0.4,0.38461538461538464,0.9,1938,0,21
0.5,0.4666666666666667,0,1990,0,16
0.5,0.36363636363636365,0,1485,1,10
0.16666666666666666,0.2857142857142857,0,2354,2,9
