@relation Clint_Capela
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0,0.0,373,0,0
0,0.0,0.0,256,3,0
0,0,0,1,0,0
0,0.0,0,72,0,0
0,0.0,0.0,359,0,0
0,0,0,130,0,0
0,0.8,0.0,1152,3,8
0,0.6666666666666666,0.0,583,2,4
0,0,0.0,13,1,0
0,0.3333333333333333,0,376,1,2
0,1.0,0.5,1019,0,10
0,0.75,0.5,1045,0,8
0,0.6,0.5,971,1,8
0,0.5,0.5,629,0,5
0,1.0,1.0,368,0,7
0,1.0,1.0,269,0,4
0,0.5,0.0,407,1,2
0,1.0,0,344,1,2
0,0,0,197,1,0
0,0.0,0.5,329,1,1
0,0.3333333333333333,0.0,700,3,2
0,1.0,0.0,683,1,8
0,1.0,0,246,1,2
0,0,1.0,341,0,2
0,1.0,0.5,778,1,9
0,1.0,0.5,247,0,4
0,0,0,191,1,0
0,0.5714285714285714,0.5,1495,6,9
0,0.75,1.0,1065,1,7
0,1.0,0,847,1,10
0,1.0,0,643,0,4
0,0.8,0,1129,3,8
0,0.75,0.3333333333333333,1580,2,13
0,1.0,0.75,1134,2,9
0,0.8,0,646,1,8
0,0.5,0.5,783,0,4
0,0.6666666666666666,0.5,1385,4,7
0,0.5,0.25,1099,4,5
0,0.4,0,763,2,4
0,0,0.5,744,1,1
0,0.7777777777777778,0.4,1804,6,16
0,0.75,0,491,1,6
0,0.46153846153846156,0.5,1497,2,13
0,0.6363636363636364,0.5,2184,5,18
