@relation Courtney_Lee
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.25,0,868,0,2
0.3333333333333333,0.5454545454545454,0,1542,0,13
0.0,0.4,1.0,1304,0,6
0.5,0.8,0,1133,0,9
1.0,0.6666666666666666,0,633,0,5
0,0.5555555555555556,0.75,1047,2,13
0,0.75,0,725,0,6
1.0,0.625,1.0,1137,1,12
0.5,0.5,0,857,0,10
0.5,0.4444444444444444,0,1040,0,9
0.75,0.4375,0,1405,0,17
0,0.3333333333333333,0,1084,0,2
0,0.3333333333333333,0,974,0,2
0,0.5,0,1002,0,4
0.5,0.5714285714285714,1.0,917,1,11
0,0.0,0,564,0,0
0.5,0.7142857142857143,0,939,0,11
0.0,0.0,0,642,0,0
0.5,0.5714285714285714,0,1176,0,10
0,0.5,1.0,1166,0,4
0,0.0,0,882,1,0
1.0,0.75,0.75,1145,0,18
0.0,0.25,1.0,916,1,4
0,0.6666666666666666,1.0,929,0,10
0.0,0.0,0,460,0,0
0.5,0.5,0.0,1375,0,11
0.4,0.36363636363636365,1.0,994,0,11
1.0,0.7142857142857143,0,1380,1,11
0.0,0.6,0.5,1175,0,7
0.2,0.125,0,861,1,3
0.4,0.5,0,1543,0,12
0.0,0.3333333333333333,1.0,1711,1,8
0.3333333333333333,0.5833333333333334,0,1920,0,15
0.6666666666666666,0.6,1.0,2179,2,24
0.3333333333333333,0.42857142857142855,1.0,1586,0,9
0.2,0.5,1.0,1963,0,17
0.6,0.75,1.0,2012,0,19
1.0,0.6666666666666666,1.0,1709,1,19
0.3333333333333333,0.5555555555555556,1.0,1878,0,15
0.5,0.5555555555555556,0.5,1869,0,12
0,0.5,0,1495,0,4
1.0,0.7142857142857143,0.7142857142857143,2041,1,16
0.5,0.375,1.0,2379,0,8
0.16666666666666666,0.3,0.8,2192,0,11
0.5,0.6666666666666666,0,2388,3,22
0.3333333333333333,0.5,1.0,2262,0,14
0.0,0.26666666666666666,1.0,2280,0,10
0.14285714285714285,0.4166666666666667,1.0,2045,0,13
0.3333333333333333,0.42857142857142855,1.0,1936,1,17
0.0,0.25,1.0,2237,0,6
0.5,0.5,1.0,2025,0,10
0.25,0.3076923076923077,1.0,2080,1,10
0.4,0.6,0.8,1677,0,18
0.6666666666666666,0.42857142857142855,1.0,1991,1,10
0.625,0.6363636363636364,0,1995,0,19
0.0,0.5714285714285714,1.0,1003,0,9
0.0,0.2857142857142857,0,1559,1,4
0,0.375,0.0,1706,0,6
0,0.6666666666666666,1.0,1625,0,9
0.25,0.5833333333333334,1.0,1518,0,16
0.0,0.16666666666666666,1.0,1368,0,4
0.5,0.5555555555555556,1.0,1590,1,12
0.0,0.5,0.0,1711,0,6
0.0,0.5,0,1718,0,8
0.3333333333333333,0.2857142857142857,1.0,1921,1,12
0.0,0.6666666666666666,0,1480,0,4
0,0.0,0,1273,0,0
0,0.0,0,1169,0,0
0,0.7142857142857143,1.0,1534,1,11
0.0,0.6,0,1223,0,6
0.6,0.5,0.6666666666666666,2048,2,19
1.0,0.6666666666666666,0,2057,1,14
1.0,0.42857142857142855,1.0,2324,0,10
0,0.14285714285714285,1.0,1383,1,4
0.6,0.6363636363636364,1.0,2210,0,18
0.0,0.5,1.0,1354,0,9
0.5,0.36363636363636365,0,1785,2,10
0.0,0.0,0,1043,0,0
0.25,0.3,1.0,2115,0,11
0.5,0.45454545454545453,1.0,2130,1,14
1.0,0.8,1.0,971,1,12
0.8,0.6428571428571429,0,2348,0,22
1.0,0.625,0.8,2125,1,17
0.4,0.3333333333333333,1.0,2066,2,11
0.3333333333333333,0.5,0.8,2289,1,15
1.0,0.6666666666666666,1.0,2155,0,16
0.3333333333333333,0.4,1.0,1866,1,12
0.75,0.8571428571428571,0,1807,0,15
0.5,0.4,0,1798,0,5
0.6,0.4,0.6666666666666666,2321,0,13
0.2,0.4,1.0,1846,0,10
0.5,0.5555555555555556,0.5,1821,0,13
0.0,0.5555555555555556,1.0,1946,1,11
0.0,0.5,0,1428,0,4
0.0,0.4444444444444444,0,2306,0,8
1.0,0.7777777777777778,0,2222,0,17
0.0,0.4,0,1145,0,4
1.0,0.8,1.0,1784,0,13
0.75,0.5384615384615384,1.0,2220,0,19
0.0,0.25,1.0,1836,0,5
1.0,0.46153846153846156,0,3170,0,14
0.3333333333333333,0.3333333333333333,0,1811,0,7
0,0.2,1.0,1405,0,4
0.0,0.42857142857142855,1.0,2263,0,13
0.3333333333333333,0.16666666666666666,1.0,2378,0,4
1.0,0.5,0.75,1914,1,10
0.5,0.3333333333333333,1.0,1831,0,8
1.0,0.5555555555555556,1.0,1808,1,14
0.5,0.6,0,1425,0,7
0.3333333333333333,0.625,0,1577,0,11
0.3333333333333333,0.3333333333333333,1.0,1658,1,9
0.0,0.2857142857142857,0,1661,1,4
0.4,0.5384615384615384,0.5,2657,0,18
0.75,0.7,1.0,1826,0,18
0.16666666666666666,0.42857142857142855,0.75,2050,0,16
0.6666666666666666,0.46153846153846156,0.5,1986,0,17
0.16666666666666666,0.35714285714285715,1.0,1876,1,12
0.0,0.0,0.5,1721,0,1
0.5,0.2,0.8333333333333334,1353,0,8
0.5,0.3333333333333333,1.0,1956,0,11
0.75,0.7142857142857143,0,1851,0,13
0.0,0.5,0.3333333333333333,1450,0,11
0.3333333333333333,0.42857142857142855,0,1659,0,7
0,0.5,1.0,1917,0,6
0.0,0.25,0,1764,1,2
0.5,0.5555555555555556,1.0,1734,0,14
0.0,0.3,0,1850,0,6
0.4,0.6,1.0,1580,0,15
0.0,0.0,0,1070,0,0
1.0,0.75,1.0,1799,0,19
0.3333333333333333,0.375,1.0,1772,0,9
0.6,0.375,1.0,1919,0,12
1.0,0.6666666666666666,0,1915,0,5
0.0,0.25,1.0,1752,0,6
0.0,0.16666666666666666,0,1606,0,2
0.3333333333333333,0.2222222222222222,0,1470,0,5
0.5,0.375,0,1613,1,7
0.25,0.2,1.0,1583,0,7
0.0,0.3,1.0,1445,2,9
0.6666666666666666,0.6,1.0,1752,0,17
0.0,0.3,0,1701,0,6
0.16666666666666666,0.36363636363636365,0,1929,1,9
0.5,0.42857142857142855,1.0,1998,0,9
0.5,0.25,0.5,1893,0,5
0.0,0.0,0.0,1152,0,0
0.0,0.16666666666666666,1.0,1343,0,4
0.0,0.36363636363636365,1.0,2145,0,10
0.0,0.5,0,1886,0,10
0.25,0.38461538461538464,1.0,1911,1,13
0.0,0.4444444444444444,0,2095,0,8
0.6666666666666666,0.3333333333333333,0,1630,0,8
0.6666666666666666,0.6,1.0,2027,2,15
1.0,0.6666666666666666,0.6666666666666666,2257,0,11
0.3333333333333333,0.4,0,1263,0,9
1.0,0.4,0.75,1533,0,8
1.0,0.4,1.0,1767,0,9
