@relation Damjan_Rudez
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.0,0,889,0,0
0.75,0.75,1.0,1179,0,11
0.0,0.0,0,659,0,0
0.0,0.3333333333333333,0.6666666666666666,1145,1,4
0.0,0.6666666666666666,1.0,935,0,6
0.0,0.5,0,1116,0,4
0.75,0.75,0,1543,0,9
0.25,0.16666666666666666,0,1710,0,3
0.0,0.3333333333333333,0,847,0,2
0.5,0.42857142857142855,0.0,1672,0,7
0.0,0.2,0.5,1415,1,3
1.0,1.0,0,300,0,3
0.0,0.3333333333333333,0,954,0,4
0.6666666666666666,0.8,1.0,894,0,11
0.5,0.5,0,1059,0,8
1.0,0.5,0.5,393,0,4
0,1.0,0,134,0,2
0.3333333333333333,0.5,0,1544,0,5
0.5,0.5714285714285714,0.5,1337,0,11
0.25,0.3333333333333333,0,1163,0,5
0.0,0.0,1.0,972,0,2
0.0,0.0,0,408,0,0
0.0,0.0,0,718,0,0
0.0,0.0,0,720,0,0
0.0,0.0,0,56,0,0
0.5,0.4,0,833,0,5
0,0.0,0,329,0,0
0,0.0,0,527,1,0
0.5,0.5,0,992,0,8
0.5,0.625,0,962,0,13
0.0,0.3333333333333333,0,1485,0,4
0.0,0.0,0,749,0,0
0.3333333333333333,0.42857142857142855,0.5,1182,1,8
0.0,0.0,0,1176,0,0
0.5714285714285714,0.7,0,1757,1,18
0.25,0.4,0,987,0,5
0.3333333333333333,0.5,0,1129,0,5
0.6666666666666666,0.5,0,1290,0,6
0.5,0.3333333333333333,0,1589,1,6
0.6666666666666666,0.6666666666666666,0,492,0,6
1.0,0.5,0,927,0,3
0.0,0.0,0,691,0,0
0,0.6,0,1199,0,6
0.6666666666666666,0.8,0,1386,0,10
0,1.0,0,665,0,4
0.2,0.16666666666666666,0,1088,0,3
0.5,0.5,0,716,0,3
0.0,0.0,1.0,826,0,3
0.6666666666666666,0.5,0,1078,0,6
0.5,0.5,0,715,0,5
1.0,1.0,0,907,0,8
0.7142857142857143,0.75,0,1593,0,17
0,0.0,0,760,0,0
0.0,0.0,0,679,0,0
0,0,0,128,0,0
0.6666666666666666,0.6666666666666666,0,1108,0,6
1.0,0.75,0,687,0,8
0.3333333333333333,0.5,0,1283,0,7
0.42857142857142855,0.4444444444444444,0,1191,1,11
0.2,0.16666666666666666,0,1411,0,3
1.0,1.0,0,696,1,6
1.0,0.8333333333333334,0,1112,0,12
0.0,0.0,0,846,0,0
1.0,1.0,0,739,0,9
1.0,0.5,0,325,0,3
0.0,0.0,0,268,0,0
0,0,0,49,0,0
0,1.0,0,272,1,2
0,0,0,149,0,0
0.5,0.5,0,455,0,3
0,0,0,71,0,0
0,0,0,417,0,0
0.0,0.0,0,388,0,0
0.75,0.8,1.0,1019,0,13
0.25,0.25,0,1061,0,3
