@relation Daniel_Orton
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,1.0,1.0,892,0,4
0,0,0,685,0,0
0,1.0,0,1014,0,4
0,0.0,0.3333333333333333,1024,2,1
0,0.5,1.0,393,0,5
0,0,0,1,0,0
0,0,0,296,0,0
0,0.5,0.3333333333333333,947,1,3
0,0.5,1.0,1025,1,6
0,0.3333333333333333,0.6666666666666666,1128,1,4
0,0.2727272727272727,0.8,2136,4,10
0,0.6666666666666666,0,1160,0,8
0,0.3333333333333333,0,352,0,2
0,0,0,185,1,0
0,0,0,255,0,0
0,0.5,1.0,416,0,4
0,0.0,0,197,1,0
0,0,0,52,1,0
0,1.0,1.0,281,0,4
0,0,0,362,0,0
0,0.3333333333333333,0.75,1115,2,5
0,0.5,1.0,1130,2,5
