@relation Darrell_Arthur
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.42857142857142855,0,1103,1,6
0,0.16666666666666666,0,936,3,2
0,0,1.0,501,0,2
0,0.3333333333333333,0,317,0,2
0,0.5,0,1568,0,6
0,0.42857142857142855,0,1158,1,6
0,0.25,0,1106,1,2
0,0.6,1.0,1053,0,8
0,0.6,0,788,0,6
0.0,0.6,0,913,1,6
0,0.375,0,1026,0,6
0,0.6666666666666666,1.0,981,0,10
0,0.42857142857142855,0,1612,0,6
0,0.42857142857142855,0.5,1310,0,7
0,0.25,0,900,1,2
0,1.0,0,1358,0,14
0,0.8,1.0,995,1,10
0.0,0.36363636363636365,0,1530,2,8
0,0.16666666666666666,0,1271,2,2
0,0.5,0,1290,2,4
0.0,0.6666666666666666,0,942,0,4
0,0.4444444444444444,0.5,1353,2,9
0,0.3333333333333333,0,655,1,2
0,0.0,1.0,968,0,2
0,0.4,1.0,1311,2,10
0,0.2857142857142857,1.0,985,0,6
0,0.2,0,1308,0,2
1.0,0.42857142857142855,0,1490,0,13
0.0,0.3333333333333333,1.0,1334,2,8
0,0.5,0,1184,0,6
0,0.2857142857142857,0,1265,3,4
0.3333333333333333,0.3333333333333333,0.5,1052,0,6
0,0.25,0,983,2,4
0,0.0,0,635,0,0
1.0,0.3333333333333333,0,1025,0,7
0,0.5,1.0,752,0,4
0,0.14285714285714285,0,813,2,2
0,0.0,0,430,0,0
0,0.0,1.0,542,0,2
0.0,0.4,0,1285,1,4
0,0.5,0,719,1,2
0,0.0,0,659,0,0
0,0.42857142857142855,0.5,1134,1,8
1.0,0.3333333333333333,0,1348,0,5
0,0.0,0,321,0,0
0,0.8571428571428571,0,911,1,12
0,0.4,1.0,817,0,5
0,0.6,1.0,850,1,10
0.0,0.0,0,539,0,0
0,0.25,0,556,1,2
0,0,0,511,0,0
1.0,0.8333333333333334,0.6666666666666666,994,1,14
1.0,0.6363636363636364,1.0,1427,0,18
0.5,0.42857142857142855,1.0,692,2,9
0.0,0.2857142857142857,0,779,4,4
0.6,0.45454545454545453,0,1202,0,13
0.5,0.6666666666666666,1.0,1667,1,11
0.75,0.6666666666666666,0.8,1513,1,15
0.25,0.3333333333333333,0.5,1123,1,6
0.2,0.3,1.0,1807,0,9
0.16666666666666666,0.23076923076923078,1.0,1108,1,8
0.3333333333333333,0.4,0,973,1,5
1.0,0.6,0,996,0,8
0.2,0.1111111111111111,1.0,1430,2,6
0.0,0.3333333333333333,0.5,1156,2,7
0.0,0.2857142857142857,0,1069,0,4
0.5,0.26666666666666666,0,1214,1,10
0.0,0.0,0,123,0,0
0.0,0.14285714285714285,0,983,1,2
0.0,0.16666666666666666,0,566,1,2
0.5,0.5,0.8333333333333334,961,1,10
0.4,0.5714285714285714,0.5,1021,1,11
0.0,0.0,0,302,0,0
0.0,0.45454545454545453,0,935,1,10
0.0,0.5555555555555556,0.5,830,1,11
0.4,0.5714285714285714,0,1283,0,10
0.75,0.8333333333333334,0,1582,3,13
0.3333333333333333,0.5,1.0,1076,2,9
0.0,0.3333333333333333,0,525,0,2
0.2,0.42857142857142855,1.0,1169,1,9
0.25,0.2,0,821,0,3
0.5,0.5,0.5,1026,0,6
0.0,0.6,0,1161,1,6
0.4,0.5714285714285714,1.0,1026,0,12
0.0,0.5,1.0,1068,1,6
0.0,0.2,0,880,2,2
0.0,0.2727272727272727,0,1568,1,6
0.0,0.35294117647058826,0,1445,8,12
0.25,0.16666666666666666,1.0,1195,1,4
0.4444444444444444,0.5,1.0,1443,3,20
1.0,0.42857142857142855,0,1273,0,8
0.2,0.38461538461538464,0.5,1684,4,12
0.0,0.16666666666666666,0,649,0,2
0.0,0.6666666666666666,0,912,0,4
0.3333333333333333,0.4,0,864,0,5
0.25,0.3333333333333333,0,1077,1,7
0.25,0.5,1.0,1667,0,11
0.0,0.4,1.0,1240,0,8
0.0,0.6666666666666666,0.5,987,1,9
0.0,0.5,0,1010,0,8
0,0.25,1.0,1015,1,4
1.0,0.6666666666666666,0,950,0,5
0,0.6,0,754,0,6
0.0,0.4,0,1746,1,12
0,0.42857142857142855,1.0,1143,1,8
0,0.2857142857142857,0,1086,0,4
0.0,0.42857142857142855,0.5,786,0,7
0,0.42857142857142855,0,670,0,6
0.0,0.14285714285714285,0,1114,2,2
0,0.4444444444444444,1.0,1058,0,10
0.0,0.4,0.5,1038,1,9
0.0,0.6,0.75,1585,0,15
0.0,0.2,0.75,1029,1,5
0,0.3333333333333333,0,1381,5,10
0,0.75,0,898,0,6
0,0.0,0,992,0,0
0,0.25,0,460,0,2
0,0.5,0,507,1,2
0,1.0,0,609,0,10
0.0,0.0,0,1060,1,0
0,0.16666666666666666,0.75,1180,0,5
0,0.0,0.5,181,0,1
0.0,0.09090909090909091,0.5,1769,3,3
0.0,0.0,0,797,0,0
0,1.0,0,378,0,2
1.0,0.4,0,941,1,5
0.3333333333333333,0.14285714285714285,0,1586,3,3
0,0.42857142857142855,0,1448,2,6
0.0,0.2,0,956,0,2
0.0,0.2,0,838,2,2
0.0,0.2,1.0,742,2,4
0.0,0.3333333333333333,0,1062,0,2
0,0.0,0,746,0,0
0,0.3333333333333333,0,506,0,2
0.5,0.4444444444444444,0,1096,2,9
0,0.4444444444444444,0,1122,3,8
1.0,0.75,0.5,2035,3,21
0,0.5,0.5,1778,1,11
0,0.16666666666666666,0,1529,2,2
0,0.6153846153846154,0,1887,3,16
