@relation E'Twaun_Moore
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.5,0,1545,1,6
0.6666666666666666,0.36363636363636365,0,1268,0,10
0.5,0.5,1.0,1336,0,5
1.0,0.6666666666666666,0,824,0,5
0.6666666666666666,0.625,0,1609,0,12
0.0,0.42857142857142855,1.0,1164,0,7
1.0,0.4,0.6666666666666666,1480,1,7
0.0,0.6666666666666666,1.0,1492,0,11
0.0,0.125,0,1043,0,2
0.0,0.5,1.0,1740,2,5
0.0,0.3333333333333333,0,979,0,2
1.0,1.0,0,1317,0,14
0.5,0.5,0,824,0,3
0.3333333333333333,0.625,1.0,1802,0,12
0.25,0.25,1.0,1783,1,7
0.4,0.25,0,1944,0,6
0.0,0.125,1.0,1692,1,6
0.0,0.25,0,1326,1,2
0.0,0.2,0,1182,0,2
0.4,0.4,0.6666666666666666,1327,2,12
0,0.0,0,497,0,0
0.0,0.5555555555555556,0,1467,2,10
0.3333333333333333,0.2,0,928,0,3
0.0,0.5,0,374,0,2
0.5,0.3333333333333333,0,362,1,3
1.0,0.5,0,1299,1,10
0.0,0.3333333333333333,1.0,708,0,3
1.0,0.25,0,599,0,3
0.5,0.5,0.0,815,0,3
0.0,0.4,1.0,893,0,6
0.0,0.0,0.0,1008,1,0
0,0,0.5,73,0,1
0.0,0.25,0,968,0,4
0.0,0.5,0,1492,0,10
0.0,0.2857142857142857,0,1210,0,4
0,0.5,0,1180,0,2
0.5,0.75,0,1067,0,7
0.3333333333333333,0.2,0,1306,0,3
0.5,0.625,1.0,1473,0,13
0,0.25,0,577,0,2
0,0.6666666666666666,0,430,0,4
0.0,0.42857142857142855,0,857,1,6
0.5,0.5,1.0,1341,1,10
0.5,0.5,0,1181,0,9
0.6,0.7142857142857143,0,1456,0,13
0.0,0.3333333333333333,0,608,0,2
0.5,0.4,0.5,810,0,6
0.0,0.4,0.0,973,0,4
0.0,0.75,0,810,1,6
0.0,0.3333333333333333,0,779,0,2
0.0,0.5714285714285714,0,847,0,8
0.5,0.5,1.0,1392,0,17
0.0,0.16666666666666666,0,1064,0,2
0.5,0.36363636363636365,1.0,2014,0,10
0.3333333333333333,0.4666666666666667,0.5,1671,2,16
0.5,0.25,0,900,0,3
0.5,0.5,0,1142,1,5
0.5,0.5714285714285714,0.5,2035,0,10
0.0,0.4,0.75,1935,0,11
0.5,0.5,1.0,1568,0,9
0.6666666666666666,0.75,0,994,0,8
0.0,0.5714285714285714,0,1086,0,8
0.6666666666666666,0.42857142857142855,0,1027,0,8
0.6666666666666666,0.5,0,1079,0,8
0.0,0.375,0.0,1740,0,6
0,0.0,0,1224,3,0
0.3333333333333333,0.4,0,739,1,5
0.0,0.0,0,534,0,0
0.0,0.0,0.5,844,1,1
0.0,0.2,0.5,806,1,3
0,0.0,1.0,774,0,1
0.5,0.5714285714285714,0,1155,0,10
0,0.42857142857142855,0,1236,0,6
0.5,0.8,0,886,1,9
1.0,1.0,0,1105,0,17
0.0,0.0,0.8333333333333334,795,0,5
0.0,0.5,1.0,1457,0,8
0.0,0.3333333333333333,1.0,1240,1,5
0.0,0.4166666666666667,1.0,1836,1,13
0.0,0.0,0,180,0,0
0,0,0,18,0,0
0,0,0,27,0,0
0,0,0,6,0,0
0,0,0,5,0,0
0,0.0,0,73,0,0
1.0,0.5,0.0,1453,1,9
0,0,0,137,0,0
0,0.0,0,194,2,0
1.0,1.0,0,25,0,3
0,0,0,245,0,0
0,0,1.0,53,0,2
1.0,0.5,0,1201,1,5
0,0.5,0,859,0,4
0.0,0.5,0,1185,1,2
0.0,0.0,0,985,0,0
0.0,0.0,0,1113,0,0
0.0,0.42857142857142855,0.5,984,2,8
0.0,0.0,0,133,0,0
0.0,0.5,0,202,0,2
0,0.75,0,804,0,6
0,0.5,0,565,0,2
0,0,0,91,0,0
0.75,0.75,0,1066,0,9
0.0,0.5,0,1082,0,4
0,0.3333333333333333,0,394,0,2
0,0.0,0,150,0,0
1.0,1.0,0,261,0,3
0.0,0.5,0,667,0,2
0,1.0,0,24,0,2
0,0,0,19,0,0
0,0.0,0,432,0,0
0.0,0.3333333333333333,0,629,0,2
0.3333333333333333,0.5,0,950,0,5
0,0,0,86,0,0
0,0,0.5,96,0,1
0.0,0.0,0,146,0,0
0,0,0,2,0,0
0.5,0.9,0,1324,2,19
0.0,0.25,0.75,1394,0,5
0,0.6666666666666666,0,1569,0,8
0.5,0.5,0,1313,0,7
0,0.5,0,731,1,2
0.0,0.0,0,708,0,0
0.5,0.5,0.5,1769,1,12
0,0.5,0,446,0,2
0,1.0,0,110,0,2
0,0.5,0,499,0,2
0.0,0.2,1.0,479,0,4
0.5,0.2857142857142857,0,1347,1,5
0.0,0.0,0,590,0,0
0,0,0,11,0,0
0,0.5,0,103,0,2
0,1.0,0,478,0,4
1.0,0.5,0,257,0,3
0,0.0,0,118,0,0
0,0.5,0,136,0,2
0.5,0.625,0,862,0,11
0.5,0.8,0,1017,0,9
0.0,0.0,0,1095,0,0
0.0,0.0,0,1123,0,0
0.0,0.5714285714285714,0,955,0,8
0,0.0,0,1307,0,0
1.0,0.5,0,922,0,5
1.0,0.8333333333333334,0,1363,0,11
0.0,0.3333333333333333,0,932,0,2
0,0.5,1.0,840,0,4
1.0,0.375,0.5,1456,0,9
0,0.0,0,529,0,0
0,0.42857142857142855,0.5,1630,0,7
