@relation Garrett_Temple
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.0,0,303,0,0
0,0,0,55,0,0
0,0,0,27,0,0
0,0,0,7,0,0
0,0,0,79,0,0
0,0.0,0.5,589,0,1
0,1.0,0,936,1,2
0.0,0.25,0,918,0,2
0.0,0.4,0,1185,2,4
0.0,0.3333333333333333,0,1045,1,2
0,0.6666666666666666,0,945,0,4
0.0,0.3333333333333333,0,1578,0,2
0,1.0,1.0,1323,2,6
0.0,0.14285714285714285,0,1331,1,2
0,0,0,62,0,0
0,0.0,0,105,0,0
0,0,0,62,0,0
0.0,0.0,0,297,1,0
0,0.25,0.3333333333333333,962,0,3
0,0,0,241,0,0
0,1.0,0,925,0,2
1.0,0.2857142857142857,0,630,1,5
0.0,0.2,0,691,2,2
0,0.0,0,710,0,0
0,0.25,0.5,1054,1,3
0,0.0,0.5,623,0,1
0,0,0,371,0,0
0,0.25,0,1049,0,2
0.3333333333333333,0.4,1.0,613,0,7
0,0.0,0,973,0,0
0.0,0.3333333333333333,0,889,0,2
0,0.5,0,555,0,2
0,0.6666666666666666,0,338,0,4
0.5,0.5,0.7142857142857143,755,0,10
0,1.0,0.5,665,0,3
0.0,0.6,0,863,1,6
0.3333333333333333,0.25,0.5,734,0,4
0,0.0,0,1074,1,0
0,1.0,1.0,536,0,4
0.0,0.16666666666666666,0.5,1401,0,3
0.0,0.25,1.0,817,0,6
0,0.5,0,331,1,2
0.0,0.5,0.0,789,0,4
1.0,0.75,0,846,1,7
0,1.0,0,747,0,2
0,0.6666666666666666,1.0,840,1,6
0,0.0,0,533,0,0
0,0.3333333333333333,0.6666666666666666,723,0,4
0.0,0.5,0,933,0,2
0,0.0,0,499,0,0
0.0,0.0,0,613,3,0
0.0,0.5,0,902,0,4
0,0,0,126,0,0
0,0,0,89,0,0
0,0,0.5,45,0,1
0,0.0,0,380,0,0
0,0.0,0,230,0,0
0,0,0,11,0,0
0,0,0,86,0,0
0,0,0,16,0,0
0,0,0,12,0,0
0,0,0,86,0,0
0,0.6666666666666666,1.0,147,0,6
0,0,0,5,0,0
0,0,0,7,0,0
0,0.0,0,104,0,0
0,0,0,106,1,0
0,0,0,8,0,0
1.0,1.0,0,146,0,3
0,0.5,1.0,196,0,3
0,0,0,7,0,0
0,0,0,1,0,0
0,0,0,55,0,0
0,0,0,125,0,0
0,0.0,0,229,0,0
0.3333333333333333,0.25,0,1855,2,6
0.6666666666666666,0.5,1.0,2012,0,12
0.5,0.6666666666666666,0.8,2266,0,18
0.5714285714285714,0.5,0.75,1818,1,17
0.5714285714285714,0.42857142857142855,0,2571,1,16
0.0,0.0,0.75,1742,0,3
0.3333333333333333,0.25,0,1886,1,3
0.0,0.2,1.0,1301,2,6
0.0,0.0,0.5,1370,0,1
0.0,0.0,1.0,800,1,2
0,0.0,0,577,1,0
0.0,0.0,0.5,1077,1,1
0.5,0.6666666666666666,0.0,858,2,5
0,0,0,26,0,0
0,0,0,175,0,0
0,0.0,0,259,0,0
0,0,0,1,0,0
0,0,0,3,0,0
0,0,0,142,0,0
0,0,0,31,0,0
0.5,0.3333333333333333,0,618,2,3
0,0,0,4,0,0
0,0,0,95,0,0
0,0.0,0,35,0,0
0,0,0,163,0,0
0,0,0,207,0,0
0,0,0,119,0,0
0,0,0,25,0,0
0,0.0,0,259,1,0
0,0.0,1.0,195,0,2
0,0,0,19,0,0
1.0,1.0,0,279,0,8
0,0,0,3,0,0
0,0,0,90,0,0
0.0,0.6,0,435,0,6
0.0,0.5,0,715,1,2
0.0,0.42857142857142855,0,1583,0,6
0.0,0.3333333333333333,1.0,1076,0,6
0.5,0.6,0,1080,0,7
1.0,0.6,0,1427,1,7
0.5,0.6666666666666666,1.0,1575,1,7
0.5,0.3333333333333333,0,1617,2,3
0.6,0.5714285714285714,0.5,1814,1,12
0.4,0.42857142857142855,1.0,1897,0,10
0.16666666666666666,0.36363636363636365,1.0,1523,1,11
0.0,0.0,0,1166,1,0
0.5,0.5,0.0,935,0,3
0.6666666666666666,0.6666666666666666,0,1094,1,6
0.5,0.6666666666666666,0.5,1253,0,11
0.0,0.0,1.0,1143,0,2
0,0.25,0.0,568,0,2
0.0,0.25,0,803,0,2
0,0.0,0.5,526,0,3
0.0,0.0,0,225,0,0
0,0,1.0,19,1,2
0,0,0,7,0,0
0,0,0,167,0,0
0.5,0.3333333333333333,1.0,631,0,5
0,0,0.5,57,0,1
0.0,0.375,1.0,1262,1,9
0.5,0.5,0.8333333333333334,1870,0,18
0.5,0.3333333333333333,1.0,1828,1,10
0.3333333333333333,0.5,0.5,1539,0,8
0.0,0.2,0,1051,1,2
0,0.0,0,603,1,0
0.0,0.5,0.5,674,0,5
0.0,0.0,0.5,1032,0,1
