@relation Greg_Smith
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.0,0,238,1,0
0,1.0,0.0,663,5,12
0,0,0,61,0,0
0,0,0,40,0,0
0,0.6,0,1227,2,6
0,0.6666666666666666,0,811,1,4
0,0.5,0,725,1,6
0,0.3333333333333333,0,249,0,2
0,0,0,572,0,0
0,1.0,0,627,1,4
0,0.5,0.5,804,0,4
0,0,0,131,0,0
0,0.0,0,172,2,0
0,1.0,0,442,0,2
0,0.0,0,206,0,0
0,0,0,345,0,0
0,1.0,0.75,785,1,5
0,0,0,51,0,0
0,1.0,0,551,2,2
0,0.0,0.5,169,2,1
0,1.0,0.5,671,1,3
0,0,0,48,0,0
0,1.0,0,196,0,2
0,0,0,33,0,0
0,0.5,0,294,1,2
0,0,0.5,607,1,1
0,0.5,0.5,431,0,3
0,1.0,1.0,751,3,6
0,0.0,0.0,1037,0,0
0,1.0,1.0,1522,2,4
0,0.75,0.5,1253,1,8
0,0.75,0,869,2,6
0,0,0,584,0,0
0,1.0,0.5,944,0,5
0,0.3333333333333333,0,962,1,2
0,0,0,800,2,0
0,0.5,0.5,366,1,3
0,0.0,0.5,998,1,1
0,0,0,57,0,0
0,1.0,0,417,0,4
0,1.0,0.0,304,1,2
0,0.5,0.5,723,0,3
0,0.6666666666666666,0,644,0,4
0,1.0,0,254,0,2
0,0.0,0,804,0,0
0,0.0,0,534,1,0
0,1.0,0.5,1361,0,4
0,0.6666666666666666,0.0,562,1,4
0,0,0,106,0,0
0,0,0,128,0,0
0,0,0,209,0,0
0,0.0,0.5,395,0,1
0,0,0,42,0,0
