@relation Greivis_Vasquez
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.5,0.6666666666666666,0.8,2178,0,17
0,0.4,1.0,1209,0,8
0.0,0.14285714285714285,0,1426,0,2
0.25,0.4,1.0,1188,0,9
0.25,0.5,0.5,1942,1,12
0.0,0.6,0,1939,0,6
0.3333333333333333,0.5384615384615384,1.0,1953,1,17
0.5,0.5,0,1719,0,13
0,0.5714285714285714,0,1168,0,8
0.5,0.5555555555555556,0,1442,0,11
0.0,0.2222222222222222,1.0,1659,1,13
0.0,0.3333333333333333,0,900,0,2
0.3333333333333333,0.5,0,1971,0,20
0.3333333333333333,0.3333333333333333,1.0,2158,1,11
0,0.25,1.0,833,1,6
1.0,0.4,1.0,1597,0,12
0.3333333333333333,0.4,0,1355,0,5
0,0.2,1.0,1266,0,4
0.6666666666666666,0.7142857142857143,0,1027,0,12
0.0,0.3333333333333333,1.0,1010,0,7
0.0,0.26666666666666666,0.5,1768,1,9
0.5,0.5454545454545454,0,871,1,14
0.0,0.16666666666666666,0.8333333333333334,906,0,7
0.3333333333333333,0.2857142857142857,0.5,1014,1,6
0.0,0.14285714285714285,1.0,950,0,4
0.5,0.375,1.0,922,0,11
0.5,0.4444444444444444,0,945,0,9
0.5,0.3333333333333333,0,867,0,6
0.0,0.0,0,765,0,0
0,0,0,647,0,0
0.0,0.14285714285714285,0,823,0,2
0.25,0.375,0,1171,0,7
0.0,0.2,0,758,0,2
1.0,0.6,0,1241,0,8
0,0.0,0,514,0,0
0.25,0.16666666666666666,0,1147,0,3
0.2,0.45454545454545453,0,1259,2,11
0.42857142857142855,0.46153846153846156,0,1424,1,15
0.42857142857142855,0.38461538461538464,0.6666666666666666,2011,0,17
0.0,0.16666666666666666,0,1322,0,2
0.0,0.5,0.6666666666666666,1199,2,8
0.5,0.4444444444444444,1.0,1560,0,12
0.3333333333333333,0.2857142857142857,0,2248,0,6
0.0,0.0,0,1173,0,0
0.0,0.5555555555555556,1.0,1646,0,12
1.0,0.25,1.0,1585,1,5
0.0,0.0,0,1022,0,0
0.0,0.25,1.0,795,0,3
0.5,0.5,0,1409,0,12
1.0,0.75,0,1555,0,14
0.3333333333333333,0.375,0,1031,1,7
0.6666666666666666,0.3333333333333333,1.0,918,0,8
0.6666666666666666,0.5714285714285714,0,1548,0,10
0.5,0.5454545454545454,0,1036,1,15
0.4444444444444444,0.5789473684210527,0,2310,0,26
0.2857142857142857,0.38461538461538464,0,1372,0,12
0.0,0.2,1.0,1101,0,4
0.4,0.375,1.0,1343,1,12
0.0,0.3333333333333333,0,1085,0,4
0.5,0.3333333333333333,0,1150,0,7
0.6,0.5454545454545454,0.6666666666666666,1690,0,17
0.0,0.0,1.0,1162,0,2
0.0,0.35714285714285715,0,1069,0,10
0.4,0.5714285714285714,0.8,1272,1,14
0.6,0.8181818181818182,0,1875,0,21
0.0,0.38461538461538464,1.0,1670,0,12
0.5714285714285714,0.3076923076923077,1.0,1452,1,16
0.3333333333333333,0.3,0,1013,0,7
0.6,0.45454545454545453,1.0,1434,1,15
0.0,0.3333333333333333,1.0,925,0,5
0.6,0.5454545454545454,0.6666666666666666,1388,0,17
0.5714285714285714,0.3333333333333333,0.75,2394,0,15
0.4,0.3333333333333333,0,1963,0,10
0.75,0.6666666666666666,0,2247,0,26
0.6666666666666666,0.6666666666666666,1.0,808,0,8
0.5,0.3333333333333333,0,1167,0,6
0.5,0.5555555555555556,1.0,1161,0,14
0.5555555555555556,0.6666666666666666,0.8,2380,0,25
0.5,0.5555555555555556,0,1314,0,13
0.3333333333333333,0.45454545454545453,0,1039,0,12
0.0,0.1111111111111111,1.0,1094,0,6
0.3333333333333333,0.45454545454545453,0,1509,0,12
0.14285714285714285,0.3333333333333333,1.0,1097,0,10
0.5,0.375,0,1200,0,7
0.0,0.0,1.0,971,1,2
0.5,0.45454545454545453,1.0,1561,0,13
0.0,0.125,1.0,936,0,4
0.0,0.4,0.75,839,0,7
1.0,0.5,0,854,1,8
0.25,0.2,0,856,0,3
0.5,0.45454545454545453,0,1556,2,11
0.3333333333333333,0.2857142857142857,1.0,1066,0,7
0.0,0.16666666666666666,0,963,0,2
0.5,0.6666666666666666,1.0,1007,0,21
0.8,0.45454545454545453,0.0,1496,0,14
0.2,0.5,0.5,2035,0,19
0.5,0.5,0,1771,0,12
0.6,0.5384615384615384,0.0,1843,0,17
0.0,0.18181818181818182,0,1671,0,4
0.0,0.4444444444444444,0.5,1987,0,9
0.3333333333333333,0.3333333333333333,0,763,0,3
0.2857142857142857,0.3076923076923077,0,1514,0,10
0.0,0.5,0,821,0,2
0.0,0.2222222222222222,0,1173,1,4
0.3333333333333333,0.5454545454545454,0,982,0,13
0.25,0.3333333333333333,0.5,1483,0,8
0.6,0.6923076923076923,0,1485,1,21
0.0,0.14285714285714285,0,876,0,2
0.5,0.4166666666666667,1.0,1335,0,16
0.0,0.1,0.0,1079,1,2
0.2857142857142857,0.38461538461538464,0.5,1380,0,13
0.5555555555555556,0.5263157894736842,0.0,2051,0,25
0.0,0.0,1.0,1325,0,2
0.6,0.5,0,1774,0,11
0.5,0.3333333333333333,0,1125,0,6
0.6666666666666666,0.7777777777777778,0,1523,0,16
0.0,0.2,0,1443,1,2
0.5,0.42857142857142855,0,1241,0,8
0.4444444444444444,0.35714285714285715,1.0,1683,0,16
0.5,0.4,0.3333333333333333,1859,1,10
0.0,0.125,0.5,1340,1,3
0.0,0.5454545454545454,0,1989,1,12
0.3333333333333333,0.5,1.0,1469,0,13
0.25,0.3333333333333333,1.0,1707,0,7
0.8,0.7777777777777778,0,1864,0,18
0.5,0.375,0,1465,0,8
0.75,0.5,1.0,1643,0,12
0.3333333333333333,0.2727272727272727,0,1993,0,8
0.5,0.4,0,1260,0,5
0.5714285714285714,0.6666666666666666,1.0,1401,1,17
0.3333333333333333,0.3333333333333333,0,989,0,5
0.6,0.5714285714285714,0,1136,0,11
0.2,0.3,0,1445,0,7
0.5,0.2857142857142857,0,1341,1,6
0.0,0.3333333333333333,1.0,855,2,6
1.0,0.8333333333333334,0.5,1166,0,14
0.0,0.16666666666666666,0,1506,0,2
0.4444444444444444,0.38461538461538464,0,2039,2,14
0.5,0.625,0,1676,0,12
0.3333333333333333,0.2857142857142857,0.5,2377,0,6
0.0,0.2,0,815,0,2
0.5,0.42857142857142855,1.0,1204,2,10
0.5,0.3333333333333333,0,883,0,3
0.3333333333333333,0.45454545454545453,0,1545,0,12
0.4,0.4444444444444444,0,1068,0,10
0.5,0.375,0,1482,0,8
0.2,0.3333333333333333,0,2218,0,11
0.0,0.625,1.0,2053,0,12
0.25,0.5,0,1685,0,7
0.5454545454545454,0.4666666666666667,1.0,1854,2,22
0.3333333333333333,0.5,0,1551,0,5
0.16666666666666666,0.1,0,2024,1,3
0.8,0.8333333333333334,0,1771,0,14
0.2,0.3,0,2001,0,7
0.3333333333333333,0.3333333333333333,0,2245,1,8
0.6666666666666666,0.46153846153846156,0,2134,0,16
0.0,0.3333333333333333,1.0,1552,0,9
0.5,0.5555555555555556,0,1473,0,12
0.5,0.5714285714285714,0,1936,0,11
0.5,0.25,0,1498,0,6
0.5,0.6666666666666666,0,1864,0,10
0.25,0.2857142857142857,1.0,1672,0,7
0.0,0.2,0,1028,0,2
0.4,0.36363636363636365,1.0,1512,0,11
0.3333333333333333,0.3333333333333333,1.0,1759,1,15
0.0,0.0,0,996,0,0
0.0,0.2857142857142857,1.0,1527,0,9
0.0,0.0,0,1602,1,0
0.25,0.3333333333333333,0.6666666666666666,1320,1,11
0.25,0.375,1.0,1833,0,8
0.0,0.0,1.0,1694,0,1
0,0.3333333333333333,0,1116,0,2
0.375,0.42857142857142855,0,1970,0,15
0.4,0.5,0.6,1430,0,13
0.6666666666666666,0.7142857142857143,0,1178,0,12
0.0,0.0,0,1276,0,0
0,1.0,0,898,0,4
0.5,0.5,1.0,1315,1,10
0.6666666666666666,0.75,1.0,947,0,9
0.0,0.2,0,796,0,2
