@relation Gustavo_Ayon
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.6,0,1007,1,6
0,0.8333333333333334,0,1191,3,10
0,0.5,0,1324,2,4
0,0.75,0.5,1044,1,7
0,0,0,924,0,0
0,0.0,1.0,1207,0,2
0,0.6666666666666666,0,562,2,4
0,0.0,0,218,0,0
0,1.0,0,1227,1,6
0,0.0,0,481,2,0
0,0.0,0,260,0,0
0,0.0,0,339,0,0
0,0.0,0,412,7,0
0,0.0,0,833,3,0
0,1.0,0,481,2,4
0,0.5714285714285714,0.0,1597,3,8
0,0.8,0.0,1695,0,8
0,0.6,0,1545,4,6
0,0.75,0.5,1368,1,7
0,0.25,0,1226,1,2
0,0.42857142857142855,0.0,1112,0,6
0,0.4,0.0,1025,0,4
0,1.0,1.0,1278,1,6
0,0.16666666666666666,0.5,1154,4,4
0,0.8181818181818182,0,1832,3,18
0,0.0,0,413,1,0
