@relation Hollis_Thompson
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.0,0,626,0,0
0.0,0.0,0,297,1,0
0.5,0.42857142857142855,0,1003,1,7
0,0,0.6666666666666666,273,1,2
0,0,0,129,0,0
0.0,0.0,0,721,1,0
0,0,0.5,503,0,1
0.5,0.6666666666666666,0,849,0,5
0.0,0.4,0.8,1448,0,8
0.0,0.0,0,1101,1,0
0.0,0.6,0,810,1,6
1.0,0.7777777777777778,0.5,1257,3,16
0.5,0.42857142857142855,1.0,1854,2,10
0.3333333333333333,0.5,0,1167,1,7
0.3333333333333333,0.3333333333333333,0,1346,3,5
0.0,0.5,0,1677,1,6
1.0,0.8,0,1956,1,10
0.6666666666666666,0.7142857142857143,0,1891,1,12
0.4,0.5,0,2061,3,10
0.2,0.14285714285714285,0.7142857142857143,2346,3,8
0,1.0,1.0,1144,0,5
0.0,0.25,0,1535,1,4
1.0,0.6666666666666666,0.75,2135,1,17
0.16666666666666666,0.2,1.0,1820,1,7
0.5,0.75,0,1551,2,7
0.5,0.2,0,1215,1,3
0.0,0.25,0.0,2129,4,4
0.0,0.25,0.5,970,1,3
1.0,0.8333333333333334,0,1020,3,11
0.5,0.3333333333333333,0,1346,0,3
0.0,0.3333333333333333,0,1283,0,2
0.0,0.5,1.0,1968,0,9
0,0.25,1.0,1915,2,4
0.0,0.0,0,572,1,0
0,0.6666666666666666,0,929,1,4
0,0,0.5,708,0,1
0.25,0.5,1.0,1242,3,10
0.0,0.4,0.0,1279,1,4
0.5,0.5555555555555556,0.5,2241,0,13
1.0,0.6666666666666666,0,778,1,5
1.0,0.8571428571428571,1.0,1465,3,15
0,0.5,0.5,874,0,3
1.0,0.8,0,1119,1,10
0,0,0.6666666666666666,992,0,4
0.3333333333333333,0.2857142857142857,1.0,1471,0,7
0.5,0.42857142857142855,0.0,1487,2,7
0.0,0.6666666666666666,0,970,0,4
0.6666666666666666,0.5,0,1322,0,6
0.0,0.5,0,1286,0,4
0.0,0.2,0,1318,2,2
1.0,0.6,0,1121,2,7
0.5,0.42857142857142855,0.3333333333333333,1304,0,8
0.5,0.5,0,1500,0,6
0.0,0.375,1.0,1626,1,7
0.0,0.0,0,1503,0,0
0.0,0.5,0,1560,0,6
0.0,0.5,1.0,993,1,4
0.25,0.3333333333333333,0,1397,0,5
0.3333333333333333,0.4,0,1672,0,5
0.5,0.6,0,1963,0,8
0.0,0.0,0,1495,3,0
1.0,0.8571428571428571,1.0,2452,2,17
0.0,0.0,1.0,1157,0,2
0.0,0.25,0,697,0,2
0.0,0.2,1.0,1941,1,6
0.5,0.42857142857142855,0,2190,1,8
0.6666666666666666,0.5,0,1215,1,6
1.0,0.625,0,1300,1,14
1.0,0.6666666666666666,0.0,1493,0,5
0.5,0.6,1.0,1578,1,9
0.5,0.25,0,1819,2,6
0.75,0.6666666666666666,0,1590,0,18
0.4,0.5,0,1840,1,8
0.3333333333333333,0.3333333333333333,0,1501,0,3
0.3333333333333333,0.25,0,1631,1,3
0.0,0.5,0.6666666666666666,922,0,4
0.3333333333333333,0.25,0,1646,0,3
0.5,0.4,0,1710,1,5
0.3333333333333333,0.3157894736842105,1.0,2101,0,15
0.4,0.5,0,1941,0,10
0.3333333333333333,0.4,0.6666666666666666,1889,0,7
0.25,0.2,1.0,2056,1,6
0.5,0.5,0.5,1922,1,21
0.0,0.2,0.0,1775,0,2
0.0,0.0,0,1419,0,0
0.6666666666666666,0.7142857142857143,0,1503,1,12
0.2,0.125,0.5,1578,2,4
0.3333333333333333,0.16666666666666666,1.0,1606,0,5
0.0,0.4,0.5,1080,0,5
0.4,0.5714285714285714,0.0,1296,1,10
0.0,0.3333333333333333,0,1024,0,2
0.6666666666666666,0.7142857142857143,0,1723,1,14
0.2857142857142857,0.4,0,1629,0,10
0.3333333333333333,0.5,0,1735,0,7
0.0,0.16666666666666666,0.5,1820,0,3
0.16666666666666666,0.14285714285714285,1.0,1637,2,5
0.5,0.5555555555555556,0.0,1539,0,13
0.3333333333333333,0.42857142857142855,1.0,2137,1,8
0.0,0.16666666666666666,0,1654,0,2
1.0,0.875,1.0,2455,2,21
0.0,0.3333333333333333,0,1285,1,2
0.0,0.14285714285714285,0,1406,0,2
1.0,0.75,0,1032,0,7
0.2,0.2,0.5714285714285714,1455,1,9
0.3333333333333333,0.4,0.6,1255,3,8
0.25,0.42857142857142855,0,1137,0,7
0.2,0.3333333333333333,0.5,1326,0,9
0.5,0.5,0.6666666666666666,927,1,8
0.3333333333333333,0.3333333333333333,0,777,0,3
0.5,0.25,0,1213,3,5
0.0,0.25,0,889,0,2
0.0,0.1111111111111111,0,1207,1,2
0.3333333333333333,0.42857142857142855,0,929,0,7
0.6666666666666666,0.4444444444444444,0,1644,1,12
