@relation JaKarr_Sampson
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.0,0,475,0,0
0.0,0.0,0,306,0,0
0,0,0,147,0,0
0.0,0.0,0,625,0,0
0,0.3333333333333333,0,261,0,2
0,0.6666666666666666,0,1602,1,4
0.0,0.125,0.5,1172,1,4
0.5,0.375,0.5,1298,0,8
0,0,0,167,0,0
0,0,0,62,1,0
1.0,1.0,0.5,749,0,4
0.0,0.0,0,160,0,0
0.0,0.3333333333333333,0.5,462,1,3
0.0,0.5,0.0,539,0,2
0,0.0,0,409,1,0
0,0,0,107,0,0
0,0,0,268,0,0
0.0,0.6666666666666666,1.0,399,0,6
0,1.0,1.0,1193,1,8
1.0,0.4,0,1037,2,5
0.0,0.5,1.0,1216,0,8
0,1.0,0.5,1213,1,9
0.0,0.0,0.0,1118,0,0
0.25,0.2857142857142857,0.6666666666666666,904,1,7
0.0,0.5,0.0,130,0,2
0.3333333333333333,0.5714285714285714,0.5,1455,0,10
0,1.0,0,99,0,2
0.5,0.7142857142857143,0,1452,2,11
0,0.5,0,229,0,2
1.0,1.0,0,1127,0,9
0.5,0.5,0.0,829,0,5
0.0,0.2,1.0,808,0,4
0.0,0.0,0,687,0,0
0.5,0.8,0,943,0,9
0.5,0.25,0,662,0,3
0.0,0.3333333333333333,0,718,0,2
0,0.0,0,210,0,0
0.3333333333333333,0.4444444444444444,0,1035,1,9
0.0,0.2222222222222222,0,1088,2,4
1.0,0.8333333333333334,0.5,1414,0,13
0.0,0.6,1.0,1034,0,8
0.0,0.0,0.5,761,0,1
1.0,0.8,0,1089,0,10
1.0,0.75,0.75,1084,0,11
0.0,0.5,0.3333333333333333,767,0,5
0.0,0.2,0.5,1328,0,4
0.0,0.7142857142857143,0,1598,0,10
0.3333333333333333,0.3333333333333333,1.0,1202,1,11
0.5,0.6666666666666666,1.0,1274,0,16
0.0,0.25,0.5,1218,1,5
0.0,0.5,0,836,0,4
0.0,0.5,0,678,0,2
0.5,0.2857142857142857,1.0,1264,2,7
0.0,0.6666666666666666,1.0,918,0,7
0.3333333333333333,0.2,0.0,1343,1,3
0.0,0.0,0,1255,3,0
0.3333333333333333,0.25,1.0,998,0,5
0.0,0.6666666666666666,0.6666666666666666,998,1,10
0.0,0.2,0,1213,0,2
0.0,0.3333333333333333,1.0,1588,0,6
0,0.0,0.5,761,0,1
0.6666666666666666,0.6,0,1136,0,8
0.3333333333333333,0.5,0.5,986,3,6
0.3333333333333333,0.1111111111111111,0,879,1,3
0.5,0.5714285714285714,0,1008,0,9
0.5,0.5,0.5,1523,0,7
0.0,0.0,0,500,0,0
0.0,0.6666666666666666,0,1042,0,8
0.0,0.16666666666666666,0,997,0,2
0.0,0.0,1.0,1357,0,2
0.2,0.5384615384615384,0.75,1654,3,18
0.0,0.375,1.0,1236,2,10
0.0,0.5333333333333333,0.8571428571428571,2118,1,22
0.0,0.5555555555555556,1.0,1617,0,13
0,0.3333333333333333,0.5,1229,0,3
0,1.0,0,260,1,2
1.0,0.3333333333333333,0,933,1,3
0,0.6666666666666666,0.5,602,0,5
0,0.0,0.5,323,0,1
0,0.4,0.5,1616,3,9
0.0,0.625,0.5,1147,0,11
0.5,0.42857142857142855,1.0,921,1,9
0,1.0,0.5,889,0,7
0,0.75,0.5,1115,0,8
0.0,0.25,1.0,836,0,4
0,0,1.0,609,0,4
0,0.0,0.5,465,0,1
0.0,0.25,0,545,0,2
0.0,0.6,0,1119,1,6
1.0,1.0,0,694,0,9
