@relation Jeff_Taylor
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.16666666666666666,0.75,1666,0,5
0.0,0.375,0.5,1296,0,8
0.0,0.1111111111111111,0.42857142857142855,1499,0,5
0.5,0.5555555555555556,0.5,1104,2,13
0.25,0.5,0.5,1684,1,13
0.25,0.25,0,1032,1,5
0.0,0.4,0.6666666666666666,1524,0,10
0.0,0.5,1.0,1763,0,12
0.5,0.45454545454545453,0,1714,2,11
0.5,0.35714285714285715,0.4,1814,1,14
0.5,0.5,0,1985,2,20
0,0.0,0,1029,0,0
0,0.5,0,1068,0,4
0.25,0.3333333333333333,0.5,1646,0,9
0.5,0.5,0,1639,0,7
0.0,0.2857142857142857,0,1182,0,4
0.0,0.2857142857142857,0.0,1680,0,4
0.5,0.6,0,1404,0,7
0.0,0.0,0,194,1,0
0.2857142857142857,0.5,1.0,2212,3,20
0.5,0.375,0.5,1848,0,8
0.0,0.3333333333333333,0.5,2163,0,9
0.0,0.23076923076923078,0.5,1652,2,7
0.5,0.3333333333333333,0,1565,0,8
1.0,0.4,0,1351,0,5
0,0,0,37,0,0
0,0,0,203,0,0
0.0,0.0,0.0,334,0,0
0.0,0.2,0.5,545,2,3
0,0.3333333333333333,0,720,1,2
1.0,0.75,0.25,415,1,9
0,0.6666666666666666,1.0,403,0,6
0,0.5,0.0,543,0,4
0.5,0.6666666666666666,1.0,433,0,6
0.5,0.5,0.5,1306,0,6
0.5,0.625,0,1881,1,12
0.0,0.0,0,201,0,0
0.0,0.0,1.0,347,1,4
0.0,0.0,0,381,0,0
0,0.0,0,209,0,0
0,0.0,0,276,0,0
0.0,0.0,0,720,0,0
0,0,0.5,33,0,1
0.0,0.5,0.75,1623,0,9
0.5,0.3333333333333333,0,1554,1,5
0.0,0.25,0,1293,1,2
0,0.0,0,1119,0,0
0,0.5,1.0,1562,3,7
0.6666666666666666,0.5,0,1088,0,8
0.0,0.2222222222222222,0,1487,2,4
0.5,0.5454545454545454,0.4,1798,0,16
0.0,0.3333333333333333,1.0,2281,1,6
