@relation Jeremy_Evans
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,1.0,0,777,1,8
0,1.0,0,960,2,14
0,0.5,0,1055,1,2
0,0.5714285714285714,1.0,1393,4,9
0,0.625,0.0,1576,3,10
0,1.0,0.8,1194,1,12
0,0.25,0.5,1033,1,3
0,0.5714285714285714,1.0,1105,7,10
0,0.4444444444444444,0,1756,4,8
0,0.3333333333333333,0,2259,4,6
0,0.5,1.0,1226,1,9
0,0.3333333333333333,1.0,1293,4,10
0,0.2857142857142857,0,1250,4,4
0,0.3333333333333333,0,1068,0,4
0,0.4,0,857,0,4
0,0.4,1.0,1361,3,10
0,0.2,0.0,787,1,2
0,0.6666666666666666,0,902,1,8
0.0,0.5,0.5,734,2,5
0,0.75,0,963,0,6
0,0.0,0,818,2,0
0,0.25,0,1157,1,2
0,0.8333333333333334,1.0,1034,3,11
0,0.5,1.0,417,0,4
0,1.0,0.0,917,2,6
0,0.5,1.0,913,3,6
0,0.6,0,978,0,6
0,0.8,0.5,1368,1,9
0,0.42857142857142855,0.75,1521,5,9
0,0.45454545454545453,0,1761,2,10
0,0.5,1.0,828,0,4
0,0.5,0.5,1187,7,14
0,0.625,0,1003,1,10
0,0.6666666666666666,1.0,1174,1,5
0.0,0.75,0,1202,1,6
0,0.7,0,1531,3,14
0,0.7142857142857143,0,1081,2,10
0,0.3333333333333333,1.0,1225,4,3
0,1.0,0,1028,0,2
0,0.6666666666666666,0.8333333333333334,1493,1,9
0,0.5,0,1094,0,4
0,0.7142857142857143,0.5,1554,2,11
0,0,0,854,1,0
0,0.3333333333333333,0,1192,5,4
0,0.6666666666666666,0,940,1,4
0,0.5,0,1492,1,8
0,0.5,0,714,2,4
0,0.0,0,535,1,0
0,0.5,0.5,662,0,3
0,0.5714285714285714,1.0,1084,2,9
0,0.5,0,1288,0,6
0,1.0,0,585,1,4
0,0.25,0,1349,1,2
0,0.0,0,349,0,0
0,0.0,0,488,0,0
0,0.3333333333333333,0,490,0,2
0,0.3333333333333333,0,546,0,2
0,1.0,0,332,1,2
0,0,0,77,0,0
0,1.0,0.5,1004,1,3
0,0.5,0.0,1379,3,8
0,0.3333333333333333,0,1937,6,6
0,0.6666666666666666,0,1458,0,4
0,0.42857142857142855,0.8,1235,1,10
0,0.3333333333333333,0.5,1441,2,3
0,0.6153846153846154,1.0,2287,6,18
0,0.0,0,231,0,0
0,0,0,12,0,0
0,0,0,128,0,0
0,0,0,148,0,0
0,1.0,0,267,0,2
0,0,0,129,0,0
0,0.5,0,369,2,2
0.0,0.3333333333333333,1.0,316,0,3
0,0.0,0,286,1,0
1.0,0.75,1.0,875,1,9
0,0.0,0,189,0,0
0,0,0,171,0,0
0,0.0,1.0,522,2,2
0,0.0,0,152,0,0
0,0.6666666666666666,0,277,0,4
0,0,0,88,0,0
0,0.0,0,116,0,0
0,0,0,366,1,0
0,0,0,805,1,0
0,0.6666666666666666,0.0,439,0,4
0,1.0,0.0,294,0,2
0,0,0,245,0,0
0,0,0,31,0,0
0,1.0,0,728,1,2
0,1.0,0,259,0,2
0,0,1.0,357,0,2
0,0,0,138,1,0
0,0,1.0,735,1,2
0,1.0,0,429,2,4
0.0,0.5,0,1098,2,4
0,1.0,0,300,1,2
0,0.6666666666666666,1.0,475,2,10
0,0,1.0,554,0,4
1.0,0.5,0,580,0,3
0,0.6,1.0,890,3,12
0,0.0,0.5,946,0,1
0.0,0.4444444444444444,0.6666666666666666,1300,4,10
1.0,0.75,0,1544,1,7
0.0,0.0,1.0,1442,1,2
0,0,0,59,0,0
0.0,0.0,0,575,0,0
0,1.0,0.5,784,0,3
0,1.0,0.6666666666666666,741,0,8
0,0,0,45,0,0
0,0.5,0,860,1,4
0,0,0,84,0,0
0,0,0,78,0,0
0,0,0,17,0,0
1.0,1.0,0,261,0,3
0,0,1.0,241,1,2
