@relation Jerian_Grant
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.5714285714285714,1.0,1451,0,10
0,0.5,0.5,1725,1,5
1.0,0.42857142857142855,0,1270,1,7
0,0.625,0.6666666666666666,1400,0,12
0.0,0.0,1.0,997,0,6
0.0,0.4,0.6666666666666666,1403,0,8
0.0,0.16666666666666666,0,1101,0,2
0.0,0.3333333333333333,1.0,1104,1,4
0.0,0.5,0,1124,0,8
0.0,0.0,1.0,900,0,6
0.0,0.5,0.5,1561,0,7
0,0.25,1.0,764,0,4
1.0,0.3333333333333333,0.5,779,0,4
0,0.0,1.0,798,0,6
0.0,0.0,0,705,1,0
0,0,0,351,0,0
0,0.5714285714285714,0,1382,0,8
1.0,1.0,0,691,0,7
