@relation John_Salmons
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.3333333333333333,0.3333333333333333,1.0,1597,0,9
0.0,0.14285714285714285,0,1721,0,2
0.3333333333333333,0.16666666666666666,0,1141,0,3
0.25,0.45454545454545453,1.0,2042,1,13
0.0,0.16666666666666666,0,1449,1,2
0.0,0.0,0,1441,0,0
0,0.6,1.0,1863,0,7
0.5,0.25,0,964,1,3
0.0,0.3333333333333333,1.0,2011,0,10
0,0,0,381,0,0
1.0,0.2857142857142857,0,1337,2,6
0.5,0.3333333333333333,0,2111,0,5
0.5,0.5,0,968,0,5
0.6666666666666666,0.5454545454545454,0,1270,1,14
0.5,0.5,0,1601,0,3
0.5,0.375,0,1586,0,8
0.6,0.5555555555555556,0,1549,1,13
0.0,0.125,0,1677,1,2
1.0,0.3333333333333333,0,1183,0,3
0.5,0.375,0,1669,0,7
0.6666666666666666,0.42857142857142855,0.75,1477,0,11
1.0,0.2857142857142857,0,1912,0,5
0.2,0.4166666666666667,1.0,1838,0,14
0.0,0.0,0,1148,0,0
0.42857142857142855,0.4,0,1825,0,11
0.0,0.0,1.0,1360,0,2
0,0.5,0.0,1883,0,8
0.25,0.3333333333333333,0,1123,0,5
0.0,0.2,1.0,1691,0,4
0.5,0.5,0.5,1264,2,4
0,0.5,0,1764,0,4
0.2,0.25,1.0,1352,0,7
1.0,1.0,0,1413,0,13
0.5,0.6,1.0,1615,0,10
0.6,0.5555555555555556,0.0,1597,1,13
0,0.5,0,629,0,2
0.0,0.0,0,1036,0,0
0.5,0.25,0,1311,0,3
0.6666666666666666,0.7142857142857143,0,1681,0,12
0.0,0.2,0,1165,0,2
0,0.3333333333333333,1.0,1665,0,6
0.5,0.16666666666666666,0,1353,0,3
0.75,0.4444444444444444,0,1456,0,11
0.0,0.0,0,1365,0,0
0.6,0.5555555555555556,0,1896,0,13
0.0,0.0,0,951,1,0
0.0,0.25,0,1034,0,2
0.0,0.0,1.0,1011,1,4
0.0,0.0,0,1289,0,0
0.6666666666666666,0.5,0,1560,0,8
0.0,0.3333333333333333,0,1456,0,4
0.0,0.375,0,1127,1,6
0,0.0,0.5,935,0,1
0.0,0.0,0,1172,0,0
0.2,0.3333333333333333,0,2032,0,7
0.0,0.2,0,1223,0,2
0.0,0.4444444444444444,0,1439,1,8
0.0,0.16666666666666666,0,1634,0,2
0.0,0.3333333333333333,1.0,1270,0,4
0.5,0.5714285714285714,0,1140,1,9
0,0.0,0,839,0,0
0.0,0.2,0,1099,1,2
1.0,0.5,0,807,0,3
0.5,0.2,0.5,1129,1,4
0.0,0.0,0.0,1109,0,0
0,0.0,0,387,0,0
1.0,0.25,1.0,861,0,5
0,0.0,0,799,0,0
0.5,0.5,0,1398,0,5
0,1.0,0,504,0,2
0.0,0.3333333333333333,0,1129,0,2
0.6666666666666666,0.375,1.0,1325,0,12
0,0.0,0,941,0,0
0.5,0.42857142857142855,0,1222,0,9
1.0,0.75,0,1063,1,7
0.4,0.5714285714285714,0,1377,1,10
0,0.0,0,965,0,0
1.0,0.6666666666666666,0.5,939,0,7
0,0,0,572,1,0
0.0,0.0,0,302,0,0
0,0,0,319,0,0
0.0,0.0,0,604,0,0
0.0,0.0,0,316,0,0
1.0,1.0,0,656,1,5
0,0.5,0,597,0,2
0.5,0.3333333333333333,0,1492,0,9
1.0,0.6666666666666666,0,1695,0,9
0,0.0,0.0,1485,0,0
0.5,0.5,0,1232,0,5
0.0,0.25,0,1074,0,2
0,0.0,1.0,533,0,2
0.0,0.0,0,840,1,0
0,0,0,412,0,0
1.0,1.0,0,611,0,3
0.3333333333333333,0.5,0,1082,0,5
0,0,0,809,1,0
0,0,0,342,0,0
0.0,0.0,0,747,0,0
0.0,0.0,0,462,0,0
