@relation Jonas_Jerebko
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.4,0.6666666666666666,509,0,6
0,0,0,398,2,0
0,0.5,0,635,1,2
0.0,0.0,0,233,0,0
0.0,0.3333333333333333,0,535,0,2
1.0,1.0,0.5,423,0,6
0,0.0,1.0,193,0,2
0,0,0,142,0,0
1.0,1.0,0,283,0,7
0,0.3333333333333333,0,633,0,2
0.0,0.3333333333333333,0.75,741,2,5
1.0,0.6,0,596,1,7
0,0.0,1.0,441,1,2
0.3333333333333333,0.3333333333333333,0,409,0,3
1.0,0.5555555555555556,0,1241,0,12
0,0.6666666666666666,0.5,1270,1,5
0,0,0,186,0,0
1.0,1.0,0,83,0,3
0.0,0.3333333333333333,1.0,271,0,3
0,0,0,154,0,0
1.0,0.6,0.5,794,2,8
1.0,0.75,0.5,929,0,8
0,0.5,1.0,720,0,3
0,0,0,237,0,0
0,0,0,26,0,0
0.0,0.6,0.5,567,1,7
0,0,0,13,0,0
0.0,0.0,0.5,351,1,1
0.5,0.5,0.75,1531,0,8
0,0.0,0,424,1,0
0,0.25,0,651,1,2
0,1.0,1.0,519,0,4
0,1.0,0,629,0,2
0,0,0,97,0,0
0,0.0,0,589,1,0
0,1.0,0,751,0,2
0,0.5,0,381,1,2
0.0,0.25,1.0,1214,0,4
1.0,0.5,0,711,0,3
0.0,0.5,1.0,595,1,5
0,0.5,0,621,1,2
0,0,0,194,0,0
0.0,0.2,0,500,2,2
0,0.6666666666666666,0,604,2,4
0,0.5714285714285714,0.5,1052,1,10
0.0,0.0,0,318,0,0
1.0,0.5,0,929,1,5
0,1.0,0,431,1,4
0.0,0.4,0,1056,2,4
0.5,0.42857142857142855,0,940,1,7
0.0,0.3333333333333333,0.6666666666666666,550,0,4
0.7142857142857143,0.6666666666666666,0.25,1620,5,22
0.5,0.3333333333333333,1.0,1415,4,7
0.0,0.3333333333333333,0,1142,2,4
0.0,0.42857142857142855,0,1430,0,6
0.6666666666666666,0.75,1.0,1442,0,10
0.0,0.0,0,681,3,0
0.0,0.0,0,529,1,0
0.3333333333333333,0.6666666666666666,0.75,1445,3,16
0.5,0.3333333333333333,0,983,0,6
0.5714285714285714,0.45454545454545453,1.0,1535,2,17
0.3333333333333333,0.25,0,1067,0,3
1.0,0.4,1.0,1376,2,6
1.0,0.6666666666666666,0,1501,1,5
0.5,0.6,0,730,0,7
0.0,0.5,0,1084,0,4
0.75,0.6666666666666666,0,895,1,11
0.0,0.6666666666666666,0,659,0,4
0.0,0.5,1.0,898,2,8
0.0,0.6666666666666666,1.0,1124,1,6
0.4,0.5,0,1044,1,12
1.0,1.0,0,1139,0,5
0.0,0.2727272727272727,0,998,3,6
1.0,0.6,0,1271,4,7
0,0.0,1.0,772,0,4
0,0,1.0,823,1,1
0.0,0.3333333333333333,0,675,1,2
0.0,0.0,0,705,1,0
0,0.0,0,409,1,0
0.25,0.375,1.0,720,2,9
0.0,0.0,0,254,0,0
0.0,0.0,0,122,0,0
0.3333333333333333,0.4444444444444444,0,1044,2,9
0.5,0.25,0,720,2,3
0,1.0,0,833,0,4
0.3333333333333333,0.5,0,720,0,7
1.0,1.0,1.0,808,0,13
0.5,0.25,1.0,1296,1,7
1.0,0.75,1.0,1089,2,10
