@relation KJ_McDaniels
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.2,0.0,1182,1,2
0.6666666666666666,0.7142857142857143,0,819,1,12
0.3333333333333333,0.5,0.75,1249,0,8
0.75,0.5555555555555556,0.25,1601,1,14
0.5,0.5,1.0,1739,0,12
0.0,0.2857142857142857,1.0,1654,2,6
0.25,0.5,0.0,1686,1,11
0.3333333333333333,0.3333333333333333,1.0,1525,0,8
0,0.4,0,988,1,4
0.0,0.3333333333333333,0.6666666666666666,1415,0,8
1.0,1.0,0,668,0,8
0.25,0.4166666666666667,1.0,1709,1,17
0.6666666666666666,0.5,0,1216,0,8
0.0,0.5,1.0,1643,0,6
0.4,0.4666666666666667,1.0,1988,3,18
0.6666666666666666,0.47058823529411764,1.0,1931,9,21
0.2,0.25,0.625,1815,1,10
0.2222222222222222,0.3076923076923077,1.0,2147,4,12
0.2,0.3333333333333333,0.6666666666666666,1952,2,11
0.0,0.3,0,1966,2,6
0.14285714285714285,0.2727272727272727,0.75,1385,1,10
0,0.0,0,1158,0,0
0.0,0.2,1.0,1224,1,6
0.0,0.5,1.0,1647,0,6
0.5,0.6666666666666666,0,1198,2,9
0.3333333333333333,0.5,1.0,1862,2,13
0.0,0.375,0.75,1520,1,12
0.3333333333333333,0.25,0,1076,0,5
0.0,0.5,0.75,1462,0,7
0.0,0.25,0,1563,0,4
0.0,0.2,0.0,1553,2,4
0.6666666666666666,0.625,0,1903,0,12
0.0,0.625,1.0,1782,3,14
1.0,0.5,1.0,1380,0,6
0.3333333333333333,0.42857142857142855,0.75,1956,1,10
0.6666666666666666,0.5555555555555556,1.0,1966,2,14
0.25,0.2,0.8333333333333334,1931,3,10
0.0,0.2857142857142857,0.5,1495,0,5
0.0,0.2,0,1611,1,4
0.0,0.2222222222222222,0.3333333333333333,1315,1,5
0.6666666666666666,0.3076923076923077,1.0,1472,2,12
0.2857142857142857,0.46153846153846156,0,1794,2,14
0.3333333333333333,0.2222222222222222,0.25,1712,2,6
1.0,0.625,0.8333333333333334,1668,1,16
0.0,0.5714285714285714,1.0,1466,0,10
0,1.0,1.0,1400,1,11
0.25,0.16666666666666666,1.0,1350,2,7
0.0,0.14285714285714285,0.5,1415,0,3
0.3333333333333333,0.5,1.0,1073,2,11
0.3333333333333333,0.5555555555555556,0.8,1387,1,15
0,0.5,0.6666666666666666,1047,1,8
0.0,0.3333333333333333,1.0,1005,1,5
0.0,0.0,0,228,0,0
0,0.0,0,48,0,0
0,1.0,0,184,0,2
0,0,0,34,0,0
0,0.0,0,328,0,0
0,0,0,50,1,0
0,0,0,62,0,0
0,0.0,0,118,0,0
0.0,0.4,0,376,0,4
0.0,0.5,0.5,527,0,5
0,0,0,89,0,0
0.0,0.25,0,270,0,2
0,0,0,10,0,0
0,0.3333333333333333,0.0,579,1,2
0.25,0.16666666666666666,1.0,876,1,5
0,0.0,0,314,1,0
