@relation Kyle_Lowry
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.25,0.5833333333333334,2085,2,11
0.6,0.7142857142857143,0.5,2017,0,16
0.5,0.35714285714285715,0.5,2048,1,14
0.25,0.36363636363636365,1.0,2127,2,13
0.6666666666666666,0.42857142857142855,0,1991,1,8
0.3333333333333333,0.4,1.0,2203,2,12
0.75,0.6,0,913,1,9
0.4,0.375,0,2864,1,16
0.6,0.6,0.75,2092,0,21
0.0,0.2,0,2269,1,6
0.14285714285714285,0.2727272727272727,0.75,2716,0,10
0.6,0.3333333333333333,1.0,2251,0,13
0.4,0.4444444444444444,1.0,2178,2,12
0.4,0.5333333333333333,1.0,2277,0,24
0.375,0.4,1.0,2579,1,15
0.3333333333333333,0.3333333333333333,1.0,2320,0,17
0.2857142857142857,0.5384615384615384,1.0,2272,0,20
0.3333333333333333,0.4375,0.8333333333333334,2365,1,21
0.2,0.6153846153846154,1.0,2198,1,23
0.42857142857142855,0.4,0,1949,1,11
0.0,0.2222222222222222,1.0,2040,1,6
0.4,0.5,0,2005,0,16
0.42857142857142855,0.42857142857142855,1.0,2431,2,17
0.42857142857142855,0.4375,1.0,2451,2,20
0.5,0.375,1.0,2238,2,22
0.4,0.4,1.0,2352,1,23
0.4,0.4,0.625,2308,0,15
0.5714285714285714,0.5882352941176471,0.8,2257,1,32
0.375,0.4,0.5,1935,1,13
0.25,0.4444444444444444,1.0,2013,0,13
1.0,0.5384615384615384,0.5,2115,1,19
0.25,0.35714285714285715,0.5,2233,0,14
0.4,0.5384615384615384,0.0,2034,0,16
0.6666666666666666,0.4444444444444444,1.0,2038,1,21
0.42857142857142855,0.36363636363636365,0.5,2122,1,12
0.8,0.75,1.0,1798,1,23
0.375,0.35294117647058826,0.75,2527,2,18
0.6666666666666666,0.5833333333333334,0.8,2058,0,24
0.42857142857142855,0.6153846153846154,1.0,2101,0,21
0.3333333333333333,0.4090909090909091,0.0,2252,0,21
0.0,0.0,0.75,2101,0,3
0.6,0.6363636363636364,0.3333333333333333,2135,4,18
0.16666666666666666,0.2,0.6666666666666666,2361,3,11
0.5714285714285714,0.5555555555555556,0.875,2116,0,31
