@relation Lance_Thomas
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.0,0,429,1,0
0,0.5,0.5,829,0,4
0,0,0,225,0,0
0,0.0,0,622,1,0
0,0.25,0,429,0,2
0,0.7,0,1871,1,14
0,0.3333333333333333,1.0,1121,1,4
0,0.3333333333333333,0.6666666666666666,1507,2,12
0,0.1,0,1337,1,2
0,0.5454545454545454,0.6666666666666666,1973,1,14
0,0.3333333333333333,0.5,1756,0,3
0,0.4,0,1842,1,4
0,0.2,0.5,1595,2,5
0,0.6,0.5,2346,5,7
0,0.14285714285714285,0,1232,1,2
0,0.36363636363636365,0.875,1571,1,15
0,0.3,0.0,1772,4,6
0,0.375,0,1173,1,6
0,0.3333333333333333,0.5,1942,1,5
0.0,0.16666666666666666,0,945,0,2
0,0.0,0,996,0,0
0,0.42857142857142855,0,1147,5,6
0,0,1.0,255,1,2
0,1.0,0,91,0,2
0,0,0,216,0,0
0,0.3333333333333333,0,292,0,2
0,0,0,47,0,0
0,0.4,0.75,1061,0,7
0,0.25,1.0,1324,1,4
0,0.3,0,1423,1,6
0,0.8,0,1493,1,16
0,0.5,0.5,2485,0,16
0,0.6153846153846154,0.5,1488,0,17
0,0.4,0,1452,0,8
0,0.3333333333333333,0,945,0,2
0,0.5714285714285714,0.75,1490,2,11
0,0.5384615384615384,0,1765,1,14
0,0.4444444444444444,1.0,2081,0,10
0,0.5,0,1094,0,6
0,0.4166666666666667,0.5,1402,3,11
0,0.3333333333333333,1.0,1392,1,7
0,0.375,1.0,1550,3,8
0.0,0.2222222222222222,0.6666666666666666,1266,1,6
0,0.25,0.5,849,0,3
0,0.0,0.8333333333333334,1296,2,5
0,0.14285714285714285,1.0,1414,1,4
0.0,0.0,0.5,1458,1,1
0,0.5,0,996,0,6
0.0,0.3333333333333333,0,1312,1,4
0,0.5,0.6,1767,1,14
0,0.4,0,1814,1,8
0.0,0.3,0,1868,2,6
0.0,0.5714285714285714,0,1115,1,8
1.0,0.75,0.6666666666666666,2302,1,24
0.3333333333333333,0.5,1.0,2304,1,15
0,0.4,1.0,1699,2,14
0.0,0.42857142857142855,0,1819,1,6
1.0,0.375,0,1881,0,7
0,0.42857142857142855,1.0,1808,0,7
0.0,0.0,0,965,0,0
0.0,0.75,1.0,1792,4,14
0,0.25,0,1548,0,2
1.0,1.0,1.0,2115,0,16
0.0,0.16666666666666666,0.0,1970,1,2
0.3333333333333333,0.2727272727272727,0,1991,2,7
0.0,0.75,0,1456,0,6
0,1.0,1.0,1171,1,13
0.6666666666666666,0.3333333333333333,1.0,1343,0,8
0,0.75,0.0,1568,0,12
0,0.25,0,967,0,2
0,0.3333333333333333,0.0,926,1,2
0.0,0.4,1.0,1048,0,5
0,0.6666666666666666,0.75,1094,0,7
1.0,0.7142857142857143,1.0,1335,1,17
0.0,0.0,0,895,1,0
0.0,0.0,0,961,0,0
0.3333333333333333,0.25,1.0,1200,0,7
0,0.0,0,591,0,0
0.6666666666666666,0.5555555555555556,0,1172,2,12
0.0,0.375,1.0,1462,1,8
0.0,0.0,0,317,0,0
0.0,0.3333333333333333,1.0,1121,1,6
0.0,0.25,1.0,815,1,4
0.5,0.6,1.0,2182,1,15
