@relation Lou_Amundson
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.5,0.25,504,1,3
0,0.6666666666666666,0.5,1076,0,5
0,0.5,0,835,1,2
0,1.0,0.0,270,1,2
0,0,0,216,0,0
0,0.0,0.5,507,3,1
0,0.0,0,199,1,0
0,0,0,300,0,0
0,0.5,0,396,0,2
0,0,0.0,926,0,0
0,0,0,660,1,0
0,0.3333333333333333,0,483,3,2
0,0.6666666666666666,0.5,848,4,5
0,0.75,0.5,1099,4,7
0,0.3333333333333333,0.0,1132,5,2
0,0.5,0.16666666666666666,976,3,5
0,0,0,297,0,0
0,1.0,0,292,1,2
0,0,0,64,0,0
0,0.3333333333333333,0,550,1,2
0,0,0,39,0,0
0,0,0,264,0,0
0,1.0,0.5,938,1,5
0,0.0,0,409,0,0
0,0.3333333333333333,0.0,1003,1,2
0,0,0,320,0,0
0,0,1.0,199,0,2
0,0,0,208,0,0
0,0,0,282,2,0
0,0.0,0,295,0,0
0,0.0,0,255,0,0
0,0.75,0,1011,1,6
0,0.4,0,1449,1,4
0,0.5,0,1457,2,4
0,0.16666666666666666,0,1161,3,2
0,0.4,0.375,1338,5,7
0,0.25,0.5,1947,4,5
0,0.8,0.3333333333333333,1266,1,17
0,0.2857142857142857,0.3333333333333333,2154,5,6
0,0.5,0,2182,2,6
0,0.6,0,1350,2,6
0,0.6666666666666666,0,596,1,4
0,0.3333333333333333,0.0,1374,2,6
0,0.0,0,885,0,0
0,0.5,0,1310,3,10
0,0.75,1.0,1374,0,14
0,0.5,1.0,2117,9,17
0,0.5,0.5,1466,0,9
0,0.5,0,773,0,4
0,0.6666666666666666,0.0,1755,3,8
0,0.3333333333333333,0.0,840,2,2
0,0.6,0.6666666666666666,969,3,8
0,0.3333333333333333,0,1172,1,4
0,0.375,0.5,839,4,7
0,0.3333333333333333,0,995,1,2
0.0,0.45454545454545453,0.5,1839,8,12
0,0.3333333333333333,0,1219,5,6
0,0.0,1.0,976,1,2
0,0.0,0.0,960,3,0
0,0.5,0.5,1295,0,3
0,0.0,0,879,0,0
0,0.16666666666666666,0.0,1265,2,2
0,0.3333333333333333,0,1077,1,2
0,0.2,0.5,1050,2,4
0,0.5,0.5,1400,2,9
0,1.0,0.6666666666666666,1285,0,8
0,0.125,0.5,726,4,3
0,0.5,0.4,1483,2,10
0,0.4444444444444444,1.0,1080,1,11
0,0.75,0.3333333333333333,1427,2,8
0,0.0,0.25,1070,0,1
0,0,0,316,0,0
0,1.0,1.0,860,1,9
0,0.0,0.5,1185,2,1
0,0.3333333333333333,0.5,627,2,3
0,0.0,0,442,0,0
0,0,0.0,452,0,0
0,0.4,0.6666666666666666,598,1,6
0,0.0,0,261,0,0
0,1.0,0,302,0,2
