@relation Luol_Deng
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.25,0,1768,1,4
0.25,0.5333333333333333,0,2389,1,17
0.0,0.38095238095238093,0.8,2201,3,20
0.0,0.3333333333333333,1.0,2163,0,17
0,0.7777777777777778,1.0,2288,2,19
0.0,0.25,1.0,2196,2,12
0.5,0.5333333333333333,1.0,2263,0,19
0.5,0.5714285714285714,0.8571428571428571,1947,1,23
0.5,0.5,0.8333333333333334,2346,1,21
0.0,0.16666666666666666,0,1954,5,6
0.0,0.35294117647058826,1.0,2573,6,15
0.5,0.5454545454545454,0.6923076923076923,1948,0,22
0.0,0.3888888888888889,0.7692307692307693,2684,1,24
0.5,0.6470588235294118,1.0,2447,0,27
0.4,0.6,1.0,2336,0,27
0.0,0.5555555555555556,0.6363636363636364,3338,2,37
0.5714285714285714,0.4166666666666667,0.75,2500,2,20
0.5,0.42105263157894735,0,2115,3,17
0.5,0.5,0.75,2513,2,26
0.3333333333333333,0.4666666666666667,0.6,2108,0,18
0.0,0.4,0.8,2014,0,16
0.0,0.5,1.0,1718,1,14
1.0,0.3333333333333333,1.0,1782,7,17
0,0.5,1.0,1267,0,10
0.3333333333333333,0.45454545454545453,0.5,1441,2,12
1.0,0.6,1.0,2280,1,27
0.2857142857142857,0.5,0.75,2358,1,25
0.0,0.35294117647058826,0.8571428571428571,1808,3,18
0.5,0.625,0.8888888888888888,2114,0,20
0.0,0.18181818181818182,0.7777777777777778,2393,1,11
0.0,0.4444444444444444,1.0,1753,3,9
0.0,0.3888888888888889,0.6666666666666666,2432,3,18
0.0,0.3,0.0,1888,2,6
0.5,0.3333333333333333,1.0,1917,3,13
0.375,0.5263157894736842,0.5,2164,1,24
0.0,0.5,0.4,2522,4,18
0.0,0.1,0.5,1459,1,3
0.5,0.4444444444444444,0,1934,1,9
0.8,0.5294117647058824,0,2001,1,22
0.0,0.0,0.6666666666666666,2152,2,4
0.5,0.38461538461538464,1.0,1663,1,13
0.5,0.42857142857142855,1.0,1987,1,17
0.5,0.4,0.875,2309,5,21
0.0,0.3076923076923077,1.0,2265,1,17
0.0,0.21428571428571427,0.4,2397,3,8
0.2,0.3125,1.0,2234,0,13
0,0.6666666666666666,0.0,1800,0,16
0.0,0.35714285714285715,0.5,2110,2,11
0.0,0.3,0.75,2102,1,9
0.0,0.5333333333333333,0.75,2033,3,19
0.6666666666666666,0.25,1.0,2348,3,10
0.5,0.5833333333333334,1.0,2349,0,18
0.6666666666666666,0.6,0.5,1996,0,16
0.42857142857142855,0.5,1.0,1854,3,23
0.75,0.625,0,1948,1,13
0.5,0.5384615384615384,0.75,2396,0,19
0.0,0.21428571428571427,1.0,2047,2,7
0.2,0.4666666666666667,0.8333333333333334,2275,2,20
