@relation Markieff_Morris
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.5,0,1551,2,6
0.0,0.25,1.0,1135,2,6
0.5,0.4666666666666667,0.5,1750,1,17
0.0,0.8461538461538461,0.5,1825,0,23
1.0,0.7692307692307693,0.875,2059,1,28
1.0,0.75,1.0,2033,3,23
0,0.375,1.0,1589,2,8
0.5,0.1111111111111111,0.5,1266,1,4
0,0,0.75,662,0,3
0.0,0.0,1.0,1021,1,2
0.5,0.3076923076923077,0.5,2164,1,11
0.0,0.5454545454545454,0,1711,1,12
0,0.3333333333333333,0.75,1586,5,12
0.0,0.5384615384615384,1.0,1470,2,19
0.5,0.6153846153846154,1.0,1708,1,23
0,0.25,0.5,1498,3,5
0,0.4444444444444444,1.0,1502,3,10
0,0.25,1.0,1262,0,8
0,0.7857142857142857,0.5,1940,6,25
0.0,0.6,0.75,1717,2,15
0,0.4,0.8333333333333334,1330,3,9
0.0,0.3333333333333333,0.5,1311,0,7
0,0.5,0.8,1501,3,12
0.6666666666666666,0.42857142857142855,0.7333333333333333,1788,1,25
0.0,0.5,0.5,1674,1,9
0,0.5714285714285714,1.0,1153,3,9
0.3333333333333333,0.3076923076923077,0,1330,2,9
0,0.2857142857142857,0,1255,1,4
0.0,0.5,0.3333333333333333,1783,5,11
0.0,0.45454545454545453,0,1496,1,10
0,0.8333333333333334,1.0,1577,2,14
0.0,0.2222222222222222,1.0,1510,2,6
0.0,0.3,0.5,956,2,8
0.5,0.4117647058823529,0.6666666666666666,1691,3,17
0.0,0.0,0,491,0,0
0,0.2,0,544,2,2
0.5,0.6428571428571429,0.8333333333333334,1741,3,24
0.4,0.5333333333333333,1.0,1946,6,23
0,0.5,0.8,1650,2,16
0.6666666666666666,0.5714285714285714,1.0,1621,1,20
1.0,0.75,0.6666666666666666,1242,0,13
0.5,0.5,0.8333333333333334,1981,5,27
0.0,0.7142857142857143,1.0,1402,1,13
0,0.5,1.0,1334,0,13
0.6666666666666666,0.4,0.8333333333333334,1447,1,15
0.0,0.3076923076923077,0.8333333333333334,1692,0,13
0.25,0.3076923076923077,0.75,1779,1,12
0.0,0.38461538461538464,1.0,1377,1,12
0,0.0,0,1019,1,0
0.0,0.35714285714285715,1.0,2000,1,12
0,0.36363636363636365,0.625,2491,4,13
0.0,0.5833333333333334,1.0,1769,0,18
0.5,0.8,0.6666666666666666,1499,0,21
0.0,0.6363636363636364,0.7777777777777778,2099,2,21
0.0,0.45,0.75,1979,1,24
0.0,0.3333333333333333,0.8333333333333334,1406,2,11
0,0.5833333333333334,0.5714285714285714,1890,2,18
1.0,0.625,0.9,1895,0,21
0.5,0.4444444444444444,0,1401,2,9
0.0,0.6153846153846154,0.8,1794,1,24
0.0,0.3,1.0,1373,1,10
0.5,0.4375,0.3333333333333333,1474,3,16
0.0,0.6153846153846154,1.0,1678,4,18
0.5,0.46153846153846156,1.0,1496,0,15
0.0,0.5,1.0,2123,4,16
0.0,0.5714285714285714,0.4,1572,0,18
0.0,0.5,0.8,1513,1,12
1.0,0.6666666666666666,0.75,1907,0,16
1.0,0.7692307692307693,0.5,1882,1,25
0.5,0.6666666666666666,1.0,1533,0,17
0.0,0.375,1.0,2001,1,8
1.0,0.7142857142857143,1.0,1567,3,16
0.3333333333333333,0.4166666666666667,0.8333333333333334,1927,4,16
0,0.42857142857142855,0.7142857142857143,1823,2,11
0.0,0.26666666666666666,1.0,1772,4,12
0,0.6666666666666666,1.0,1616,0,10
0,0.4166666666666667,0,1739,1,10
0,0.5714285714285714,1.0,1670,1,20
0.0,0.25,1.0,1887,4,8
0.0,0.625,0.3333333333333333,1669,0,21
0,0.5384615384615384,1.0,1674,0,15
0.25,0.5,1.0,1552,1,12
0.0,0.4375,1.0,1972,2,20
0.0,0.5,0.5,1903,1,13
0.3333333333333333,0.5,1.0,1886,3,23
0.6666666666666666,0.6153846153846154,0.6666666666666666,1985,1,20
0.5,0.6363636363636364,0.5,1913,1,16
0.0,0.4444444444444444,0.0,1489,0,8
0.5,0.36363636363636365,0,2026,1,9
0.5,0.38461538461538464,0,2189,3,12
0.0,0.2,1.0,1433,3,5
0.3333333333333333,0.6666666666666666,1.0,2357,0,30
0.0,0.625,0,1752,0,10
0.3333333333333333,0.6,1.0,1370,0,18
0,0.625,1.0,1452,2,13
0.0,0.5,0.5,2241,1,17
0.0,0.35294117647058826,1.0,2151,2,15
0.0,0.3,1.0,1402,0,7
0.0,0.4666666666666667,0.8,2324,3,18
0.0,0.375,1.0,1774,1,15
0.3333333333333333,0.5333333333333333,0.8333333333333334,2168,2,22
0.0,0.14285714285714285,0,1856,2,4
0.42857142857142855,0.5,1.0,1674,1,21
0.5,0.5454545454545454,0.8,1890,1,17
0.5,0.5384615384615384,1.0,1922,2,17
0,0.3333333333333333,1.0,600,0,4
0.6666666666666666,0.6923076923076923,1.0,2210,1,25
1.0,0.6,0,1410,2,13
0.3333333333333333,0.5,1.0,2000,2,19
0.3333333333333333,0.5,1.0,2137,0,17
0.5,0.4444444444444444,0,1621,1,9
1.0,0.7272727272727273,0,1826,0,17
0.0,0.5,0.4,2038,1,12
0.0,0.42857142857142855,1.0,1714,1,13
0.6,0.5882352941176471,0.6666666666666666,2062,0,25
0.75,0.5833333333333334,1.0,1302,1,21
0.0,0.375,0.0,1767,0,6
0.5,0.5882352941176471,0.8,2070,4,26
0.0,0.38461538461538464,1.0,2104,2,14
0.0,0.07692307692307693,0.5,1740,2,3
0.25,0.4666666666666667,1.0,2196,1,17
0.6666666666666666,0.7142857142857143,0.75,2304,1,35
1.0,0.5,0.0,1947,2,13
0.5,0.46153846153846156,0.5,1627,2,15
0.0,0.2857142857142857,0.5,1768,1,6
0,0.6428571428571429,0.75,1419,2,21
0,0.4444444444444444,0.5,1209,0,9
0.0,0.4117647058823529,1.0,2179,1,16
0.0,0.3125,1.0,1943,2,12
0.5,0.4375,0.5,1858,0,17
0.0,0.4666666666666667,0,1872,0,14
0.25,0.42105263157894735,0.3333333333333333,2200,2,18
0.0,0.3333333333333333,0,1857,3,12
0.0,0.15,1.0,2096,2,8
1.0,0.46153846153846156,0.75,1952,2,16
1.0,0.2,0.0,2373,0,7
0.3333333333333333,0.3333333333333333,0,1803,0,7
0.3333333333333333,0.46153846153846156,0.6,2615,3,29
0.0,0.4444444444444444,0.6666666666666666,1076,0,10
0.5,0.6,0.0,1295,2,13
0.0,0.6470588235294118,0.5,2081,1,23
0.0,0.4375,0.8333333333333334,2483,2,19
0.5,0.4,0.75,1859,1,16
0.0,0.125,1.0,1568,0,4
0.0,0.6666666666666666,1.0,2220,1,24
0.0,0.5,0.8,2340,3,22
1.0,0.45454545454545453,0.75,1586,0,14
0.0,0.3333333333333333,0.7777777777777778,2228,2,17
0.5,0.5714285714285714,0.8571428571428571,2217,2,31
0,0.2,0.75,1323,1,5
1.0,0.6363636363636364,1.0,1850,1,17
0.0,0.4117647058823529,0.8333333333333334,2474,3,19
1.0,0.5625,0.8333333333333334,2289,2,24
0.5,0.375,1.0,2195,3,15
0.5,0.5,0.75,1992,3,24
0.5,0.5555555555555556,0,1737,0,11
1.0,0.7,0.6666666666666666,1993,1,17
0.3333333333333333,0.2857142857142857,1.0,2347,0,10
0.0,0.4375,1.0,2368,1,19
0,0.4166666666666667,1.0,1726,3,12
0.0,0.5384615384615384,0,1816,2,14
0,0.16666666666666666,1.0,673,0,4
0.3333333333333333,0.35294117647058826,0,2061,3,13
0.5,0.35294117647058826,0,1367,3,15
0.25,0.3181818181818182,0.6,2184,2,19
0.0,0.5,1.0,1486,0,11
0.0,0.42857142857142855,0.0,1826,1,18
0.0,0.35,0.8333333333333334,2017,2,19
1.0,0.6666666666666666,0,386,0,5
0.0,0.3333333333333333,0,1722,1,6
0,0.4,0.3333333333333333,1246,2,9
0.25,0.4,0.8,2152,1,17
