@relation Marreese_Speights
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.5,0.2,1.0,1185,1,7
0,0.4,1.0,701,1,6
0.0,0.42857142857142855,0,991,1,6
0.0,0.5,0.5,840,0,9
0.5,0.42857142857142855,0.5,934,4,8
0,0.0,1.0,506,0,2
0,0.6666666666666666,0,760,0,4
0,0.3333333333333333,0,830,2,2
1.0,0.5,0,392,0,3
0,0.0,0,458,3,0
0.0,0.0,1.0,694,0,2
0,0.2,0,807,1,2
0.0,0.125,0.5,659,5,3
0,0.25,0,746,0,2
0,0.6666666666666666,1.0,673,2,6
0,1.0,0,221,0,2
0.0,0.25,0,504,0,2
0,0.25,1.0,687,1,4
0,0.5,0,339,0,2
0,0.3333333333333333,0.75,1280,2,9
0,0.6,0,614,2,6
0,0,0,87,0,0
0,0.0,0.5,301,0,1
0,0.5,1.0,935,8,16
0.5,0.3333333333333333,0,789,2,5
0,0.36363636363636365,0.8,1087,2,12
0,0.6666666666666666,1.0,481,0,6
0.0,0.5555555555555556,0,812,1,10
0,0.75,0.5,837,1,8
0,0.6,1.0,668,1,8
0,0.5,1.0,910,2,8
0,0.6666666666666666,1.0,839,1,9
0.0,0.3,1.0,1211,3,10
0,0.25,1.0,638,1,4
0.0,0.5,1.0,690,2,5
0,0.3333333333333333,1.0,1015,2,7
0.0,0.2,0.75,874,1,5
0,0.4,1.0,449,1,6
0.0,0.6666666666666666,0.7142857142857143,774,1,13
0,0.25,0,619,2,4
1.0,1.0,0.6666666666666666,821,2,13
0,0.4,1.0,661,0,7
0,0.25,0,698,1,2
0,0.625,0,951,2,10
0,0,0,290,0,0
1.0,0.6666666666666666,1.0,826,0,7
0.0,0.625,1.0,1068,1,12
0,0.25,0,599,2,2
1.0,0.14285714285714285,0,553,2,3
0,0.5,0,741,2,4
0,1.0,0,413,0,2
0.5,0.8,0.875,1577,3,32
0,0.2,0.5,782,0,3
0.0,0.5,0.0,300,0,2
0,0.0,0,399,1,0
0,0.75,0,450,1,6
0,0.25,1.0,490,0,4
0.0,0.3333333333333333,1.0,548,0,6
0,0.42857142857142855,0.8571428571428571,619,1,12
0,0.5,0,288,0,2
0.0,0.25,1.0,720,2,7
0,0.3333333333333333,1.0,291,0,4
0,0.5,1.0,275,0,4
0,0,0,68,0,0
0,0.0,0.5,146,0,1
0.0,0.5,0.75,1404,3,13
0,0.5,1.0,562,1,6
0,1.0,1.0,426,0,6
0,0.7777777777777778,0.5,1533,2,15
0,0.25,0,1122,1,4
0,0.5714285714285714,0,1026,2,8
0,0.625,1.0,1793,4,22
0.0,0.45454545454545453,1.0,1601,2,12
0.0,0.4444444444444444,0,987,1,8
0,0.4444444444444444,0.3333333333333333,937,0,9
0,0.6363636363636364,1.0,1332,1,16
0,0,0,2,0,0
0,0.3076923076923077,0.5,951,5,9
0,0.3333333333333333,0.5,1852,3,11
0,0.6153846153846154,0,1069,2,16
0,0.5,0,295,1,2
0,0.4,0,737,0,4
0,1.0,0,430,2,6
0,0.25,1.0,728,0,4
0,1.0,0.5,720,0,11
0,0.6666666666666666,0.0,975,3,8
0.0,0.5,1.0,867,0,13
0,0.7272727272727273,1.0,1225,4,24
0,0.6666666666666666,0.5,962,0,14
0,0.6111111111111112,0.6666666666666666,1503,3,28
0,0.8,0,890,1,8
0.0,0.3333333333333333,0.75,1209,1,11
0,0.6,1.0,1426,4,27
0.0,0.2857142857142857,0.75,1157,3,11
0,0.5,1.0,919,1,12
0,0.35714285714285715,1.0,1014,2,12
0,0.4,0.6,1222,4,11
0,0.625,1.0,1243,3,12
0,0.46153846153846156,1.0,1187,2,15
0,0.2857142857142857,0,1104,1,4
0,0.75,0.6666666666666666,1214,2,10
0,0.5,1.0,1549,5,18
0,0.5,0,1168,1,10
0,0.6666666666666666,1.0,775,1,12
0.0,0.375,0,1212,1,6
0,0.4444444444444444,0.5,1334,0,11
0,0.5714285714285714,1.0,1163,3,10
0,0.6923076923076923,0.8333333333333334,1419,3,23
0.0,0.631578947368421,1.0,1526,4,26
0,0.125,0.6666666666666666,1009,2,6
0,0.6666666666666666,1.0,1560,1,18
0.0,0.38461538461538464,1.0,1701,4,12
1.0,0.4,0.5,1322,1,10
0,0.3333333333333333,1.0,1197,3,8
0,0.5625,1.0,1679,2,20
0,0.5,0.75,1183,0,15
0,0.5,1.0,794,0,9
1.0,0.6,1.0,497,1,9
0,0.6153846153846154,1.0,1255,2,19
0,0.14285714285714285,0,782,1,2
0,0.35714285714285715,0,1275,3,10
0.0,0.14285714285714285,0.75,1046,3,5
0,0.6153846153846154,0.5,1241,4,17
0,0.5,1.0,816,2,14
0.0,0.375,0,804,0,6
0,0.375,1.0,938,1,10
0,0.625,0,885,0,10
0.0,0.4,0,895,0,8
0,0.0,1.0,201,1,4
0,0.5,0.6666666666666666,902,1,16
0,0.0,0,433,0,0
0,0.375,1.0,1263,2,8
0.0,0.5,0,423,0,6
0,0.5,1.0,970,0,12
0,0,0,151,0,0
0,0.0,0,268,0,0
0,0.6666666666666666,0,1059,0,12
0,0.25,1.0,1044,2,9
0,0.3333333333333333,1.0,471,0,4
1.0,0.75,0,1011,0,13
0,0.2857142857142857,0,779,2,4
0,0.6666666666666666,1.0,865,1,16
0,0.5,0,294,0,2
0,0.25,0,329,1,2
0.0,0.45454545454545453,1.0,1198,2,12
0,0.5555555555555556,0.75,906,1,13
0,0.5,0,1103,1,12
1.0,0.75,1.0,590,2,18
0,0.0,0,643,0,0
0,0.6666666666666666,0,452,1,4
0,0.0,0,330,0,0
0.0,0.16666666666666666,1.0,770,1,4
0.0,0.42857142857142855,0.8333333333333334,1237,2,17
0,0,0,41,0,0
0,0.2857142857142857,0.5,754,2,5
0,0.0,0,256,0,0
0,0.6666666666666666,0.4,751,0,10
0,0.0,1.0,286,0,2
0,0.42857142857142855,0.75,334,0,9
0,0.5,0,512,2,8
0,0.0,0,309,0,0
0,0.0,0.5,128,1,1
1.0,0.2857142857142857,1.0,642,4,9
0.0,0.5454545454545454,1.0,760,2,14
0,0.5,0.5,869,0,5
0,0.25,0,1133,1,4
0,0.2857142857142857,0.75,879,0,7
0.0,0.14285714285714285,0.5,815,2,3
0,0.5,0,190,0,2
0,0.0,0,325,0,0
0,0.6666666666666666,1.0,311,1,5
0,0.0,0.6666666666666666,732,2,4
0,0.5,0,383,1,4
0.0,0.2,0,707,0,2
0.0,0.4166666666666667,0.6,1000,2,13
