@relation Mo_Williams
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.1111111111111111,0,1313,0,2
0.0,0.38461538461538464,1.0,1538,1,11
0.5,0.6666666666666666,0,1395,0,13
0.0,0.3333333333333333,0,1413,1,8
0.0,0.16666666666666666,0,1502,1,2
0.6666666666666666,0.6,0,1502,1,8
1.0,0.7777777777777778,1.0,1901,1,17
0.6666666666666666,0.5,0,1796,0,12
0,0.6153846153846154,1.0,1810,0,18
0.6,0.5714285714285714,1.0,1957,2,13
0.0,0.42857142857142855,0,1834,1,12
0.25,0.3333333333333333,0,1382,1,5
0.6666666666666666,0.42857142857142855,0,1243,0,8
0,0.14285714285714285,1.0,832,0,4
0.5,0.125,0,1416,0,3
1.0,0.375,1.0,1439,0,9
0.25,0.5,0,1362,0,13
0.6666666666666666,0.2222222222222222,0.5,1486,1,7
1.0,0.75,0,1207,0,7
0.0,0.3333333333333333,0,1349,1,6
0.3333333333333333,0.3333333333333333,0,1568,0,9
0.3333333333333333,0.5,1.0,1445,1,13
0.6,0.5555555555555556,0.5,1376,0,14
0.4,0.3,0,1532,1,8
0.3333333333333333,0.375,1.0,1360,0,9
0.2,0.36363636363636365,0,1062,1,9
0.0,0.25,1.0,1424,1,7
0.4444444444444444,0.4,0,1420,0,12
0.25,0.2,1.0,1566,0,5
0.4,0.3333333333333333,0,1797,2,8
0.2,0.2857142857142857,0.0,1112,0,5
0.6,0.6666666666666666,0,1274,0,15
0.3333333333333333,0.38461538461538464,1.0,1457,1,16
0.3333333333333333,0.3333333333333333,1.0,1321,3,9
0.25,0.5,1.0,1795,0,12
0.6,0.4444444444444444,0,1460,1,11
0.3333333333333333,0.2727272727272727,0,1732,0,8
0.0,0.3076923076923077,1.0,1585,2,13
0.0,0.5,1.0,1151,0,8
0.5,0.4,0,1541,1,9
0.5,0.6,0,1580,1,13
0.0,0.2,0,1142,0,2
0.6666666666666666,0.5,0.6666666666666666,1514,1,16
0.5,0.3333333333333333,0,1846,0,7
0.0,0.14285714285714285,0,1161,0,2
1.0,0.25,0,1103,0,3
0,0.25,0.0,1481,0,4
1.0,0.2857142857142857,0.8333333333333334,1219,1,10
0.25,0.375,0,1612,2,7
0.5,0.5714285714285714,1.0,1568,0,19
0.3333333333333333,0.36363636363636365,1.0,1818,2,13
0.0,0.2857142857142857,0,1655,0,4
0.5,0.5454545454545454,0,1550,0,14
