@relation Nando_De_Colo
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
1.0,1.0,0,513,0,5
0.3333333333333333,0.3333333333333333,0,585,0,3
0.0,0.0,0,505,1,0
0.6666666666666666,0.75,0.0,947,0,8
0.0,0.0,0,367,0,0
0,0.0,0,344,0,0
0,0.5,0,413,0,2
0.0,0.3333333333333333,0,567,1,2
0,0.0,0,146,0,0
0,0.0,0,355,0,0
0,0,0,39,0,0
0.0,0.0,1.0,284,0,2
0,1.0,0,234,0,4
0.75,0.5,0,1509,0,13
0.3333333333333333,0.5,0,1068,1,9
0.0,0.5,0.75,890,0,7
0,0.0,0,433,0,0
1.0,0.5,1.0,1076,0,8
0,0,1.0,539,0,2
0,1.0,0.5,663,0,5
0.0,0.42857142857142855,1.0,1011,2,8
0.0,0.4444444444444444,0.75,1620,0,11
0.2,0.45454545454545453,1.0,1659,0,15
0.0,0.375,0,1489,1,6
0,0.3333333333333333,0,554,0,2
0,0,0,261,0,0
0,0,0,293,1,0
0,0,0,21,0,0
0,0,0,154,0,0
0,0,1.0,88,0,4
0,0,0,53,0,0
0,0,0,10,0,0
0,0,1.0,333,1,2
0.0,0.0,0,815,1,0
0.0,0.0,0,429,0,0
1.0,0.5,0,631,0,3
1.0,1.0,0,304,1,3
0,0.0,0,189,0,0
0.0,0.4,0,458,0,4
0.0,0.3333333333333333,0,633,0,2
0,0.25,1.0,755,1,4
0.4,0.375,1.0,1373,0,10
0,0.75,1.0,1115,0,7
0.5,0.2,0,434,0,3
0.0,0.4,0,896,1,4
0.5,0.3333333333333333,1.0,1068,1,7
0.5,0.4166666666666667,0,1541,1,12
