@relation Nate_Robinson
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.0,0,1074,0,0
0.6666666666666666,0.47058823529411764,1.0,1733,1,24
0.0,0.2222222222222222,0.5,1116,0,5
0.6666666666666666,0.45454545454545453,0.5,1237,0,15
0,0.6666666666666666,0,420,0,4
0.0,0.0,0,726,0,0
0.0,0.125,0,1158,0,2
0.0,0.3,0,1052,1,6
0,0.5,1.0,713,0,3
1.0,0.6,0.75,520,0,10
0.3333333333333333,0.23076923076923078,1.0,1447,1,11
0.6666666666666666,0.5714285714285714,0,959,0,10
0.5,0.5555555555555556,1.0,1424,0,17
0.6,0.45454545454545453,1.0,1319,1,15
0.0,0.5454545454545454,1.0,1106,0,16
0.625,0.6428571428571429,0.0,1411,1,23
0.0,0.3333333333333333,0.75,1195,1,9
0.0,0.4666666666666667,0.0,1615,0,14
0.5,0.36363636363636365,0.6666666666666666,1447,1,11
0.16666666666666666,0.42857142857142855,0.875,1562,0,20
0.0,0.4,1.0,1683,0,16
0.25,0.2727272727272727,0,1607,2,7
0.4,0.5,1.0,1595,0,14
0.3333333333333333,0.4444444444444444,1.0,1481,0,12
0.0,0.5,1.0,920,1,6
0.3333333333333333,0.42857142857142855,1.0,1286,1,11
0.25,0.4444444444444444,1.0,1003,1,13
0.0,0.0,0,944,0,0
0.6,0.5,0,1053,1,11
0.0,0.0,0,657,0,0
0.0,0.0,0,788,0,0
0.6,0.5,0.5,1363,1,15
0.6,0.6363636363636364,0.8,1191,3,21
1.0,0.5714285714285714,1.0,1362,0,10
0.0,0.23076923076923078,0.0,1388,1,6
0.5,0.5,0,1176,0,5
0.0,0.14285714285714285,0.5,1015,1,3
0.6,0.75,1.0,1371,2,24
0.6,0.7272727272727273,0,1230,0,19
0.25,0.375,1.0,1449,0,9
0.6,0.3333333333333333,1.0,1193,0,13
0.4,0.5454545454545454,1.0,1138,0,15
0.25,0.5,0.75,1464,0,12
0.0,0.0,0,376,0,0
0.0,0.25,1.0,367,0,3
0.5,0.5,0,796,0,3
1.0,0.8,0.5,756,0,10
0.0,0.5,0,1248,1,10
0.2857142857142857,0.42857142857142855,0,1549,0,14
0.25,0.2222222222222222,1.0,851,0,6
0.0,0.2,1.0,483,2,3
0,0.0,0,1031,0,0
0.0,0.2,0.75,616,0,5
1.0,0.42857142857142855,0,626,0,9
1.0,0.6666666666666666,0,725,2,6
0.25,0.16666666666666666,0,1192,1,3
0.0,0.0,0.5,610,2,1
0.5,0.42857142857142855,0,786,1,7
0.14285714285714285,0.2222222222222222,0.75,860,0,8
0.0,0.375,0,880,0,6
0.0,0.6666666666666666,0,577,0,4
0.0,0.0,0,323,0,0
0.3333333333333333,0.4,0.5,668,0,6
0.0,0.14285714285714285,0.0,898,1,2
0,0.0,0,375,1,0
0.4444444444444444,0.5454545454545454,0.5714285714285714,944,1,20
0.0,0.4,0,636,0,4
0.0,0.21428571428571427,0,1253,1,6
0.0,0.25,0,1056,0,2
0.0,0.0,0,595,0,0
0.3333333333333333,0.6666666666666666,0,819,0,9
0.14285714285714285,0.46153846153846156,0,1326,0,13
0.0,0.0,0.0,851,0,0
0.0,0.5,0.0,285,0,2
0.4,0.5555555555555556,0,1248,0,12
1.0,0.16666666666666666,1.0,1580,1,13
0.5,0.6666666666666666,0.0,1076,0,5
0.5,0.16666666666666666,1.0,1212,0,5
0.25,0.1111111111111111,0.5,1010,2,4
0.0,0.0,0,668,0,0
0.0,0.4,0,942,0,4
1.0,0.6,0,563,0,7
0.4,0.4,1.0,1284,0,12
0.5,0.3333333333333333,0,695,0,3
0.5,0.5,0,624,1,7
0.0,0.0,0,1143,0,0
0,0,0,255,0,0
