@relation Nicolas_Batum
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.2,0.3333333333333333,0,2204,2,7
0.625,0.5714285714285714,0,2117,0,21
0.25,0.36363636363636365,0.6666666666666666,2154,4,11
0.2,0.4,1.0,2241,2,13
0.5,0.5,0.5,2028,3,14
0.5,0.4444444444444444,1.0,2199,2,12
0.2,0.45454545454545453,0.5,1853,2,12
0.2,0.3,1.0,1822,1,9
0.4,0.4,1.0,2029,1,18
0.625,0.5333333333333333,1.0,2479,1,24
0.5,0.4,1.0,2053,0,7
0.5,0.5,0.0,2128,1,8
0.42857142857142855,0.4166666666666667,1.0,2345,0,17
0.5,0.5555555555555556,1.0,2422,0,14
0.6,0.6666666666666666,0.8,2320,3,23
0.16666666666666666,0.38461538461538464,0.8,2014,2,15
0.2,0.4444444444444444,0.0,2162,2,9
0.5,0.4,0.75,2143,1,8
0.4,0.6,0,2119,0,14
1.0,0.8333333333333334,0,1696,2,13
0.4,0.47058823529411764,0.5,2223,2,22
0.5,0.6,0,1992,0,7
0.3333333333333333,0.45454545454545453,0.75,2264,2,15
0.42857142857142855,0.6,1.0,1610,1,17
0.42857142857142855,0.5384615384615384,0.5,2648,2,18
0.25,0.23076923076923078,1.0,2199,0,14
0.375,0.4666666666666667,1.0,2346,2,20
0.14285714285714285,0.4,1.0,2120,1,11
0.3333333333333333,0.5454545454545454,1.0,2478,2,19
0.25,0.3333333333333333,0.8571428571428571,2177,0,11
0.14285714285714285,0.3333333333333333,0.5,2360,1,8
0.14285714285714285,0.4,1.0,2286,2,15
0.6666666666666666,0.5,0,1654,1,8
0.0,0.1111111111111111,1.0,2213,3,4
0.0,0.42857142857142855,0.8333333333333334,2353,1,11
0.3333333333333333,0.42857142857142855,0,2039,1,14
0.4,0.42857142857142855,1.0,2244,2,16
0.0,0.6,1.0,2144,4,7
0.5,0.5,0.6666666666666666,2200,1,9
0.5,0.7272727272727273,0.6666666666666666,1994,0,21
0.3333333333333333,0.3333333333333333,0.3333333333333333,2030,2,6
0.5,0.25,0,2125,2,3
0.0,0.2,1.0,2267,1,6
0.0,0.5,0.75,2093,1,13
0.0,0.25,0.75,1840,1,5
0.0,0.36363636363636365,0.6666666666666666,2329,0,10
0.25,0.5,0.875,2077,2,18
0.4,0.5,1.0,2159,1,18
0.4,0.6428571428571429,0,2251,3,20
0.0,0.125,1.0,2688,2,4
0.0,0.5,0.75,2039,0,15
0.6,0.625,1.0,2256,0,18
0.16666666666666666,0.5,1.0,2196,0,13
0.3333333333333333,0.25,0.75,2393,0,8
0.3333333333333333,0.25,0,1504,0,3
0.5,0.6,1.0,2165,1,22
0.75,0.6666666666666666,0.8333333333333334,2328,0,16
0.25,0.5,1.0,1740,0,19
0.2,0.3,1.0,2164,1,9
0.4,0.42857142857142855,0.6,2273,5,17
0.6,0.5555555555555556,0.5,1758,1,14
0.2,0.375,1.0,2339,2,9
0.0,0.4,0,2606,5,8
0.6,0.38461538461538464,0.5,2258,1,15
0.25,0.36363636363636365,0.8,2274,4,13
0.5,0.5,1.0,2711,3,22
0.5555555555555556,0.5384615384615384,0.8,2561,3,23
0.42857142857142855,0.4666666666666667,1.0,2628,1,21
0.4,0.5555555555555556,0,2054,4,12
0.5,0.4,0,1800,0,6
0.42857142857142855,0.5,0,2403,2,11
0.0,0.3333333333333333,0,2094,1,6
0.3333333333333333,0.5,0,2216,2,12
0.5714285714285714,0.4,0.5,2128,2,13
0.0,0.45454545454545453,0,2140,0,10
0.8,0.46153846153846156,0,2134,2,16
0.16666666666666666,0.5,0,2254,1,13
0.2857142857142857,0.5833333333333334,0,2349,2,16
0.3333333333333333,0.625,0,2197,0,11
0.25,0.5454545454545454,1.0,2118,0,15
0.6,0.7777777777777778,0.2,2629,0,18
0.0,0.5,0.5,720,1,7
0.4,0.4166666666666667,1.0,2052,0,16
0.3333333333333333,0.3,0,2102,0,7
0.3333333333333333,0.2857142857142857,0,1906,1,5
0.0,0.5,0.5,2178,1,7
0.3333333333333333,0.25,1.0,1731,2,8
0.5,0.5,1.0,2045,1,10
0.4,0.36363636363636365,0,2108,3,10
0.5,0.6666666666666666,0,1250,0,9
0.3333333333333333,0.45454545454545453,0,1942,1,12
0.0,0.375,0,1847,0,6
0.0,0.36363636363636365,1.0,2210,0,10
0.0,0.2727272727272727,0,2106,1,6
0.125,0.3076923076923077,0.5,2126,0,10
0.0,0.3333333333333333,0,2137,0,4
0.2,0.38461538461538464,1.0,2239,0,13
0.4,0.5,1.0,2096,1,11
0.3333333333333333,0.42857142857142855,0,2120,0,8
0.2,0.16666666666666666,1.0,2381,0,5
0.2,0.25,0,2231,1,7
0.2,0.5454545454545454,1.0,2182,1,14
0.2,0.375,0,2060,0,7
0.16666666666666666,0.2727272727272727,1.0,2152,2,8
0.0,0.625,0.5,1821,1,11
0.0,0.3333333333333333,0,1450,0,2
0.25,0.625,1.0,1712,1,14
0.7142857142857143,0.75,0,1664,0,17
0.4,0.36363636363636365,0.75,2551,2,13
0.2857142857142857,0.5384615384615384,0,2241,0,16
0.4,0.3333333333333333,0,2242,0,8
0.0,0.3,0.5,1776,1,8
0.25,0.3333333333333333,0,2128,1,7
0.3333333333333333,0.5714285714285714,0.5,2003,1,11
0.0,0.0,1.0,2114,0,4
0.25,0.2857142857142857,0,1777,0,5
0.3333333333333333,0.16666666666666666,0,1831,1,3
0.25,0.25,0.75,1971,0,8
0.75,0.6,0.75,2363,3,27
0.0,0.0,0,1292,0,0
0.2,0.375,0,2310,1,7
0.3333333333333333,0.3333333333333333,0,1906,2,7
0.25,0.25,0,2214,3,5
0.5,0.2857142857142857,0.8333333333333334,2118,0,10
0.3333333333333333,0.46153846153846156,1.0,2141,1,20
0.0,0.0,1.0,2549,2,2
0.25,0.3333333333333333,0,1727,0,5
0.25,0.3333333333333333,1.0,2007,1,7
0.42857142857142855,0.5384615384615384,0,2153,1,17
0.4,0.3333333333333333,1.0,2318,0,9
0.0,0.16666666666666666,0,1838,2,2
0.5,0.5454545454545454,1.0,2428,1,20
0.4,0.5,1.0,2181,0,15
0.6,0.5833333333333334,0,2297,1,17
0.5,0.5384615384615384,0.5,2407,0,18
0.0,0.25,1.0,1785,0,4
1.0,0.6,1.0,2033,2,10
0.0,0.5,1.0,2020,1,8
0.6,0.75,0,2190,3,15
0.3333333333333333,0.3333333333333333,1.0,2376,1,12
0.3333333333333333,0.4,1.0,2066,2,8
0.0,0.0,0,919,0,0
0.25,0.16666666666666666,1.0,1930,1,5
0.6,0.75,0,2241,0,15
0.6666666666666666,0.6,0,1676,2,16
0.7142857142857143,0.6363636363636364,0.6666666666666666,1974,2,21
0.2,0.3333333333333333,0,1600,1,7
0.5,0.25,1.0,2206,1,7
0.75,0.5714285714285714,0,1739,1,11
0.3333333333333333,0.3333333333333333,0,2469,3,7
0.0,0.1,0,2292,1,2
0.0,0.0,0,631,0,0
0.5,0.4166666666666667,1.0,2301,2,15
0.16666666666666666,0.3333333333333333,0,2549,2,11
0.5,0.5,1.0,2540,1,27
0.25,0.23076923076923078,0.6666666666666666,2530,0,12
0.3333333333333333,0.25,0.5,1950,2,9
0.25,0.6,1.0,2002,2,14
0.4444444444444444,0.35714285714285715,1.0,2175,3,16
0.5,0.36363636363636365,1.0,1707,0,18
0.0,0.3,1.0,2044,1,8
0.5,0.3333333333333333,1.0,1948,1,10
0.6,0.5454545454545454,1.0,2108,0,17
0.4,0.5555555555555556,0.4,2181,1,24
0.8333333333333334,0.5882352941176471,1.0,2082,3,28
0.5,0.5789473684210527,0.8571428571428571,2333,0,33
0.25,0.1111111111111111,0.5,2111,0,4
0.5,0.5833333333333334,1.0,2436,0,24
0.75,0.4444444444444444,1.0,1910,1,14
0.14285714285714285,0.3125,1.0,2598,1,18
0.42857142857142855,0.3333333333333333,1.0,2023,1,16
0.14285714285714285,0.46153846153846156,0.8,2320,2,17
0.375,0.3076923076923077,0.8,2020,2,15
