@relation Noah_Vonleh
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.0,0,357,0,0
1.0,0.5,0.5,390,0,6
0.0,0.5,0,720,1,2
0.0,0.5,0,442,1,2
0,0.0,0,149,0,0
0,0.5,0,593,2,2
0,0.3333333333333333,0.5,552,0,3
0,0.0,0,363,0,0
0,1.0,1.0,513,0,4
0.0,0.6,0.6666666666666666,989,4,10
0.0,0.3333333333333333,1.0,397,1,4
0,0,0,270,0,0
0,0.0,0,276,0,0
0,0,0,71,0,0
0,0.0,1.0,357,3,2
0,1.0,0,82,1,2
0,0.0,0,140,0,0
0,1.0,0,720,0,4
0,0.5,0,852,3,6
1.0,0.14285714285714285,0,1406,2,3
0.0,0.4,0,1267,2,4
0.5,0.125,0.5,1343,0,4
0.5,0.42857142857142855,1.0,1398,4,9
0.0,0.25,0,826,0,2
0,0.5,0,1262,2,2
0,0.0,0,389,1,0
0.0,0.3333333333333333,0.75,1147,0,5
0.0,0.0,0.5,798,0,1
0.0,0.25,0,666,0,2
0,0.6666666666666666,0,596,1,4
0,0.5,0,447,0,2
0,0,0,412,0,0
0.0,0.5,0.75,1435,3,9
1.0,0.5,0,1345,0,3
0,0.5,0,764,2,4
0,0.5,1.0,1051,0,4
0.0,0.0,0,993,0,0
0.5,0.42857142857142855,0,742,2,7
0,1.0,0,1173,1,4
