@relation Orlando_Johnson
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.5,0.75,1.0,912,0,9
0.0,0.0,1.0,756,0,2
0.2,0.2857142857142857,1.0,1273,1,7
1.0,0.6666666666666666,0,672,0,5
0.0,0.3333333333333333,1.0,1060,1,4
0.3333333333333333,0.42857142857142855,0,814,0,7
0,0.5,0,830,0,4
0.5,0.4,0,987,0,5
0,0.6,1.0,614,1,7
0.0,0.75,1.0,936,0,9
0.0,0.0,0,301,0,0
0,0.5,1.0,556,0,4
0.3333333333333333,0.16666666666666666,0,900,2,3
0.0,0.3333333333333333,0.0,1130,0,2
0.0,0.0,0,537,0,0
0,0.0,0,184,0,0
1.0,1.0,0,548,0,3
0.3333333333333333,0.3333333333333333,0,803,0,3
0.0,0.5,0,1267,0,4
0.0,0.0,0,965,0,0
0.0,0.0,1.0,1059,0,2
0.0,0.2,0,1215,1,2
0.0,0.0,0,216,0,0
0.0,0.0,0,148,0,0
0,0.3333333333333333,0,225,1,2
0,0.0,0,139,0,0
0,0,0,53,0,0
0,0,0,76,0,0
0,0,0,76,0,0
0,0,0,139,0,0
0,0,0.5,232,0,1
0,1.0,0,158,0,2
0,0.0,0,190,0,0
0,0,0.0,104,0,0
0.0,0.0,0,43,0,0
0,1.0,0,180,0,2
0.0,0.0,0,87,0,0
0.0,0.5,0,151,0,2
0.5,0.5,0.5,818,0,4
0.0,0.125,0,744,1,2
0.0,0.3333333333333333,0.5,363,1,3
0,0.0,0,404,0,0
0,0.0,0,370,0,0
0.0,0.0,0,142,0,0
0,0,0,163,0,0
