@relation Otto_Porter
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.0,0,852,1,0
0,0,0,435,0,0
0.0,0.3333333333333333,0,944,2,4
0,0.0,0,630,1,0
0,0,0,194,0,0
0.0,0.5,0,709,0,4
0.0,0.5,0,710,0,2
0,0.25,0,1258,2,4
0,0.75,0.3333333333333333,576,0,7
0,0.5,0,665,0,2
0,0.5,0,855,1,2
0.0,0.25,1.0,950,1,4
0.0,0.3333333333333333,0,642,0,2
0,0.0,0,445,0,0
0.0,0.3333333333333333,0,461,0,2
0,0.0,0,181,0,0
0,0,0,54,0,0
0,0,0,288,0,0
0,0.0,0.6666666666666666,211,0,2
0.0,0.16666666666666666,0,1134,4,2
0,0.0,0,193,0,0
0,0,0,34,0,0
0,0.0,0,398,0,0
0,0.0,0,48,0,0
0.0,0.5,0,229,0,2
0.6666666666666666,0.5,0,626,0,6
0,0.0,0,1332,0,0
0,0,0,11,0,0
0,1.0,0,203,0,2
0,0,0,147,0,0
0,0,0,5,0,0
1.0,1.0,0.6666666666666666,355,1,9
0.5,0.5,0,443,2,5
0.0,0.4,1.0,1545,3,9
0.0,0.5,0,426,0,2
0.0,0.42857142857142855,0,720,2,6
0,0.0,0,229,1,0
0.3333333333333333,0.5714285714285714,0.6666666666666666,1410,1,13
0,0.3333333333333333,1.0,1078,1,4
0.5,0.6363636363636364,0.8571428571428571,2210,0,21
0.0,0.4,0,1692,3,4
1.0,0.2,0,1323,0,3
1.0,0.6666666666666666,0,1503,2,13
0,0.5,0,1182,0,4
0.0,0.3333333333333333,0,1126,0,2
0,0.75,0.5,1571,0,13
0.5,0.4,0,1497,2,6
0.0,0.375,0,1511,1,6
0,0.5,1.0,1202,1,6
0.0,0.25,0,1180,1,2
0,0.5,0.5,936,2,3
0.3333333333333333,0.5,1.0,1438,2,7
0,0.2,1.0,710,0,4
0.0,0.25,1.0,1361,0,4
0.0,0.0,0.5,726,1,2
0,0.0,0,727,1,0
0,0.6666666666666666,0.5,846,1,5
0,0.5,0,495,1,2
0,0.25,0,641,0,2
1.0,0.5,0,1353,1,10
1.0,1.0,0,803,0,7
0.0,0.5,0,928,1,4
0,1.0,0,469,0,2
0,0.2,0,746,2,2
0.0,0.75,0,1168,2,12
0,0,0,643,0,0
1.0,0.3333333333333333,0,486,0,3
0.0,0.625,0.5,1713,1,11
0.0,0.6,0,1207,1,6
0.0,0.5,0,1432,2,6
0,0.3333333333333333,0,444,1,2
0.0,0.0,0,549,0,0
0.0,0.25,0,1308,1,4
0,0.0,0,533,1,0
0.0,0.4444444444444444,1.0,1549,2,10
0.0,0.0,0.5,438,0,1
0,0.0,0,133,0,0
1.0,0.5555555555555556,1.0,1790,1,12
0.75,0.625,0.5,1412,1,14
0.5,0.4,1.0,1170,1,9
0.0,0.5,0.0,870,2,4
0.0,0.14285714285714285,1.0,1182,0,3
1.0,0.6,0.0,1072,2,7
0.3333333333333333,0.625,1.0,1270,1,12
0,0.0,0,657,0,0
0.0,0.3333333333333333,1.0,1250,1,6
0.0,0.25,0,1242,0,2
0.5,0.5454545454545454,0,1756,1,13
0.4,0.42105263157894735,1.0,2219,1,19
0,0.5,0,845,0,2
0.0,0.3,0,1677,1,6
0.0,0.3333333333333333,0,708,0,2
0.0,0.4,0,1391,3,8
0.0,0.2,0.5,1665,4,6
0.3333333333333333,0.3333333333333333,0,758,0,3
0.2,0.375,1.0,1782,0,9
0,1.0,0,658,0,2
0.0,0.0,0,323,0,0
0,0.0,0,337,0,0
0,0,0,12,0,0
1.0,0.5714285714285714,0.7142857142857143,1054,3,15
0.25,0.4166666666666667,1.0,2304,3,15
0.6666666666666666,0.7777777777777778,0.5,1730,2,17
0.3333333333333333,0.42857142857142855,0,1739,2,7
0,0.5,0.5,1419,0,3
0.25,0.5714285714285714,0,1669,1,9
0.5,0.4,0,2552,3,10
0.0,0.4,0,1228,1,4
0.0,0.4,0.5,2011,2,5
0.6666666666666666,0.75,0.25,2092,4,15
0.6666666666666666,0.6666666666666666,0.5,1988,2,11
0.5,0.375,0,1562,0,7
0.4,0.5,0,2055,1,10
0.6666666666666666,0.5,0.5,1859,1,15
0.3333333333333333,0.4666666666666667,0.5,2392,2,17
0.25,0.25,0.5,1820,1,4
0.0,0.23076923076923078,0.6,1992,5,9
0.0,0.3333333333333333,0.5,2060,6,7
0.2,0.3,0,2215,2,7
0.3333333333333333,0.4,0.5,1859,0,6
0.0,0.5384615384615384,1.0,2101,2,16
1.0,0.8,1.0,2250,1,19
0.0,0.5,1.0,1431,0,9
0.6,0.6666666666666666,1.0,2363,1,23
0.0,0.4444444444444444,0.8571428571428571,1676,1,14
0.2,0.3076923076923077,0,2169,0,9
0.3333333333333333,0.6363636363636364,0.8,1821,1,19
0.6666666666666666,0.5,0.75,1875,2,17
0.25,0.25,1.0,1499,2,7
0.2,0.16666666666666666,0,1620,1,3
0.0,0.375,0,1300,1,6
0.6,0.3,1.0,2328,2,13
