@relation Ramon_Sessions
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
1.0,0.45454545454545453,0.75,1160,1,14
0.0,0.4,0.3333333333333333,1176,0,9
0.0,0.45454545454545453,0.75,2056,1,22
0.0,0.1111111111111111,0.8888888888888888,1349,1,10
0,0.25,0.75,874,0,8
0,1.0,1.0,894,1,15
0,0.3,1.0,1211,1,10
0.0,0.2857142857142857,0.8571428571428571,1095,0,10
1.0,0.5714285714285714,0.75,1152,0,12
0.5,0.625,0,1309,0,11
0.0,0.2222222222222222,0.0,1153,0,4
0.0,0.45454545454545453,0.6,1604,0,13
0.5,0.6,0.3333333333333333,1703,1,15
0.0,0.5,0.8333333333333334,1454,0,13
0.0,0.14285714285714285,0.75,1123,0,5
0,0.4,0,874,0,4
0.5,0.5,0.6666666666666666,1335,2,11
0.0,0.3333333333333333,1.0,878,0,10
0.0,0.1111111111111111,1.0,1282,0,6
0.0,0.7142857142857143,0.75,1410,0,13
0.0,0.4,1.0,1282,0,13
0.0,0.2727272727272727,1.0,1313,0,9
1.0,0.5555555555555556,0.5,1399,0,13
0.0,0.14285714285714285,0,1368,1,2
0.0,0.5454545454545454,0.8,1417,0,16
0.0,0.3333333333333333,0.75,2067,2,11
0.0,0.42857142857142855,1.0,996,0,10
0.5,0.4,0.8,1458,0,13
0.0,0.2222222222222222,1.0,956,2,8
1.0,0.6666666666666666,0.8,928,0,9
0.3333333333333333,0.6,1.0,1205,1,15
0.0,0.3076923076923077,0,1524,1,8
0.0,0.3333333333333333,1.0,1302,1,8
0,0.375,0.8,1762,0,14
0,0.5555555555555556,0.5,1335,1,12
0,0.5,1.0,1810,0,10
0,0.2857142857142857,0,1268,0,4
0,0.2,1.0,1173,1,4
0,0.25,1.0,1146,1,6
0.0,0.45454545454545453,0.5,1485,2,11
0.0,0.5,0.8,1272,0,10
0.0,0.6,1.0,2254,0,16
0.3333333333333333,0.6,0.9090909090909091,2032,0,23
0.0,0.3333333333333333,0.5,2161,0,10
0.0,0.375,1.0,1797,0,12
0.0,0.2857142857142857,0,1996,0,8
0.0,0.4,0.8,2158,0,16
0.0,0.375,0.75,2057,0,9
0.5,0.3,0.6666666666666666,1584,0,11
0.0,0.2857142857142857,0.6666666666666666,1741,0,6
1.0,0.4444444444444444,0.5,1254,0,10
1.0,0.2857142857142857,0,1373,0,5
0.0,0.5714285714285714,0.5,1364,1,9
0,0.75,0.0,1274,0,12
0.5,0.42857142857142855,0.75,1694,0,10
0,0.2,0.8333333333333334,1357,0,7
1.0,0.5454545454545454,0.75,1704,2,16
0.5,0.5,1.0,1593,0,13
1.0,0.4,1.0,1367,1,16
0,0.5714285714285714,1.0,1430,0,14
0.5,0.4,1.0,1046,1,9
0,0.6,0.5714285714285714,1668,1,16
0.0,0.36363636363636365,1.0,1310,0,14
0,0.625,1.0,1557,0,16
0.5,0.36363636363636365,1.0,1658,0,11
0.0,0.25,0.75,1594,2,7
1.0,0.4444444444444444,0.8333333333333334,1694,0,14
0.5,0.5,0.6,1770,0,18
0.5,0.5,0.6666666666666666,2085,0,23
0.5,0.4166666666666667,0.875,2022,0,18
0.0,0.75,0.5,1222,0,13
0.6666666666666666,0.6190476190476191,0,2650,1,28
0.5,0.5,0.7857142857142857,2539,1,22
0.25,0.3333333333333333,0.8,2481,0,15
0.25,0.5,0.8181818181818182,2620,2,20
0.25,0.5,1.0,2724,0,19
0.0,0.3076923076923077,0.75,2379,1,14
0.5,0.38461538461538464,1.0,2551,0,13
0.6666666666666666,0.4,0.8571428571428571,2297,1,20
0.0,0.5,0.8888888888888888,2555,1,20
0.0,0.375,0.8,2495,1,20
1.0,0.5384615384615384,0.8333333333333334,2377,1,21
0.0,0.3333333333333333,1.0,1802,0,6
0,0.3333333333333333,1.0,614,0,3
0,0.0,1.0,619,0,2
0.0,0.0,0.0,555,0,0
1.0,0.16666666666666666,1.0,1244,0,13
0.0,0.0,1.0,684,0,2
0,0.4444444444444444,1.0,1490,0,9
0.0,0.25,1.0,786,0,4
0.6666666666666666,0.6666666666666666,0.8,2159,1,18
0.0,0.3333333333333333,0.75,640,1,5
0,0.0,0,517,0,0
0,1.0,0,801,0,4
0.0,0.3333333333333333,0.0,886,0,2
0.5,0.3076923076923077,0.75,1894,1,15
0.5,0.375,0.5,2073,0,8
0.0,0.3333333333333333,0,796,0,4
0,0.0,0,587,0,0
0,0.45454545454545453,0.8333333333333334,1763,1,15
0,0.4,0.4,812,0,6
0.0,0.2727272727272727,1.0,1408,1,10
0,0.4,0.4,983,1,6
0,0.25,0,577,0,2
0,0.5,0,667,0,4
0.3333333333333333,0.5,0,1346,0,11
0.0,0.3333333333333333,0.75,1337,3,9
0,0.0,0,361,0,0
0,0.25,0,1291,0,2
0,0.0,0,815,1,0
0,0.0,1.0,1048,1,4
0,0.0,0,896,0,0
0.0,0.5,0,569,0,4
0.0,0.0,0.5,324,0,1
0,0.75,0.5,1114,0,7
0.0,0.5,0.8333333333333334,1882,2,11
0,0.8,0.4,1912,0,10
0.0,0.16666666666666666,0.5,1317,0,3
0.0,0.0,1.0,1780,0,2
1.0,0.3333333333333333,0.6666666666666666,1166,0,7
0.0,0.2,1.0,949,1,4
0,0.2,1.0,1224,0,6
1.0,0.4,0.7142857142857143,1274,1,14
0.0,0.3333333333333333,1.0,617,0,4
0.0,0.4,1.0,806,0,5
1.0,0.5714285714285714,1.0,931,0,10
0,0.4,0,1125,0,4
0.0,0.42857142857142855,0.75,1609,0,9
0.5,0.25,0,837,0,3
0,0.0,0,369,0,0
0,0,0.75,934,0,3
0.0,0.2857142857142857,0.6666666666666666,1591,0,6
0.5,0.5,0,1570,1,9
0.5,0.5714285714285714,1.0,1198,0,12
0.0,0.2,0.8333333333333334,1166,0,7
0.0,0.5714285714285714,0.5,1130,1,9
0.0,0.6666666666666666,1.0,538,0,6
0,0.0,0.75,1004,0,3
0.0,0.8,1.0,1640,0,12
1.0,0.5,1.0,1181,0,9
1.0,0.7142857142857143,0.7777777777777778,1743,1,19
0.0,0.14285714285714285,0.0,2047,3,2
0.5,0.2857142857142857,1.0,821,1,7
1.0,0.5,0.6666666666666666,2246,0,14
0.5,0.5,0.5,996,0,6
0.5,0.25,1.0,894,0,5
0.0,0.0,0,655,0,0
0.75,0.7142857142857143,1.0,1411,0,15
0.0,0.4,0.5,1048,0,5
0.6,0.5714285714285714,0.4,2377,0,21
0.25,0.2,0.75,2125,0,8
0.3333333333333333,0.35714285714285715,1.0,2025,1,13
0.0,0.0,0,1018,1,0
0.0,0.2,0,532,0,2
0,0.0,0.6666666666666666,844,0,4
0.6666666666666666,0.6666666666666666,0.8333333333333334,1574,0,23
0.0,0.25,1.0,735,1,7
1.0,0.2,1.0,973,0,5
0,0.125,1.0,1172,1,6
0,1.0,0,874,1,4
0.5,0.6666666666666666,0.4,1366,0,15
0,0.4,0.3333333333333333,835,0,5
0,0.4,0.75,1190,0,7
0.6666666666666666,0.4,0.8,1256,0,14
1.0,0.8,0.5,1048,0,10
0.0,0.0,0,747,0,0
0.3333333333333333,0.375,1.0,1456,0,9
0.0,0.0,0.75,1491,1,3
