@relation Rashard_Lewis
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.25,0.5,0.6666666666666666,1208,0,11
0,0,0,374,0,0
0.3333333333333333,0.3333333333333333,0,308,0,3
0.5,0.25,0.5,1278,0,4
1.0,1.0,1.0,456,0,4
0.5,0.25,0.5,834,0,4
1.0,1.0,0,1415,1,7
0.6,0.6666666666666666,0,1716,0,11
0.3333333333333333,0.42857142857142855,1.0,1995,2,9
0.0,0.25,0,1548,1,2
0.0,0.25,0,1491,2,2
0.0,0.3333333333333333,0,1050,0,4
0.0,0.0,0,464,1,0
0.0,0.3333333333333333,0.6666666666666666,1330,0,4
0.25,0.25,0,1114,0,3
0,0.0,0,371,0,0
0.0,0.0,0,762,0,0
0.5,0.5,0,1353,1,3
0.5,0.5714285714285714,0,1712,0,10
0.6,0.6,0,1367,1,9
0.0,0.3333333333333333,0,1264,0,2
0.2857142857142857,0.2857142857142857,0,1425,0,6
0.3333333333333333,0.3333333333333333,0,1637,1,3
0.3333333333333333,0.2,0,929,1,3
1.0,0.5,0,1155,1,5
0.0,0.6,0,1116,0,6
0.2,0.2,0,1160,1,3
0.0,0.2,0,832,1,2
1.0,0.8,0,995,0,10
0.0,0.5,0,440,0,2
0.5,0.5454545454545454,1.0,1882,0,18
0.0,0.5,0,696,0,2
0.0,0.2,0,996,0,2
0.6666666666666666,0.6666666666666666,0,1541,1,6
0.5,0.5555555555555556,0,1769,0,12
0,0,0,54,0,0
0.5,0.5,0,810,1,5
0.3333333333333333,0.6,0,927,0,7
0.0,0.0,0,509,0,0
0.5,0.25,0,386,0,3
0.0,0.0,0,642,1,0
0.0,0.0,0,274,0,0
0,0,0,106,0,0
0.0,0.0,0.5,642,0,1
0,0,0,409,0,0
0,0,0,176,0,0
0,0,0,84,0,0
0,0,0,104,0,0
0.5,0.5,1.0,1457,1,5
0.5,0.6666666666666666,0,1120,0,9
0.3333333333333333,0.4,1.0,1219,0,13
0.0,0.25,0,1170,1,2
0.3333333333333333,0.5,0,974,1,7
0.25,0.25,0.5,1000,0,6
0.0,0.5,1.0,342,0,4
0.5,0.5714285714285714,0,1693,1,9
0.6666666666666666,0.625,1.0,1441,0,17
0.0,0.125,0.5,1225,1,3
0.25,0.25,0,1124,1,3
0.0,0.3333333333333333,0,390,1,2
