@relation Reggie_Bullock
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,1.0,0,65,0,2
0,0,0,18,0,0
0.0,0.0,0,247,0,0
0,0,0,20,0,0
0.0,0.0,0,543,1,0
0.0,0.0,1.0,334,0,2
0.0,0.0,0,195,0,0
1.0,0.5,0,747,0,6
0.2,0.3333333333333333,0,1037,1,5
0.25,0.25,0,816,0,3
0.0,0.5,0,1565,1,6
0.0,0.5,0,769,0,2
0.0,0.0,0.5,723,1,1
1.0,1.0,1.0,1159,0,10
0,0,0,596,0,0
1.0,0.6,0,1240,0,9
0.0,0.0,0,440,0,0
0,0,0,136,0,0
0,0,0,54,0,0
0,0.3333333333333333,0,474,1,2
0.0,0.0,0,220,0,0
0,1.0,0,90,0,2
1.0,1.0,0,336,0,3
0.0,0.3333333333333333,0,431,1,2
1.0,0.6666666666666666,0,637,0,5
1.0,1.0,0,292,0,3
0.0,0.0,0,203,0,0
0.0,0.0,0,748,0,0
0.5,0.3333333333333333,0,363,0,3
0.0,0.0,0,306,0,0
0.5,0.5,0.5,617,1,11
0.3333333333333333,0.25,0,435,0,3
1.0,0.5714285714285714,0,771,1,11
0.6666666666666666,0.5555555555555556,1.0,1585,0,14
0.0,0.2,0,1540,2,4
0.0,0.0,0,440,1,0
0.25,0.2,0,824,0,3
0.0,0.0,0,271,0,0
0.0,0.0,0,124,0,0
0.3333333333333333,0.25,0,617,0,3
0,0,0,708,0,0
0,0,0,32,0,0
0.0,0.0,0,966,0,0
0.6666666666666666,0.5714285714285714,0,1082,0,12
1.0,1.0,0,727,0,3
1.0,1.0,0,422,0,3
0.0,0.0,0,776,0,0
0,1.0,0,216,0,2
0.0,0.0,0,254,0,0
0.0,0.0,0,165,0,0
0.3333333333333333,0.3333333333333333,0,1159,0,3
0.2,0.3333333333333333,1.0,997,0,7
0,1.0,1.0,320,0,3
0,0.0,0,280,0,0
0.3333333333333333,0.4,0,829,0,5
0,0,0,142,0,0
0,1.0,0,867,0,2
1.0,1.0,0,644,0,3
0.0,0.0,0,679,0,0
0.0,0.0,0,681,0,0
0.0,0.5,0,600,0,2
0,0,0,714,0,0
0.0,0.0,0,676,0,0
0.75,0.75,0.5,1137,0,10
0.6666666666666666,0.6666666666666666,0,605,0,6
0.0,0.25,0,932,0,2
0.0,0.3333333333333333,0,447,0,2
0.0,0.0,0,406,0,0
0.0,0.0,0,151,0,0
0,0,0,115,0,0
0,0.0,0,843,0,0
0,0.0,0,176,0,0
0,0,0,111,0,0
0,1.0,0,30,0,2
0,0.0,0,62,0,0
0.0,0.0,0,720,0,0
0.0,0.0,0.5,784,0,1
0.0,0.0,0.5,454,0,1
0.0,0.0,0,372,0,0
0.0,0.0,0,880,1,0
0.0,0.0,0,221,0,0
1.0,0.25,0,898,1,3
0,0.0,0,329,0,0
0.0,0.0,0,377,0,0
0.0,0.0,1.0,345,1,1
0.0,0.0,0,364,0,0
0,0,0,165,0,0
