@relation Reggie_Evans
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.2,0.6666666666666666,949,4,4
0,0,0.5,359,0,1
0,0.0,0,532,1,0
0,0.5,0.25,826,1,5
0,0,1.0,849,2,2
0,0.5,1.0,746,2,4
0,0.0,0,222,0,0
0,0.5,0,1305,2,2
0,0.25,1.0,1644,3,5
0,0.0,0,1010,0,0
0,0.0,0,922,1,0
0,0,0.5,935,1,1
0,0,0,220,1,0
0,0.5,0,1121,0,4
0,0.0,0.5,877,4,3
0,1.0,0.0,632,1,4
0,0.5,0.5,640,1,3
0,0.0,0,363,1,0
0,1.0,0.5,1215,6,5
0,0.5,0.75,1224,5,5
0,1.0,0.5,768,2,4
0,0,0.25,684,0,1
0,0.5,0.5,1648,2,8
0,1.0,0.0,700,3,2
0,1.0,0,439,1,2
0,0.0,0,556,2,0
0,0.0,0,160,1,0
0,0,0,263,0,0
0,0.5,0.5,931,0,5
0,0.3,0.7142857142857143,1218,6,11
0,0,0,480,1,0
0,0.6,0.5,1441,6,8
0,0.42857142857142855,0.5,1136,4,8
0,0.5,1.0,812,3,4
0,0.7142857142857143,0.0,1829,5,10
0,0.75,0.7,1627,1,13
0,0.75,0.2,1543,2,8
0,0.0,0.75,1019,2,3
0,0.5,0,1339,4,6
0,1.0,0,185,0,2
0,0.5,0.5,1457,4,5
0,0.6666666666666666,0,1115,1,8
0,0.4,0.75,1496,1,7
0,0.3333333333333333,0.0,1251,3,2
0,0.2,1.0,1634,5,6
0,0.5,0,962,0,2
0,0.25,1.0,1105,3,4
0,0.6,0.0,1747,4,6
0,1.0,0.5,1388,2,3
0,0.3333333333333333,0.5,1026,1,3
0,0.6666666666666666,0.5,863,1,5
0,0.5,0,1087,0,2
0,0.5,0,1371,3,4
0,0.6666666666666666,0.75,2062,6,14
0,0.0,0,414,2,0
0,0.2857142857142857,0,1410,2,4
0,0,0.5,381,0,1
0,0.5,0,1351,3,2
0,0.5,0.4,1124,1,6
0,0.0,0.8333333333333334,672,2,5
0,0.5,1.0,831,2,5
0,0.0,0.5,811,2,1
0,0.5,0,750,2,2
0,0.7,0.5,2098,9,17
0,1.0,0.6666666666666666,1936,3,10
0,0.0,0.0,1517,1,0
0,0.0,0.75,630,3,3
0,0.5,0.5,2055,0,6
0,1.0,1.0,1829,5,8
0,1.0,0.16666666666666666,1067,2,5
0,0.0,0,907,1,0
0,0.3333333333333333,0,1130,3,4
0.0,0.0,1.0,422,3,2
0.0,0.38461538461538464,0.5,1895,9,11
0,0.5,1.0,969,2,4
0,0.0,0,477,2,0
0,0,0.5,684,1,1
0,0.4,0,1468,2,4
0,0.6,1.0,1137,2,8
0,0.0,0.75,838,2,3
0,0,0,170,0,0
0,0.2857142857142857,0.5,1350,5,7
0,1.0,1.0,799,0,4
0,0.5,0.5,899,2,3
0,0.0,0.75,1260,1,3
0,0.0,0.75,881,3,3
0,0,0,315,0,0
0,0.0,1.0,416,0,2
0,0.6666666666666666,0.6666666666666666,1058,0,6
0,1.0,0,1603,2,2
0,0,0.5,494,0,1
0,0.4,0,1238,5,4
0,0.0,0,886,1,0
0,0.5,0,252,0,2
0,0,0,400,2,0
0,0,0,278,0,0
0,0.75,0.5,1090,3,7
0,0.75,0.5,879,0,8
0,0.0,0,367,1,0
