@relation Ricky_Rubio
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.3333333333333333,0.3333333333333333,1.0,2407,2,13
0.6666666666666666,0.5,1.0,1719,1,14
0.0,0.2727272727272727,1.0,2430,1,8
0.0,0.0,1.0,1536,0,4
0.0,0.25,0.6,1979,1,7
0,0.25,1.0,2076,0,6
1.0,0.5555555555555556,0,2280,1,12
1.0,0.3333333333333333,0,2019,0,5
1.0,0.7142857142857143,1.0,1839,1,16
0,0.0,0,2079,2,0
0.0,0.2,0.5,1891,1,3
1.0,0.6,0.75,1159,1,10
0.5,0.2857142857142857,0,2126,1,5
0.6666666666666666,0.5,1.0,1483,0,12
0.5,0.3333333333333333,0,2082,1,7
0.0,0.3333333333333333,0.5,2150,2,7
0.0,0.5,0.8333333333333334,2513,1,17
0.2,0.3333333333333333,1.0,1939,0,12
0.0,0.6666666666666666,0,1762,0,8
0.0,0.5882352941176471,0.75,2045,0,23
0.0,0.0,0.5,1636,0,1
0.5,0.5555555555555556,1.0,1695,1,15
0.6666666666666666,0.4166666666666667,0.9,2138,1,21
0.0,0.38461538461538464,0.8333333333333334,2185,0,15
0.6666666666666666,0.3333333333333333,0.8,2038,0,12
0.3333333333333333,0.16666666666666666,0.5,1292,2,6
0.0,0.18181818181818182,0.8333333333333334,1945,0,9
0.0,0.375,0,1863,1,6
0.0,0.0,0,2320,0,0
0,0.4,0.875,1595,3,11
0.0,0.2,1.0,1639,0,4
0.0,0.3333333333333333,1.0,1858,1,4
1.0,0.6666666666666666,0.8333333333333334,1976,1,14
0.0,0.3076923076923077,0.8333333333333334,2028,0,13
0,0.25,0,1491,0,4
0,0.3333333333333333,0.75,2095,0,7
0.6666666666666666,0.3,0,1532,2,8
0.5,0.375,0,1826,1,7
0.5,0.3333333333333333,0,1463,0,5
0.0,0.3333333333333333,1.0,1378,0,6
1.0,0.3333333333333333,0.5,1560,1,6
0.5,0.6,1.0,2345,2,11
0.0,0.5714285714285714,0.5,2006,1,9
0.0,0.5,1.0,2229,1,10
0.0,0.375,0.75,1824,1,9
0.0,0.25,1.0,1459,1,5
0.0,0.2857142857142857,1.0,1649,0,6
0.0,0.3333333333333333,0.75,1896,0,5
0,0.25,1.0,1861,1,4
0.3333333333333333,0.5,0.5454545454545454,1987,1,19
0.5,0.3,1.0,1960,1,11
0.5,0.42105263157894735,0.875,2329,0,25
0.25,0.2,1.0,1798,2,7
0,0.6666666666666666,0.75,1968,1,11
0,0.2,0.3333333333333333,1977,1,6
1.0,0.7142857142857143,0.8,1643,3,15
0.0,0.3333333333333333,1.0,1378,1,5
0.0,0.375,1.0,2129,0,7
0.5,0.5,0.75,1948,1,8
0,0.5,0.75,1579,1,5
0,0.6666666666666666,1.0,1939,3,11
0.3333333333333333,0.3333333333333333,0.75,2152,1,11
0,0.375,1.0,1559,1,8
1.0,0.75,1.0,1958,1,11
0.0,0.16666666666666666,1.0,1930,0,6
1.0,0.375,0.7142857142857143,2027,0,12
0.0,0.6666666666666666,0.8571428571428571,2948,1,22
0.5,0.3333333333333333,0,1524,0,5
0.5,0.5833333333333334,0.6,2636,1,19
0.0,0.125,1.0,1900,1,6
0.0,0.16666666666666666,0.5,1861,0,4
0,0.8,0.6666666666666666,1578,0,10
0.0,0.2857142857142857,0.75,1851,1,7
0.5,0.16666666666666666,0,1659,1,3
0.5,0.45454545454545453,0.75,2006,1,14
0.3333333333333333,0.5555555555555556,0.6666666666666666,2784,0,13
0.0,0.3888888888888889,0.8,1995,0,18
0.5,0.35714285714285715,1.0,1948,0,15
0.0,0.3125,0.5454545454545454,2397,0,16
0.0,0.0,0,1938,0,0
0,0.5714285714285714,0.7777777777777778,1929,0,15
0.25,0.3076923076923077,1.0,2729,0,14
0,0.4166666666666667,0.6666666666666666,2148,3,12
0,0.4,0.6,1755,2,11
0,0.3,0,1902,0,6
0.3333333333333333,0.5454545454545454,0.5,2069,1,14
0.0,0.5,0,795,0,4
0.0,0.4444444444444444,1.0,1282,0,10
0,0.3333333333333333,0.75,1408,0,8
0.75,0.5,1.0,1542,1,17
0.3333333333333333,0.2727272727272727,1.0,1579,0,8
0.4,0.4375,1.0,1902,1,18
0.0,0.2222222222222222,1.0,2325,0,14
0.0,0.2222222222222222,1.0,1811,1,6
0.25,0.35714285714285715,0.6666666666666666,2295,2,15
0.25,0.25,0.75,2495,2,13
0.25,0.45454545454545453,0.7777777777777778,2385,1,18
0.0,0.3076923076923077,1.0,2438,2,10
0.3333333333333333,0.4166666666666667,1.0,2329,0,13
0.0,0.125,0.0,2044,0,2
0.0,0.36363636363636365,0,1650,2,8
0.5,0.375,0,1328,0,7
0.3333333333333333,0.2,0.8333333333333334,2229,0,10
0.5,0.5882352941176471,0.8571428571428571,1949,0,28
0.0,0.25,0.8888888888888888,1824,1,12
0.0,0.4,1.0,1917,0,12
0,0.3333333333333333,1.0,1430,0,9
0.0,0.2,0.75,2330,1,7
0.0,0.14285714285714285,0.625,1593,1,7
0.0,0.2727272727272727,1.0,2096,2,8
0.25,0.4166666666666667,0.5,1826,1,12
0.0,0.4,1.0,1961,1,8
0.0,0.2857142857142857,0.5,1267,1,5
