@relation Ryan_Kelly
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
1.0,1.0,0,182,1,3
0.5,0.5,0.0,227,0,3
0.0,0.25,0,321,1,2
0,0,0,405,1,0
0,0,0,264,0,0
0.0,0.5,1.0,557,0,3
1.0,0.5,0.5,1010,0,4
0,1.0,0,781,0,2
0,1.0,1.0,1054,2,7
0.3333333333333333,0.3333333333333333,0.5,1145,2,6
1.0,0.5,0.75,760,0,6
0.0,0.4,0.6666666666666666,1131,0,6
0.25,0.2,1.0,1598,0,5
0.0,0.0,1.0,811,0,2
0.0,0.16666666666666666,1.0,1118,1,5
0.0,0.2,1.0,721,1,3
0.25,0.42857142857142855,1.0,1840,1,9
0.5,0.5,1.0,2046,1,20
0.5,0.7142857142857143,1.0,2222,0,17
0.25,0.4444444444444444,1.0,2073,3,13
0.25,0.3,0.0,1545,1,7
0.6666666666666666,0.625,1.0,1802,0,15
1.0,1.0,0,1252,0,5
0.0,0.2857142857142857,0.8571428571428571,1153,1,10
0.25,0.4,1.0,2001,1,13
0.6666666666666666,0.18181818181818182,0,1258,0,6
0.42857142857142855,0.5,0.7777777777777778,2506,1,26
0.25,0.5833333333333334,0,1877,1,15
0.0,0.0,0,952,0,0
0,1.0,0.3333333333333333,1074,1,3
0.3333333333333333,0.3333333333333333,0.4,975,0,7
0.2,0.2857142857142857,1.0,1759,1,13
0,0,0,738,0,0
0.5,0.75,0,873,0,7
1.0,1.0,0,610,0,3
1.0,1.0,0,952,0,5
0.0,0.5,0,701,1,4
0,1.0,0,1130,0,4
0.5,0.5,0.8,1268,0,9
0.5,0.5,1.0,1966,3,24
0.6666666666666666,0.5,0,2220,0,12
1.0,0.5,1.0,1734,1,12
0.0,0.25,1.0,1994,0,6
0.25,0.3333333333333333,0.875,2016,0,14
0.0,0.75,0.5,1158,0,7
1.0,0.8,0,1307,1,9
0.6,0.5,0,2038,0,9
0.0,0.3333333333333333,1.0,984,1,5
0.3333333333333333,0.36363636363636365,0,1427,2,9
0.6666666666666666,0.5,1.0,1773,0,17
0.3333333333333333,0.375,1.0,1208,4,9
0.0,0.3333333333333333,0.5,1682,1,6
0.0,0.16666666666666666,0.5,884,0,3
0.0,0.2727272727272727,0,1872,1,6
0.0,0.45454545454545453,0.7272727272727273,1913,0,18
0.5,0.45454545454545453,1.0,2246,2,14
0.3333333333333333,0.25,0.75,1469,0,8
0.0,0.2222222222222222,0,1933,3,4
0.0,0.5454545454545454,0,2196,1,12
0,0.5,0,425,0,2
1.0,0.3333333333333333,1.0,724,0,5
0,0.5,1.0,325,1,4
0.0,0.25,0,586,0,2
0,0,0,692,0,0
0.0,0.16666666666666666,0,1537,0,2
0,1.0,0.5,720,1,3
0.6,0.3,1.0,2195,0,13
1.0,0.5,0,1044,0,5
1.0,1.0,0,1329,0,7
0.0,0.16666666666666666,0,1263,1,2
0,0.0,0,926,0,0
1.0,0.3333333333333333,0.75,1087,1,6
0,0.5,0.6,1294,0,7
0.0,0.0,1.0,1199,0,2
0.0,0.0,0.5,1177,1,1
1.0,0.3333333333333333,0,1261,1,3
0.3333333333333333,0.5,0,1293,0,5
0.0,0.0,0,1030,0,0
0.8333333333333334,0.42857142857142855,1.0,2007,1,20
0.0,0.14285714285714285,0,1247,0,2
0.3333333333333333,0.14285714285714285,0.75,1227,0,6
1.0,0.5,0,1471,0,8
0.0,0.4,1.0,1262,0,6
0.0,0.25,0.8,1498,0,8
0.4,0.375,0.6,1607,1,11
1.0,0.5,0.5,1384,0,4
0.0,0.0,0,1044,0,0
0.0,0.0,0.6666666666666666,1388,0,2
0.0,0.0,1.0,913,0,4
0,0.0,0,927,0,0
0.5,0.4166666666666667,0,1469,1,13
0,0.25,0,857,0,2
0.3333333333333333,0.5,1.0,1405,1,12
0,0.0,0,1249,0,0
0.0,0.25,0,750,0,2
0.0,0.2,1.0,1338,0,4
0.5,0.5555555555555556,1.0,1747,1,16
0.125,0.3076923076923077,1.0,2237,1,11
0.5,0.375,0,1882,0,7
0.0,0.4,1.0,2145,0,6
0.5,0.5555555555555556,1.0,2601,0,16
0.25,0.5555555555555556,0.5,1797,0,12
0.0,0.3333333333333333,0,2253,0,4
0.6666666666666666,0.4,1.0,2132,1,9
0.6666666666666666,0.75,0.75,1992,0,17
0.8333333333333334,0.5833333333333334,1.0,2256,0,21
0.0,0.16666666666666666,1.0,1599,0,3
0.3333333333333333,0.3333333333333333,0.5,2280,0,12
0.0,0.2,1.0,1238,1,3
0.3333333333333333,0.5714285714285714,0.5,1663,0,10
0.0,0.0,0,867,0,0
0.0,0.3333333333333333,1.0,562,0,3
0,0.5,0,147,0,2
0,1.0,0.5,363,0,3
