@relation Sergey_Karasev
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0,0,65,0,0
0,0.0,0,312,0,0
1.0,0.4,1.0,858,0,7
0.0,0.0,0,520,0,0
0.0,0.5,0,353,0,2
0.0,0.0,1.0,108,0,2
0.6666666666666666,0.6666666666666666,0,671,0,6
0.0,0.3333333333333333,1.0,1263,0,8
0.3333333333333333,0.3333333333333333,0,1131,0,3
0,0.0,0.5,912,0,1
0,0,0,171,0,0
0,0,0,98,0,0
0.0,0.3333333333333333,0,498,0,2
0,0,0,483,0,0
0.0,0.0,0,427,0,0
0,0,0,56,0,0
0.0,0.5,0,362,0,2
0,0,0,52,0,0
0,0,0,229,0,0
0,0,0,193,0,0
0,1.0,0,156,0,4
0.0,0.0,0,431,0,0
0,0,0,172,0,0
0,0,0,1,0,0
0.0,0.0,1.0,281,1,2
0,0,0,386,0,0
0.0,0.0,0,150,0,0
0,0.0,0,237,0,0
1.0,0.8,1.0,866,1,11
0.0,0.375,0,1875,1,6
0.3333333333333333,0.4444444444444444,1.0,1669,1,11
0.5,0.3333333333333333,0,1384,0,3
0.25,0.4444444444444444,0.6666666666666666,1346,2,11
0.5,0.5,0,2208,0,12
0.3333333333333333,0.3333333333333333,1.0,1950,0,9
0.0,0.5,1.0,1897,2,12
0.5,0.42857142857142855,0,1531,4,7
0.5,0.5555555555555556,0.5,1462,2,14
0.3333333333333333,0.2,0.5,1814,3,5
0,0.0,1.0,1414,1,2
0.5,0.6,0.0,2012,0,7
0.0,0.3333333333333333,0,1303,0,2
0.0,0.42857142857142855,0.8,1538,0,10
0.0,0.25,0.75,1367,1,5
0.0,0.5,0,742,0,2
0,0.5,0,674,0,2
0.0,0.25,0,532,0,2
0,0,0,145,0,0
1.0,0.25,0,869,1,3
0.5,0.4,0,1083,1,6
0.0,0.0,0,578,0,0
0.0,0.25,0,514,0,2
0.0,0.0,0,584,0,0
1.0,1.0,0,381,0,7
0,0.0,0,350,1,0
0,0,1.0,141,0,2
0.0,0.0,0,97,0,0
0,0,1.0,104,0,2
0.3333333333333333,0.5,0,1443,0,5
0.0,0.0,0,572,0,0
0,0.0,0,459,0,0
0,0,0,152,0,0
0,0,0,342,0,0
