@relation Shane_Larkin
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.3333333333333333,0.5,515,0,3
0.6666666666666666,0.6,0,1008,1,8
0,0.5,0.0,911,0,2
0.0,0.0,1.0,836,1,2
0,0.0,0,258,0,0
0.0,0.375,0.5,1018,0,7
0.0,0.0,0,531,0,0
0.0,0.3333333333333333,0,1005,0,4
0.0,0.0,0,539,0,0
0.3333333333333333,0.5,1.0,679,0,10
0,0.5,0,687,0,2
0,0.3333333333333333,0.5,1486,1,5
0.5,0.5,0,837,0,5
0.0,0.5,0,805,0,4
0,0.0,0,829,0,0
0.0,0.0,0,601,0,0
0.3333333333333333,0.3333333333333333,0,722,0,3
0.0,0.0,0,359,1,0
0,0.5,0,709,0,2
1.0,0.75,0.5,815,3,8
0,0.4,0,443,0,4
0,0,0,92,0,0
0.5,0.42857142857142855,0,1032,0,7
1.0,0.6666666666666666,0,850,1,5
0.0,0.0,0,648,1,0
0.0,0.3333333333333333,0,348,0,2
0.6666666666666666,0.75,0.8,1593,0,18
0.0,0.5,0.75,1397,0,9
0.5,0.3333333333333333,0,1086,0,3
0.0,0.3333333333333333,0,674,0,2
0,0,0,332,2,0
0.0,0.0,0,283,0,0
0,0,0,226,0,0
0,0.0,0,215,0,0
0,0.5,0,516,0,2
0.0,0.0,0.5,1358,0,1
0,0,0,54,0,0
0,0,0,190,0,0
0,0,0,23,0,0
0,0,0,149,0,0
0,1.0,0,287,0,2
0.0,0.0,0,942,0,0
0,1.0,0,247,0,2
0,0,0,71,0,0
0,0.5,0.5,766,0,5
0,0,0,15,0,0
0,1.0,0,32,0,2
1.0,0.5,0,347,0,3
0.0,0.3333333333333333,1.0,1535,0,6
1.0,0.6666666666666666,0,1693,1,9
0.5,0.42857142857142855,1.0,1592,0,9
0.0,0.4,0.6666666666666666,1560,0,6
0.0,0.5,0,1949,0,4
0,0.0,0,1143,1,0
0.5,0.5,0,1751,0,9
0.0,0.2,0,1495,0,2
1.0,0.4,1.0,1006,0,9
1.0,0.3,0,2258,1,7
1.0,0.6,0,1572,0,7
0.0,0.0,0,1321,0,0
0.0,0.3333333333333333,0,1741,0,4
0.0,0.8,0,1312,0,8
0.5,0.2,0,872,1,3
0.5,0.5,1.0,1507,1,7
0.3333333333333333,0.4,0,1012,0,5
0.5,0.4,1.0,1107,0,8
0.3333333333333333,0.3333333333333333,0,937,0,5
1.0,0.5,0,541,0,3
0,0.6666666666666666,1.0,1500,1,6
0.5,0.6666666666666666,0,1291,0,5
0.5,0.2,0,963,1,3
1.0,0.6666666666666666,0,1794,1,9
0,0.2857142857142857,0.5,1817,1,5
0.0,0.4,0,772,0,4
1.0,0.6666666666666666,0,1027,0,5
1.0,1.0,0,703,0,5
0.0,0.5,1.0,2086,0,14
0.0,0.3,0,1824,1,6
0.0,0.42857142857142855,0,1281,1,6
1.0,0.6,0.5,1540,0,8
0.0,0.25,0,1342,1,2
0.25,0.5,0,1830,0,7
0.5,0.5,0,1654,0,10
0.0,0.2,0.5,1800,0,3
0.3333333333333333,0.5555555555555556,1.0,1648,0,12
0.0,0.0,0,1151,0,0
0,0.4,0,911,0,4
0.5,0.5,0,669,0,5
0.0,0.5,0,559,0,4
0.0,0.2,0,1126,0,2
0,0,0,608,1,0
0.0,0.25,0,1050,1,2
0.5,0.6,0,1223,0,7
0.5,0.75,0.5,971,0,8
0.0,0.0,0,1014,1,0
0.3333333333333333,0.5,0,1658,2,11
0,0.2,0.5,1564,0,3
0,0.0,0.6666666666666666,1098,0,2
0.3333333333333333,0.5555555555555556,1.0,2144,0,16
0.0,0.4,0,1204,0,4
0.3333333333333333,0.5555555555555556,0.5,1633,0,13
0.0,0.0,0,1568,0,0
0.3333333333333333,0.4444444444444444,1.0,1336,1,11
0.0,0.5714285714285714,0.0,1919,0,8
0.0,0.4,0,1371,0,4
0,0.25,0.5,833,0,3
0,0.4,0,1035,1,4
0,0.8,0.0,1523,1,8
0.0,0.4,1.0,1348,0,5
0.5,0.6666666666666666,0.5,1492,2,10
0.5,0.6,0,1989,1,13
0.6,0.5,0,1972,0,9
0.0,0.2857142857142857,0,2612,1,4
0.0,0.5,0,1784,0,2
0.0,0.5384615384615384,0.0,2627,0,14
0.0,0.25,1.0,1879,0,6
0.0,0.25,0,2293,2,4
0.0,0.625,1.0,2167,0,14
0,0.5,0.875,2476,2,15
0.0,0.1,0,2269,1,2
0,0.8333333333333334,1.0,1927,0,14
0.0,0.3333333333333333,0,1334,0,4
0.0,0.5714285714285714,0.5,1326,0,9
0,0.4,0.5,1434,0,5
0.0,0.375,0,1393,0,6
0,0.6,0.5,986,0,7
0,0.2,0,758,0,2
0,1.0,0.0,1087,0,10
0,0.3333333333333333,1.0,991,0,4
0.0,0.0,0,625,0,0
0.0,0.2857142857142857,1.0,1097,0,6
0.75,0.6,0,1357,1,15
1.0,0.75,0,897,0,8
0.0,0.25,0,659,0,2
0.6666666666666666,0.45454545454545453,0,814,0,14
0,0.6,0,1193,1,6
0.3333333333333333,0.5,0.5,1781,1,10
0.5,0.5,0,1070,0,7
1.0,0.5714285714285714,0.0,1529,0,10
0,0.4,0.75,756,0,7
0.3333333333333333,0.4,0,1283,0,9
