@relation Shawne_Williams
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.2,0.5,770,1,3
0,0.0,0,691,2,0
0.3333333333333333,0.25,0,1238,0,3
0.5,0.6,0,1064,1,7
0.5,0.5,0,324,0,3
0.4,0.42857142857142855,0,1503,0,8
1.0,1.0,0,776,0,3
0.0,0.25,0,526,0,2
0.5,0.5,0,1017,1,6
0.3333333333333333,0.25,0,1235,0,6
0.5,0.5,0,1100,1,6
0.25,0.16666666666666666,0,1678,1,3
0.0,0.14285714285714285,0,1247,0,2
0.2,0.14285714285714285,0.5,1471,1,4
0.5454545454545454,0.5384615384615384,0,1846,3,20
0.0,0.4,0,1714,3,4
0.3333333333333333,0.3333333333333333,0,1357,0,6
0.5,0.6666666666666666,0,1398,1,10
0.0,0.5,0,880,0,4
0.0,0.2857142857142857,1.0,1136,1,6
0.5,0.5,0,1015,0,5
0.0,0.0,0,782,0,0
0.0,0.4,0,1826,1,4
0.0,0.0,1.0,1197,1,2
1.0,0.5,0,1389,0,3
0.5,0.6,0,1477,0,7
0.25,0.25,0,958,0,3
0.0,0.3333333333333333,0,1073,0,4
0.42857142857142855,0.375,1.0,2131,2,11
0.25,0.4,0,2184,0,5
1.0,0.75,0.5,1004,0,10
0.16666666666666666,0.2857142857142857,0.0,683,0,5
0.0,0.3333333333333333,1.0,786,0,4
0.2,0.3333333333333333,1.0,1291,1,7
0.5,0.5,0.5,2173,1,11
0.375,0.375,0,2107,3,15
0.0,0.1111111111111111,0.5,1901,3,3
0.6,0.5555555555555556,1.0,1740,0,15
0.42857142857142855,0.5,0.75,1702,1,16
0.75,0.6666666666666666,0.75,1765,2,14
0.75,0.6,0,1785,0,9
0.2,0.3333333333333333,0,1982,1,7
0.5,0.6,0,1144,0,7
0.8,0.8333333333333334,0.5,1321,1,15
0.8333333333333334,0.7272727272727273,0,1952,2,21
0.5,0.5555555555555556,0,1578,2,13
0.3333333333333333,0.2,1.0,2176,0,5
0.5,0.2,1.0,1478,0,7
0.5,0.5,1.0,2149,0,10
0.3333333333333333,0.5,0,1524,0,5
0.6,0.5,0,1633,2,11
0.25,0.25,1.0,1238,1,5
0.0,0.3333333333333333,0,1152,0,2
0.6666666666666666,0.4,0,1087,0,6
0.0,0.3333333333333333,0,828,0,2
0.0,0.2857142857142857,0,730,1,4
0,0,0,409,0,0
0.5,0.3333333333333333,0,1440,1,9
0,1.0,0,791,0,2
0.3333333333333333,0.25,0.5,1688,0,4
0.4,0.375,1.0,1110,0,10
0.25,0.2857142857142857,0,1767,1,5
0.5,0.5,0,1438,0,8
0.2857142857142857,0.36363636363636365,1.0,1858,0,11
0.6,0.6666666666666666,1.0,1563,2,17
0.2,0.3333333333333333,0,1587,2,5
1.0,0.6,0,992,0,7
0,0,0,619,0,0
0.0,0.0,0,620,0,0
0.0,0.0,0,280,0,0
1.0,1.0,0,204,0,3
0.3333333333333333,0.5,0,1092,0,5
1.0,1.0,1.0,1085,0,7
0.25,0.25,0,415,1,3
0.4,0.3333333333333333,0,1612,2,8
0.0,0.375,0,1074,1,6
0.0,0.3333333333333333,0,672,1,2
0.0,0.0,0,741,0,0
0.25,0.16666666666666666,0,977,0,3
0.0,0.0,0,531,0,0
0.0,0.3333333333333333,1.0,380,0,3
0.0,0.0,0,313,0,0
0,1.0,0,285,0,2
0.0,0.36363636363636365,0,956,1,8
0.0,0.5,0,917,1,4
0.0,0.5,0,220,0,2
0.0,0.0,0,210,0,0
0.2,0.16666666666666666,0,948,0,3
0.0,0.2,0,807,2,2
0,0.0,0,358,0,0
0.0,0.0,1.0,436,1,2
0.0,0.0,1.0,456,1,2
0,0.5,1.0,766,1,6
0.0,0.3333333333333333,0,958,1,2
1.0,1.0,0,196,0,3
0.0,0.0,0,327,0,0
0,0.0,0,297,0,0
