@relation Solomon_Hill
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.0,0,487,0,0
0,1.0,0,563,1,4
1.0,1.0,0,324,0,5
0.0,0.0,0,422,1,0
0.0,0.0,0,879,0,0
0,0,0,399,1,0
0.0,0.0,0,817,2,0
0.0,0.0,1.0,1136,0,2
0.0,0.0,0,612,1,0
0.0,0.0,1.0,394,0,1
0,0,0,147,0,0
0.6666666666666666,0.5,0,1244,2,6
0.5,0.5,0,408,0,3
0,0,0,271,0,0
0,0.0,0,159,0,0
0.0,0.5,0.5,401,0,3
0,1.0,0,366,0,2
0,1.0,0,436,0,4
1.0,1.0,0,477,0,8
0,0,0,9,0,0
0,0,0,30,0,0
0,0.5,0,112,1,2
0,0,0,63,0,0
0,0,0,123,0,0
0,0,0,80,0,0
0,0,0,217,0,0
0.0,0.0,1.0,1377,0,2
0.5,0.3333333333333333,0,1583,0,5
0.5,0.3333333333333333,0,1350,2,3
0.5,0.5,1.0,1008,0,5
0.4,0.375,1.0,2060,2,10
0.3333333333333333,0.45454545454545453,0.5,1727,1,12
0.5,0.5555555555555556,0.75,2219,2,14
0.3333333333333333,0.45454545454545453,0,2368,0,12
0.3333333333333333,0.5263157894736842,0.6363636363636364,2565,2,28
0.0,0.4166666666666667,0.75,2203,1,13
0.25,0.08333333333333333,0.75,2538,5,9
0.25,0.3125,0.5,2220,1,12
0.3333333333333333,0.42857142857142855,0.8888888888888888,1999,4,21
0.0,0.375,0,2250,1,6
0.25,0.46153846153846156,0,2113,3,13
0.0,0.5,1.0,1979,2,12
1.0,0.5,0,1735,1,10
0.25,0.36363636363636365,1.0,1820,1,11
0.4,0.36363636363636365,0.75,1883,2,13
0.0,0.2,0.0,1751,0,2
0.5,0.6363636363636364,0,1749,4,15
0.0,0.25,0.6666666666666666,2249,1,10
0.0,0.3333333333333333,0.5,1956,1,5
0.0,0.14285714285714285,1.0,993,0,4
0.5,0.625,0.8333333333333334,1795,1,16
0.0,0.3076923076923077,0,2193,2,8
0.0,0.25,1.0,1703,1,4
0.4,0.25,1.0,1956,1,10
0.5,0.42857142857142855,0.75,1700,1,11
0.5,0.4,1.0,1934,0,7
0.3333333333333333,0.5454545454545454,0,2122,0,13
0.5,0.5,1.0,2248,1,14
0.5,0.16666666666666666,0,1270,0,3
0.3333333333333333,0.42857142857142855,0.5,1803,1,10
0,0.25,1.0,1496,0,8
0.0,0.14285714285714285,0.8333333333333334,2144,1,7
0.3333333333333333,0.2727272727272727,1.0,2177,1,10
0.0,0.6,0.8333333333333334,1958,1,11
0.4,0.5333333333333333,0.75,2056,0,21
0.0,0.2857142857142857,0,1528,0,4
0.0,0.18181818181818182,0.8888888888888888,2164,2,12
0,0.25,0,1406,0,2
0.5,0.42857142857142855,1.0,1800,1,10
0,0.0,0,1904,0,0
0.16666666666666666,0.4,1.0,1973,0,13
0.25,0.3333333333333333,0,1616,0,7
0.0,0.2222222222222222,0.0,1538,0,4
0.0,0.25,0,1828,0,2
0.75,0.5555555555555556,1.0,2150,0,15
0.6666666666666666,0.4444444444444444,0,1979,0,10
0.0,0.0,0,1538,0,0
0.3333333333333333,0.4,0,1280,0,5
0.0,0.625,1.0,2178,1,11
0.0,0.375,1.0,1442,0,9
0.6666666666666666,0.6,1.0,1062,0,10
0.6666666666666666,0.8,1.0,1625,1,12
0.5,0.5,0,1270,1,5
0.0,0.3333333333333333,1.0,1104,0,6
0.6666666666666666,0.5,0.5,1456,0,11
0,0.6666666666666666,1.0,1069,0,8
0.0,0.2857142857142857,0,1195,0,4
0.0,0.3333333333333333,0,1923,0,2
0.4,0.5,1.0,1562,1,16
0,0.42857142857142855,0.75,1747,2,9
0.25,0.36363636363636365,0,1658,0,9
0.0,0.5,0.8333333333333334,1529,0,9
0.0,0.0,0,1487,0,0
0.0,0.5,0.75,2110,0,11
0.0,0.16666666666666666,0,1772,1,2
0.5,0.4375,0.5,2109,2,17
0.5,0.3333333333333333,0,1511,1,5
0.6666666666666666,0.375,0.8333333333333334,1898,0,13
0.5,0.2857142857142857,0,1372,2,5
0,0.5,0,857,0,2
0.6,0.42857142857142855,0,2020,0,9
0.0,0.2857142857142857,1.0,1543,0,7
0.3333333333333333,0.2857142857142857,0,1603,1,5
0.6,0.6,1.0,1537,2,19
0.0,0.5,1.0,1739,0,8
0.0,0.25,0,1362,0,2
1.0,0.5,0.0,1347,1,7
0,0.0,0,1286,2,0
0,0,0,116,0,0
0.0,0.4,0,779,1,4
0.0,0.4,0,634,0,4
1.0,1.0,0,310,0,3
0,0,0,42,0,0
0.0,0.0,0,707,0,0
