@relation Spencer_Hawes
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.5,0.7142857142857143,0.75,1763,3,24
0.5,0.5,0.5,1987,1,16
0.5,0.7272727272727273,0,1823,3,18
0.5,0.16666666666666666,0.5,1582,3,5
0.5,0.5625,0.75,2315,2,23
0.6666666666666666,0.5,1.0,1918,2,10
0.25,0.46153846153846156,0,2537,2,13
0.5,0.46153846153846156,1.0,1956,3,17
0.6,0.4375,0.5,2148,3,18
0.3333333333333333,0.45454545454545453,0.75,1915,2,14
0.3333333333333333,0.36363636363636365,0.8333333333333334,1499,1,14
0.3333333333333333,0.36363636363636365,0.5,2177,1,10
0.75,0.7692307692307693,0.8333333333333334,2221,2,28
0.5,0.6875,0,2340,2,25
0.3333333333333333,0.45454545454545453,0.0,1523,0,12
0.25,0.3333333333333333,0,1849,0,11
0.375,0.4666666666666667,0,2431,2,17
0.4,0.3333333333333333,1.0,1725,2,10
0.25,0.5454545454545454,1.0,1809,2,14
0.0,0.16666666666666666,0,1357,0,2
0.8,0.5833333333333334,0.6666666666666666,2050,0,20
0.0,0.5,0.8333333333333334,2035,1,15
0.6666666666666666,0.5833333333333334,0,1482,1,16
0.0,0.2,0,1581,1,2
0.2857142857142857,0.21428571428571427,0.5,2450,1,10
0.6666666666666666,0.6666666666666666,1.0,2108,7,25
0.6666666666666666,0.5714285714285714,0.6666666666666666,2063,1,12
0.5,0.5833333333333334,0.75,1939,2,19
0.5,0.36363636363636365,0.75,1901,1,13
0.3333333333333333,0.36363636363636365,1.0,1030,2,10
1.0,0.375,1.0,2006,1,9
0.3333333333333333,0.5,0,1507,1,7
0.5,0.6,1.0,1362,2,9
0.375,0.42857142857142855,1.0,2247,1,16
0.25,0.42857142857142855,1.0,2475,1,17
0.5,0.5833333333333334,0,2291,0,17
0.0,0.35714285714285715,0.0,1642,4,10
0.25,0.375,1.0,1796,2,9
0.14285714285714285,0.3333333333333333,0,1846,3,11
0.5,0.3333333333333333,0.5,1489,0,4
0.25,0.35294117647058826,1.0,2047,4,14
0.4,0.4,0,1941,1,14
0.5,0.5,1.0,2023,4,18
0.6666666666666666,0.5,1.0,2119,0,20
0.0,0.6,0,1063,1,6
0.0,0.25,0,1705,1,4
0.6666666666666666,0.42857142857142855,0,2106,2,8
0.0,0.38461538461538464,1.0,2011,2,13
0.5,0.45454545454545453,0.6666666666666666,2010,1,15
0.0,0.0,0,1376,1,0
0.0,0.3,0.0,1523,0,6
0.4,0.375,1.0,2068,3,16
0.0,0.16666666666666666,0,1767,0,2
0.3333333333333333,0.3,0,1588,4,7
0.25,0.5,0.8333333333333334,1935,3,16
0.75,0.5,0,1906,2,15
0.5,0.4444444444444444,0,1895,3,19
0.5,0.5,0,2227,3,13
0.6,0.4166666666666667,0,1997,1,13
0.75,0.7777777777777778,0.6,2000,0,20
0.3333333333333333,0.38461538461538464,1.0,2172,0,13
0.5714285714285714,0.4666666666666667,1.0,2175,1,21
0.75,0.5454545454545454,1.0,2049,1,19
0.14285714285714285,0.4444444444444444,0.8333333333333334,2179,3,22
0.25,0.45454545454545453,0.75,2026,2,14
0.0,0.5,0.5,2127,0,11
0.3,0.47058823529411764,0.5,1848,0,20
0.0,0.125,0.5,990,2,3
1.0,0.6,0,1347,1,7
0.3333333333333333,0.4,1.0,1308,1,11
0.0,0.5,0.0,1432,1,4
1.0,0.46153846153846156,0.5,1338,3,16
0.5,0.5555555555555556,1.0,1986,1,13
0.5714285714285714,0.4375,1.0,2010,0,20
0.3333333333333333,0.42857142857142855,0.75,2278,5,16
0.5,0.3333333333333333,1.0,2136,1,9
1.0,0.75,0,1123,2,15
0.2,0.5833333333333334,0,1505,0,15
0.5,0.25,0,1231,2,3
0.5,0.5714285714285714,0,1431,1,10
0.0,0.3333333333333333,0,1119,1,4
0.6666666666666666,0.6,0.5,860,0,9
0.3333333333333333,0.5,1.0,1354,1,17
0,0.0,0,903,0,0
0.0,0.14285714285714285,0.75,1388,3,5
0,0.0,0.5,710,0,1
0.0,0.6666666666666666,0.5,833,0,9
0.5,0.5555555555555556,0.6666666666666666,1096,0,14
0.4,0.42857142857142855,0,1033,0,8
0.6666666666666666,0.5,1.0,1259,0,10
0.3333333333333333,0.4,0.5,1208,0,6
0.0,0.2857142857142857,0.5,1463,2,5
0.0,0.0,0,512,0,0
0,0.2,1.0,1074,0,4
0.5,0.42857142857142855,0,1087,1,7
0.0,0.3333333333333333,0.0,1022,0,2
0.5714285714285714,0.5555555555555556,0,1205,0,14
0.5,0.7142857142857143,0,994,0,12
0.0,0.25,0,1110,0,2
0.0,0.5,0,966,1,4
0.3333333333333333,0.2857142857142857,0,896,0,5
0,0,0.5,358,0,1
0.0,0.25,0,775,0,2
0.6666666666666666,0.5714285714285714,0,1381,0,10
0.25,0.3333333333333333,0,1241,1,7
0.0,0.16666666666666666,0.5,1044,0,3
0.25,0.3333333333333333,0.5,801,0,7
0.3333333333333333,0.3333333333333333,0.5,1320,0,6
0.0,0.3333333333333333,0,1053,0,4
0.0,0.0,0,1002,2,0
0.5,0.6666666666666666,0,749,2,9
0,0.4,0,993,1,4
0.3333333333333333,0.4,0,989,1,9
0.25,0.375,0,936,0,7
0.6666666666666666,0.6666666666666666,1.0,943,0,11
0,0.6666666666666666,0,991,0,4
0.0,0.0,0,823,0,0
0.0,0.0,0,896,0,0
0.6,0.5,0,1450,1,11
1.0,0.3333333333333333,0,1028,0,3
0.5,0.6666666666666666,1.0,1062,1,11
0.5,0.8,0,979,1,9
0.4,0.4375,0.5,2127,1,17
0.0,0.5,0.0,832,0,4
0.0,0.5555555555555556,0.6666666666666666,1150,1,12
0.0,0.42857142857142855,0.5,1980,0,7
1.0,0.6,0,1236,1,7
0.25,0.3333333333333333,0,1924,1,9
0.2,0.1111111111111111,1.0,1855,1,7
0.3333333333333333,0.375,0.0,1453,1,7
0.4,0.5,0,1386,2,14
0.2857142857142857,0.25,0,1397,0,8
0.4,0.3333333333333333,0,1551,0,8
0,0.3333333333333333,0,1135,1,4
0.3333333333333333,0.3333333333333333,0.0,1367,0,5
0.25,0.14285714285714285,0.5,1897,0,4
0.0,0.25,0,1072,0,4
0,0.0,0,207,1,0
0.5,0.3333333333333333,0,671,0,3
1.0,0.2,0,929,0,3
0,0,0,634,0,0
0.3333333333333333,0.5,0,872,0,7
0.25,0.42857142857142855,0,1137,0,7
0.0,0.0,0.75,1148,0,3
0,0.0,0,263,0,0
0,0.0,0,304,0,0
0.0,0.2,0,679,0,2
0.3333333333333333,0.3333333333333333,0,1069,0,5
0,0,0,299,0,0
0,0.0,1.0,476,0,2
0.5,0.7142857142857143,1.0,1052,0,13
0,0,0,152,0,0
0.0,0.16666666666666666,0,475,0,2
0,0,0,15,0,0
0,1.0,0,677,0,2
1.0,1.0,1.0,556,0,8
0.5,0.7142857142857143,0,1199,2,11
0,0,0,214,0,0
0.0,0.0,0,109,1,0
0.0,0.6,0.5,1099,0,7
0,0.6666666666666666,0.0,1071,1,8
0.0,0.125,0,1104,1,2
1.0,0.8333333333333334,0,1174,0,13
0.0,0.0,0,1104,0,0
0,0.6666666666666666,0,835,0,4
0.0,0.16666666666666666,0,1143,0,2
0.0,0.0,0,1148,1,0
0.0,0.2,0,1037,1,2
0.0,0.0,1.0,1053,0,2
0.5,0.4,1.0,1044,3,14
1.0,0.7142857142857143,0,1057,0,12
0.0,0.16666666666666666,1.0,892,0,4
0.0,0.0,0,459,0,0
0,1.0,0,324,0,4
1.0,0.25,1.0,984,0,5
