@relation TJ_McConnell
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.4,0,1655,1,4
0,0.25,0,1590,1,2
0,0.75,0,1386,1,6
1.0,0.75,0,2073,1,7
0.5,0.5,0,1474,0,8
0.0,0.3333333333333333,0,2189,2,6
0.0,0.2,0,1834,0,2
0.0,0.625,0,2014,0,10
0,0.6666666666666666,0,1547,0,8
0.3333333333333333,0.6666666666666666,0,2062,1,13
0.6666666666666666,0.7777777777777778,0,1205,0,16
0.3333333333333333,0.25,0,1628,1,5
0.0,0.5,0,1775,2,6
0.0,0.2222222222222222,0,1562,1,4
0,0.75,0,1220,1,6
0,0.75,0,1541,0,6
1.0,0.6,0.0,1312,0,7
