@relation Thaddeus_Young
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.3333333333333333,0,2060,4,10
0,0.7,0.5,1932,3,29
0.75,0.5555555555555556,0,1725,0,13
0.0,0.3,0,1354,0,6
0.0,0.2727272727272727,0.5,2045,3,7
0.0,0.6666666666666666,0.0,2172,0,16
0.6666666666666666,0.6111111111111112,0.8333333333333334,2566,0,29
0.0,0.42857142857142855,0.5,1772,4,7
0,0.3333333333333333,0.8333333333333334,2434,1,15
0.0,0.4666666666666667,1.0,1980,5,17
0,0.45454545454545453,0.5,1438,2,11
0,0.3333333333333333,0,1842,5,12
0.6666666666666666,0.6,0.5454545454545454,1708,3,26
0.5,0.4,0.25,2163,8,15
0.3333333333333333,0.5294117647058824,0.8,1767,2,24
0.5,0.5,1.0,2887,2,25
0.0,0.3333333333333333,0.75,1789,0,9
0.0,0.4,0.6666666666666666,1891,2,14
0.0,0.5,0,2035,2,16
0.0,0.5384615384615384,1.0,2045,0,16
0.0,0.6153846153846154,1.0,2118,2,18
1.0,0.7777777777777778,0,1515,0,15
0.0,0.46153846153846156,0.5,1941,1,14
1.0,0.6111111111111112,0,2123,4,25
1.0,0.5789473684210527,1.0,2358,3,30
0.5714285714285714,0.5555555555555556,0.8571428571428571,1761,2,30
0.0,0.47619047619047616,0.8333333333333334,2510,4,25
0.16666666666666666,0.4117647058823529,0.6666666666666666,2403,4,17
0.5,0.5625,1.0,2186,2,28
0.3333333333333333,0.7,0.5,2446,3,30
0.5,0.5625,0.0,1660,0,20
0.0,0.0,0,1293,0,0
0.3333333333333333,0.47619047619047616,0.0,2444,2,22
0.0,0.4375,0.5,2394,3,15
0.3333333333333333,0.36363636363636365,0.5,1973,0,11
0.0,0.23076923076923078,0.6666666666666666,1914,2,10
0.0,0.35294117647058826,0,1776,2,12
0.0,0.5,0.8,1796,0,18
0.25,0.38095238095238093,0.6666666666666666,2322,4,19
0.0,0.5,0,1936,2,16
0.16666666666666666,0.29411764705882354,0.6666666666666666,2179,6,13
0.25,0.6,0.6666666666666666,2210,0,21
0.4,0.5,0.0,1919,1,16
0.5,0.5789473684210527,0.5714285714285714,1823,2,29
0.0,0.5,0.0,1932,2,14
0.5,0.6363636363636364,1.0,2287,1,17
0.4,0.5294117647058824,0,2048,3,20
0.25,0.2222222222222222,0,2043,1,5
0.25,0.4117647058823529,0,1552,6,15
0.0,0.3333333333333333,1.0,1697,2,12
0.25,0.5384615384615384,0.6666666666666666,2247,1,19
0.2,0.375,0.6666666666666666,1550,6,15
0.2857142857142857,0.41379310344827586,1.0,2602,6,30
0.42857142857142855,0.5789473684210527,0.75,2046,1,28
0.0,0.3888888888888889,0.8333333333333334,2091,1,19
0.0,0.5,0.75,2100,1,17
0.42857142857142855,0.52,0,2162,2,29
0.0,0.23076923076923078,0,1373,2,6
0.16666666666666666,0.5,0.5,2323,0,18
0.3333333333333333,0.36363636363636365,0.5,2400,4,18
0.0,0.2777777777777778,0.75,2351,1,16
0.0,0.3225806451612903,0.8333333333333334,2710,1,25
0.8,0.42105263157894735,0,2071,4,20
0.5,0.47368421052631576,0.3333333333333333,2460,2,23
0.5714285714285714,0.5263157894736842,0,2262,0,24
0.3333333333333333,0.2857142857142857,1.0,2416,3,21
0.0,0.38461538461538464,0.8888888888888888,2440,4,28
0.0,0.35,0.6,2080,2,17
0.4,0.375,0.5,2005,3,15
0.5,0.5294117647058824,1.0,2091,2,21
0.8333333333333334,0.7,1.0,2130,0,23
0.0,0.3076923076923077,1.0,2048,0,11
0.2,0.4117647058823529,0,2398,2,15
0.6,0.4444444444444444,0.5,2305,0,20
0.0,0.4117647058823529,1.0,2396,1,16
0.5,0.47058823529411764,0,1632,1,18
0.0,0.36363636363636365,0.0,2266,0,16
0.25,0.3125,0.6666666666666666,2119,3,15
0.0,0.5294117647058824,1.0,1820,3,20
0.6666666666666666,0.5555555555555556,1.0,2046,2,26
0.5,0.5384615384615384,1.0,2045,1,19
0.0,0.4444444444444444,0,1032,0,8
0,0.42857142857142855,0,2164,4,12
1.0,0.4,0.0,2320,0,13
0.0,0.47058823529411764,0.0,2108,3,16
1.0,0.2,0.5,1632,1,6
0,0.1,0.25,1652,0,3
0.0,0.6153846153846154,0.75,2143,0,22
0.0,0.5454545454545454,0.6666666666666666,2550,0,14
0.0,0.4444444444444444,0.0,1270,0,8
0.0,0.375,1.0,2179,2,16
0.0,0.45,0.25,2316,2,19
0,0.625,0.6666666666666666,1489,0,14
1.0,0.45454545454545453,0.6666666666666666,1815,3,13
0.0,0.3,1.0,2178,2,13
0.0,0.5333333333333333,0,2023,1,16
0.0,0.5714285714285714,0,2114,1,8
0,0.631578947368421,0.4166666666666667,2121,2,29
0.0,0.3157894736842105,0.5,1810,0,13
0,0.4444444444444444,0.0,1698,1,8
0,0.3333333333333333,0.5,1918,4,13
0.0,0.47619047619047616,0.75,1926,2,23
0.5,0.6363636363636364,0.5,1648,0,17
0.5,0.36363636363636365,0.0,1872,1,9
