@relation Tim_Hardaway_Jr
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
1.0,1.0,0,905,0,5
0.3333333333333333,0.3076923076923077,0,1610,0,10
0.0,0.25,0,1496,1,6
0.0,0.2857142857142857,0,703,1,4
0.5,0.5,0,830,0,5
0.25,0.42857142857142855,0.8,1135,1,11
0.5,0.625,1.0,918,0,14
1.0,0.6666666666666666,1.0,829,0,8
1.0,0.42857142857142855,0.0,1305,1,8
0.0,0.0,0,652,0,0
0,1.0,0,243,0,2
1.0,0.6666666666666666,0,390,0,5
0.0,0.3333333333333333,0,482,0,2
0.6666666666666666,0.6,0,893,1,8
0.625,0.6,1.0,1473,0,21
0.3333333333333333,0.45454545454545453,0,1152,0,12
0.7142857142857143,0.7142857142857143,0,1358,0,15
0.5,0.42857142857142855,1.0,1479,0,8
0.25,0.5714285714285714,0,1304,0,9
0.3333333333333333,0.42857142857142855,0,1103,0,7
0,0.0,0,515,0,0
0.3333333333333333,0.5,0.6666666666666666,1625,1,13
0.6666666666666666,0.8333333333333334,0.6666666666666666,1304,0,14
0.5,0.42857142857142855,1.0,1345,0,8
0.2857142857142857,0.5384615384615384,0,1804,0,16
0.3333333333333333,0.5,0,1063,0,5
0.2857142857142857,0.42105263157894735,1.0,2271,1,21
0.8,0.38461538461538464,1.0,2194,0,15
0.4,0.36363636363636365,0.6666666666666666,1675,0,12
0,0.0,0.75,736,0,3
0.0,0.0,0.5,652,0,1
0.5,0.6666666666666666,1.0,690,0,10
0.0,0.0,1.0,771,0,2
0.3333333333333333,0.5,0,829,1,5
0.5,0.6666666666666666,1.0,1299,0,7
1.0,1.0,1.0,911,0,5
0.3333333333333333,0.4,0.6666666666666666,1603,1,12
0.0,0.2,0,1275,0,4
0.6666666666666666,0.5,0,683,0,6
0.5,0.6,0.8,1530,0,11
0.3333333333333333,0.4,1.0,952,0,6
0.3333333333333333,0.5,0,1861,0,10
0.8,0.5833333333333334,0.0,1536,2,18
0.5,0.5,1.0,1990,0,16
0.5,0.6470588235294118,1.0,1828,0,29
0.42857142857142855,0.5,0,2192,0,17
0.16666666666666666,0.2,1.0,1672,0,7
0.14285714285714285,0.38461538461538464,0.5,1634,0,12
0.3333333333333333,0.4444444444444444,0,1791,0,10
0.0,0.3333333333333333,0.5,1295,0,5
0.16666666666666666,0.25,0.0,2276,1,7
0.4444444444444444,0.4666666666666667,1.0,1467,1,23
0.5,0.46153846153846156,0.5,2170,0,16
0.5,0.375,0,2715,1,15
0.2,0.3,0,1819,0,7
0.25,0.4,0,1842,0,10
0.0,0.13333333333333333,1.0,2031,1,6
0.5714285714285714,0.5454545454545454,1.0,2429,0,22
0.25,0.35714285714285715,1.0,1519,0,14
0.0,0.0,0,1298,0,0
0.5,0.4,0,1649,0,11
0.16666666666666666,0.18181818181818182,0,1476,0,5
0.2,0.3333333333333333,0,837,0,5
0.7142857142857143,0.6923076923076923,0.8333333333333334,1732,0,28
0.6,0.6363636363636364,0.8333333333333334,2301,0,22
0.3333333333333333,0.6666666666666666,0.6666666666666666,1511,0,20
0.0,0.0,1.0,915,1,2
0.0,0.2727272727272727,0.0,1641,0,6
0.25,0.4166666666666667,1.0,1606,0,12
0.6666666666666666,0.7142857142857143,0.7142857142857143,1444,0,17
0.0,0.6666666666666666,1.0,995,0,6
0.14285714285714285,0.18181818181818182,0,1259,1,5
0.42857142857142855,0.5,0,1683,0,15
0.2,0.3333333333333333,0.75,1880,0,10
0.6,0.7,0,1653,1,17
0.3333333333333333,0.3333333333333333,0,1278,0,5
0.0,0.0,0,724,0,0
0.0,0.4,0,733,1,4
0.2857142857142857,0.4166666666666667,1.0,1593,0,20
0.8,0.5,1.0,2155,0,16
0.6,0.4,0.75,2112,0,18
0.16666666666666666,0.2,1.0,1073,0,7
0,0,0,285,0,0
0.5,0.8,0,628,0,9
0.3333333333333333,0.2857142857142857,1.0,669,0,7
0.5714285714285714,0.5333333333333333,0,1603,0,20
0.6,0.4166666666666667,0.75,1708,0,16
0.5,0.4166666666666667,0.6666666666666666,1495,0,15
0.5,0.5454545454545454,1.0,1341,1,15
0.0,0.125,0,1055,0,2
0.0,0.16666666666666666,1.0,935,0,3
0.0,0.5,1.0,653,0,6
0.375,0.6428571428571429,0.75,1741,0,24
0.3333333333333333,0.4,0.5,1322,0,6
0,0.0,1.0,524,0,2
0.25,0.2857142857142857,0,877,0,5
0,0.6666666666666666,0,758,0,4
0.14285714285714285,0.2857142857142857,1.0,1540,0,11
