@relation Tony_Snell
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.0,0.0,0,404,0,0
0,0,0,65,0,0
0,0.0,0,217,0,0
0,0,0,30,0,0
0,0,1.0,78,0,2
0,0,0,22,0,0
0,1.0,0,75,0,2
0.0,0.5,1.0,1660,1,5
0.2,0.42857142857142855,1.0,1542,0,9
0.6,0.5555555555555556,0,2218,1,13
0.6,0.5833333333333334,0.25,2105,1,18
0.5,0.5,0,1338,0,6
0.5,0.42857142857142855,0,1700,0,8
0.0,0.25,1.0,2547,0,8
0.2,0.42857142857142855,0,2258,2,13
0.25,0.14285714285714285,0.5,2043,1,4
0.3333333333333333,0.3333333333333333,0,1268,0,6
0,0,0,301,0,0
0,1.0,0,311,0,2
0,0,0,344,0,0
0.18181818181818182,0.26666666666666666,0,2469,2,10
0.625,0.45454545454545453,1.0,2652,1,17
0.0,0.3333333333333333,0,1414,1,4
0.0,0.0,1.0,1326,0,2
0.5,0.6,0.5,1047,0,8
0.0,0.0,0,360,0,0
0,0,0,527,0,0
0.6666666666666666,0.7142857142857143,0,1241,0,12
0.0,0.3333333333333333,0,740,0,2
0.0,0.0,0,1021,0,0
0.5,0.5555555555555556,0.0,949,0,12
0.42857142857142855,0.5,0,2070,1,15
0.25,0.375,0.5,1537,0,8
0.42857142857142855,0.3333333333333333,1.0,1777,0,13
0.3333333333333333,0.2857142857142857,0,1402,0,6
0.0,0.0,0,1109,1,0
0.3333333333333333,0.4,0,1244,1,5
0.6,0.375,0,1500,1,9
0.0,0.14285714285714285,0,1441,0,2
0,0.0,0,390,0,0
0.0,0.0,0.5,538,1,1
0.3333333333333333,0.4444444444444444,1.0,1782,0,11
1.0,1.0,0,537,0,5
0.4,0.5,0,1093,0,8
0.0,0.3333333333333333,0,1037,0,4
0.5,0.5,0,811,0,5
0.0,0.0,0,368,0,0
0.0,0.0,0,373,0,0
0.75,0.5,1.0,2213,0,20
0.2857142857142857,0.2,0,2253,0,6
0.5,0.5,1.0,2097,1,10
0.5,0.4,1.0,1099,1,6
0,0.0,0,214,0,0
0.0,0.5,0,679,0,4
0,0.5,0,391,0,2
0,0,0,120,0,0
0,0.0,0,636,0,0
0.0,0.0,0,885,0,0
1.0,0.5,0.75,1175,0,6
0.0,0.4,0,886,0,4
0.0,0.0,0,328,0,0
0,1.0,0,383,0,2
0.5,0.3333333333333333,0,553,0,3
0.0,0.0,0,159,1,0
0.0,0.0,0,91,0,0
0.0,0.0,0,1075,0,0
0,1.0,0,766,0,4
0,1.0,0,313,0,2
0,0,0,290,0,0
0.6666666666666666,0.6666666666666666,0,805,0,6
0.0,0.2,0,500,0,2
0.0,0.0,0.5,522,0,1
0,0,0,239,0,0
0,0,0,435,0,0
0,0,0,174,0,0
0.5,0.625,1.0,1119,1,13
0.0,0.0,0,165,0,0
0.0,0.25,1.0,1019,0,3
0.4,0.375,1.0,1376,1,10
0,0.0,0,452,0,0
0,1.0,1.0,881,1,4
0,0,0,22,0,0
1.0,1.0,0,459,0,3
0,0.0,0,409,0,0
0.3333333333333333,0.25,0,739,1,3
0.0,0.5,0,353,0,2
0.5,0.75,1.0,1860,0,9
0.5,0.6666666666666666,0,972,0,5
0,0,0,15,0,0
0,0.0,0,247,0,0
0,0,0,349,0,0
0,0,0,334,0,0
0,0,0,342,0,0
0,0,0,255,0,0
0,0.0,0,194,0,0
0,0.0,0,129,0,0
0,0.0,0,512,0,0
0.0,0.0,0,370,0,0
0,0.0,0,563,0,0
0.0,0.0,0,349,1,0
0,0.0,0,254,0,0
0,0,0,144,0,0
1.0,1.0,0,664,1,9
0,0,0,316,0,0
0.0,0.25,0.5,804,1,3
1.0,0.6666666666666666,0,732,2,5
0.5,0.5,0.5,1111,0,9
0.0,0.14285714285714285,0,1891,3,2
0.5,0.6666666666666666,0,1338,2,5
0.2,0.3333333333333333,0,1957,1,7
0.5,0.625,0,1367,1,12
0.0,0.36363636363636365,0.8,2068,1,12
0.5,0.5714285714285714,0,1832,0,10
0.25,0.42857142857142855,0,1335,0,7
0.0,0.375,1.0,1373,0,8
0.2,0.3333333333333333,0.3333333333333333,1407,1,10
0,0.5,0,1192,0,2
0.8333333333333334,0.7,0,1733,0,19
0.2857142857142857,0.3333333333333333,0,2195,0,8
0.6666666666666666,0.8181818181818182,1.0,2455,0,24
0.6666666666666666,0.8181818181818182,0,2273,0,22
0.0,0.3333333333333333,0,916,0,2
0.5,0.5,0,1064,0,5
0.6666666666666666,0.6363636363636364,1.0,1878,0,20
0.5,0.5,0,1696,1,10
0.2857142857142857,0.3333333333333333,1.0,1837,1,12
0.6,0.42857142857142855,1.0,2006,3,13
0.0,0.2857142857142857,0,1745,1,4
0.6666666666666666,0.4,1.0,1513,1,8
0.0,0.0,0,1737,0,0
0.5714285714285714,0.5384615384615384,0.75,2270,0,21
0.25,0.2222222222222222,0.7142857142857143,2729,2,10
0.5555555555555556,0.4166666666666667,1.0,2172,0,17
0.3333333333333333,0.3,0,2268,0,8
0.0,0.625,0,2038,0,10
0.0,0.125,0,2164,0,2
0.0,0.0,0,977,0,0
0.6,0.7777777777777778,0,1050,0,17
0.0,0.42857142857142855,0,1469,2,6
0.0,0.0,0.3333333333333333,675,0,1
0.0,0.0,0,577,0,0
0.0,0.3333333333333333,0,356,0,2
0,0,0,27,0,0
0.3333333333333333,0.25,1.0,2273,1,7
0.75,0.8,0,779,0,11
0.0,0.3333333333333333,0,1650,1,6
0.0,0.3333333333333333,1.0,1437,0,5
0.0,0.2857142857142857,0,871,0,4
0.3333333333333333,0.3333333333333333,0,801,0,3
0,0.0,0,446,1,0
0.0,0.0,0,1458,0,0
0.5,0.4,0,720,0,5
0.5,0.3333333333333333,0,830,0,3
0,0.0,0,28,0,0
0.3333333333333333,0.42857142857142855,0,1026,0,7
0.0,0.0,0,284,0,0
1.0,0.3333333333333333,1.0,326,0,5
0.4,0.4444444444444444,0.5,1728,0,11
0.5,0.42857142857142855,1.0,1305,0,10
0.0,0.4,0,1805,1,4
0.5,0.5,0,1589,0,8
0,0.0,0,1501,0,0
0.3333333333333333,0.25,1.0,644,0,5
0.6666666666666666,0.5,0,1676,0,14
0.3333333333333333,0.14285714285714285,0,1039,0,3
0.5,0.4,0,1719,0,6
0.0,0.0,0,1136,0,0
0.0,0.14285714285714285,0,1701,1,2
0.2,0.16666666666666666,1.0,838,0,5
0.5,0.2857142857142857,0,959,0,6
