@relation Tristan_Thompson
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.6153846153846154,0.5,2091,3,18
0,0.5454545454545454,0.9,2080,4,21
0,0.2,0,2128,1,2
0,0.38461538461538464,0.6666666666666666,2246,3,12
0,0.2,0.75,2099,3,5
0,0.3333333333333333,0.75,2120,9,13
0,0.6,0.875,2909,6,19
0,0.5454545454545454,0.5,2310,4,14
0,0.42857142857142855,0.8,1439,2,10
0,0.4,0.5,2413,4,15
0,0.5454545454545454,1.0,1946,3,15
0,0.0,1.0,1411,2,2
0,0.6,0,1366,3,12
0,0.125,0.75,1594,3,5
0,0.16666666666666666,0.5,1402,3,4
0,0.16666666666666666,0,1519,3,2
0.0,0.5714285714285714,0.75,2187,2,14
0,0.46153846153846156,0.8333333333333334,2069,9,17
0,0.4444444444444444,0.5,2096,3,9
0,0.4666666666666667,0.5454545454545454,2418,5,20
0,0.625,1.0,1787,4,12
0,0.42857142857142855,0,1677,1,6
0,0.42857142857142855,0.5714285714285714,1541,2,16
0,0.6363636363636364,0.25,2016,4,15
0,0.3333333333333333,0.6666666666666666,1727,9,10
0,0.4166666666666667,0,1456,3,10
0,0.6,0.5555555555555556,1776,3,17
0,0.6153846153846154,0.75,2806,2,22
0,0.6,0.5,1572,2,7
0,0.5714285714285714,1.0,2398,4,17
0,0.2727272727272727,0.25,2211,4,7
0,0.46153846153846156,0.5,2439,3,16
0,0.375,0.75,2161,5,9
0,0.4,1.0,2128,2,13
0,0.45454545454545453,0.5,1747,5,12
0,0.75,0,2092,5,18
0,0.4,1.0,1438,0,6
0,0.4,0.5,2238,4,15
0,0.5,1.0,2297,3,10
0,0.8888888888888888,0.6666666666666666,2236,3,20
0,0.5454545454545454,0.7,2363,8,19
0,0.21428571428571427,0.0,2203,5,6
0,0.5,0.3333333333333333,1465,5,14
0,0.6666666666666666,0.7142857142857143,2330,4,17
0,0.2,0.25,1907,2,5
0,0.2,0,1348,0,2
0,0.3333333333333333,1.0,2122,3,6
0,0.5,0.875,2326,3,17
0,0.5,0.625,1227,5,13
0,0.5,0,2142,1,10
0,0.25,0.0,1749,0,4
0,0.5,0.75,1804,6,16
0,0.75,0.3333333333333333,2047,6,25
0,0.4444444444444444,1.0,1582,3,12
0,0.5555555555555556,0.6666666666666666,2355,1,16
0,0.6,0.3333333333333333,2025,3,13
0,0.4444444444444444,0.6,1904,4,11
0,0.4,0.8333333333333334,1841,3,13
0,0.6666666666666666,1.0,2183,3,11
0,0.6923076923076923,0,1955,6,18
0,0.8,0.6666666666666666,1759,1,18
0,0.25,0.5,1788,2,5
0,0.5555555555555556,0,1876,3,10
0,0.375,1.0,2212,1,8
0,0.42857142857142855,0.7,1852,2,13
0,0.14285714285714285,1.0,1561,1,4
0,0.16666666666666666,0.0,1186,0,2
0,0.75,0.6666666666666666,1270,1,10
0,0.25,0.5,1892,3,5
0,0.5,1.0,1512,3,10
