@relation Tyler_Zeller
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0,0,240,0,0
0,0.0,0,516,1,0
0,0.6666666666666666,1.0,1068,0,6
0,0,0,51,0,0
0,0,0,105,0,0
0,0,0,290,0,0
0,0,0,128,0,0
0,1.0,0,252,1,2
0,0.6,1.0,880,1,8
0,0.3333333333333333,0.5,837,1,5
0,1.0,0,874,0,4
0,0.0,1.0,337,1,2
0,0.6666666666666666,0,435,2,4
0,0,0.5,98,0,1
0,0.6,0,779,2,6
0,0.8571428571428571,1.0,834,2,13
0,0.0,0,645,1,0
0,0.4,0.5,1291,4,5
0,0.4,1.0,1088,0,6
0,0.6,0.5,987,0,7
0,0,0,853,1,0
0,0.5,0,374,2,2
0,0.2,1.0,1255,3,4
0,0.8,1.0,1086,1,9
0,0.5,0.5,1326,1,10
0,0.75,0.0,774,0,6
0,0.4,0.6666666666666666,990,2,8
0,1.0,0.0,521,1,6
0,0.25,0.5,1017,5,4
0,0,0,566,1,0
0,0.6666666666666666,0.0,939,2,4
0,0.5,1.0,1296,4,8
0,1.0,0,782,2,2
0,0.5,1.0,1285,4,13
0,0.3333333333333333,0,868,1,2
0,0.6666666666666666,0,1641,0,4
0,1.0,0,209,1,2
0,0,0,321,0,0
0,0.5,1.0,993,3,8
0,0.3333333333333333,0.5,1462,3,5
0,0.6,0,1095,1,6
0,0.6666666666666666,0,1302,0,8
0.0,0.42857142857142855,0.8571428571428571,1516,6,18
0,0.8,0.8888888888888888,1844,1,16
0,0.6666666666666666,0,1217,3,8
0,0.42857142857142855,0,861,2,6
0,0.5,1.0,1468,3,8
0,0.6666666666666666,1.0,990,1,8
0,0.4166666666666667,0,1380,3,10
0,0.5,0.75,1478,2,9
0,0.0,0.5,917,0,1
0,0.4,0.5,1004,4,5
0,0,0,226,0,0
0,0.3333333333333333,0.5,910,1,3
0,0.6,1.0,744,0,7
0,0.25,0,1253,2,4
0,1.0,0.5,816,1,3
0,0.5,1.0,862,1,6
0,0.625,0.6,1817,3,23
0,0.0,0,748,0,0
0,1.0,0.75,534,1,5
0,0.4,0,582,0,4
0,0.0,0,293,0,0
0,0.3333333333333333,0.5,985,1,3
0,0.6666666666666666,0,1119,1,4
0,0.3333333333333333,1.0,1006,2,5
0,0.8181818181818182,0,1428,3,18
0,0.625,0.5,1124,2,11
0,0.5,0.5714285714285714,1578,2,12
0,0.8181818181818182,0.8,1575,4,22
0,0.75,0,362,0,6
0,1.0,0.8,1169,1,8
0,1.0,1.0,496,1,6
0,0,0,340,0,0
0,1.0,0.6666666666666666,719,1,6
0,0.8,1.0,1270,1,10
0,1.0,0,924,1,2
0,0.8,0,898,0,8
0,0.8888888888888888,0.75,1637,3,19
0,0.0,0.5,462,1,1
0,0.42857142857142855,1.0,1004,4,8
0,0.2,0.0,681,3,2
0,0.6666666666666666,1.0,1014,0,6
0,0.4,1.0,1371,4,7
0,0.5,0.8,1451,0,8
0,0.6666666666666666,0,1649,4,8
0,0.9090909090909091,1.0,1868,1,24
0,0.3333333333333333,1.0,1641,1,8
0,0.5714285714285714,1.0,1342,0,10
0,0.6666666666666666,1.0,1595,2,13
0,0.6428571428571429,0.5,1492,4,19
0,0.16666666666666666,0.75,942,2,5
0,0.8,1.0,1212,2,10
0,0.7777777777777778,0,1467,0,14
0,0.6666666666666666,0.6666666666666666,1470,5,22
0,0.6666666666666666,1.0,1766,1,22
0,0.6666666666666666,1.0,1414,2,14
0,0.16666666666666666,0.5,715,3,3
0,0.6,1.0,1058,0,7
0,0.7777777777777778,0.75,1512,2,17
0,0.8,1.0,1662,0,10
0,0.2,0,948,0,2
0,0.5,1.0,1884,3,18
0,0.5,1.0,970,1,7
0,0.3333333333333333,0,1303,1,6
0,0.1111111111111111,0,1264,2,2
0,0.0,1.0,976,1,2
0,0.625,1.0,1134,0,12
0,0.375,0.5,1114,4,7
0,0.5,1.0,972,1,7
0,0.5,0.5,1385,1,11
0,0.46153846153846156,0.75,1236,4,15
0,0.75,1.0,1751,1,14
0,0.75,0,1192,1,6
0,0.25,0.75,1083,4,7
0,0.46153846153846156,0.625,1897,3,17
0,1.0,0.75,668,4,9
0,0.5,0.6666666666666666,1594,1,14
0,0.6,0.6666666666666666,1553,4,16
0,0.5,1.0,1024,1,10
0,0.4,1.0,1013,3,6
0,0.5,0,2147,5,8
0,0.38461538461538464,0.6666666666666666,2166,2,12
0,0.5714285714285714,0,1047,1,8
0,0.375,1.0,1449,3,7
0,0.5384615384615384,1.0,1640,3,17
0,0.5,0.0,1788,3,8
0,0.42857142857142855,0,861,1,6
0,0.3333333333333333,0,1390,2,6
0,0.6,0,891,2,6
0,0.375,1.0,1392,3,12
0,0.25,0.5,1164,4,5
0,0.8,0.5,1564,1,18
0,0.5625,1.0,1853,4,22
0,0.7333333333333333,1.0,1693,0,26
0,0.2857142857142857,0.5,1377,3,5
0,0.4,1.0,1197,2,10
0,0.6923076923076923,0,1807,1,18
0,0.8,1.0,1129,3,10
0,0.3333333333333333,0,740,1,2
0,0.5833333333333334,1.0,1247,0,16
0,0.4444444444444444,0,1538,1,8
0,0.8888888888888888,1.0,1417,0,19
0,0.3333333333333333,1.0,1420,2,8
0,0.8,0.6666666666666666,1480,2,20
0,0.2857142857142857,1.0,1278,2,6
0,0.5555555555555556,0.75,1091,1,13
0,0.8333333333333334,0,1137,0,10
0,0.45454545454545453,1.0,1582,4,12
0,0.5714285714285714,0,845,2,8
0,0.6,0,926,0,6
0,0.625,0.5,1822,2,11
0,0.5714285714285714,0,925,0,8
0,0.5,1.0,639,0,6
0,0.5,1.0,989,0,10
0,0.0,0,388,0,0
0,0.0,0,209,1,0
0,0.75,0.5,272,1,7
0,1.0,1.0,377,0,5
0,0.5,0.75,821,1,9
0,0.6,0,566,1,6
0,1.0,0.5,421,1,5
0,0,1.0,324,0,2
0,0,1.0,352,0,2
0,0.0,1.0,356,0,1
