@relation Will_Barton
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0.0,0,82,0,0
0.0,0.0,0,71,0,0
0,0.0,0,84,0,0
0,1.0,0,59,0,2
0,0,0,436,0,0
0,1.0,1.0,313,0,4
0.0,0.2857142857142857,0,720,0,4
0.0,0.3333333333333333,0,685,1,2
1.0,0.8,0,527,1,10
0.5,0.3333333333333333,0,529,0,3
0.0,0.0,0,73,0,0
0.5,0.3333333333333333,1.0,505,1,5
0,1.0,0,221,0,2
0,1.0,0,56,0,2
0.0,0.0,0,95,0,0
0,0.0,0,92,1,0
0,0.6,1.0,1056,1,8
0.3333333333333333,0.3333333333333333,0,886,0,5
0,0.0,0,432,0,0
0.0,0.6153846153846154,1.0,1705,3,20
1.0,1.0,1.0,776,0,7
0,0.0,0,298,0,0
0.5,0.5714285714285714,0,720,0,9
0,0,0,55,0,0
0,0.75,0,347,0,6
0.0,0.14285714285714285,0,1007,0,2
0.0,0.25,1.0,974,2,6
0,1.0,1.0,675,0,3
0,0.3333333333333333,0.5,762,0,3
0,0,0,273,0,0
0.0,0.5,0,574,0,4
0,0.375,0.5,942,1,7
0.0,0.2,0.0,967,0,2
0,0.0,0,588,0,0
0,0.4,0,527,1,4
0,0.5714285714285714,0,676,2,8
0.0,0.5,0,536,0,2
0,0.0,0,315,0,0
0.0,0.3333333333333333,0.5,793,0,5
0,0.75,1.0,644,0,8
0.42857142857142855,0.35,0.75,2124,2,23
0,0,0,140,0,0
0.0,0.4,0,939,0,4
0.0,0.2,0.0,709,0,2
0.0,0.0,0,687,0,0
0,0.0,0,570,0,0
1.0,0.3333333333333333,0,290,0,3
0.0,0.4,0.6666666666666666,952,0,6
0,0.5714285714285714,0,915,0,8
0,0.0,0,355,0,0
0,1.0,0,895,0,2
1.0,1.0,0,374,0,5
0.0,0.75,0,294,0,6
1.0,0.3333333333333333,0,486,0,3
0.0,0.3333333333333333,1.0,720,0,5
0,0.3333333333333333,0,720,0,4
0.0,0.6666666666666666,0,278,0,4
0,0.5,1.0,837,0,4
0,0.0,0,280,1,0
0,1.0,0,550,0,2
0,0.5,0,328,0,2
0,0.42857142857142855,0.0,928,1,6
0.0,0.3333333333333333,0.75,831,0,5
0,0.0,1.0,488,0,2
0.0,0.3333333333333333,0,1349,0,4
0.0,0.5,0,928,0,4
0,0.25,0,754,1,2
0.0,0.25,0,610,0,2
1.0,1.0,0,115,0,3
0.0,0.25,0,490,0,2
0.0,0.0,0,212,0,0
0.5,0.3,0,1504,0,8
0.3333333333333333,0.45454545454545453,1.0,1288,2,15
0.3333333333333333,0.5333333333333333,0.8333333333333334,1842,1,22
0.0,0.5,0.6666666666666666,1632,3,16
0.5,0.5454545454545454,0.75,1825,1,17
0.0,0.375,0,1697,0,6
0.0,0.5,0.6666666666666666,1197,0,10
0.0,0.46153846153846156,1.0,1627,0,17
0.25,0.35714285714285715,0.8333333333333334,1964,1,16
0,0.5,0.5,1184,0,6
0.5,0.625,1.0,2819,0,25
0.0,0.16666666666666666,0.5,1134,2,3
0.6,0.6666666666666666,0.875,2062,2,22
0.5,0.2,1.0,1389,0,5
1.0,0.4,1.0,1042,1,7
0.0,0.3,0.8333333333333334,1508,3,11
0.0,0.3333333333333333,1.0,1320,2,6
1.0,0.5555555555555556,0,1194,2,12
0.0,0.75,0,1494,0,12
0.5,0.5,0,1401,1,13
0.0,0.2222222222222222,0,1561,0,4
0.0,0.3333333333333333,0.75,1203,0,9
0.0,0.25,0,1320,0,4
0.0,0.25,0,620,1,2
0.0,0.3,0.8333333333333334,1539,1,11
0,0.6666666666666666,1.0,1285,0,16
0.5,0.5,0,1174,1,11
0.25,0.2857142857142857,0.8333333333333334,1781,1,14
0.3333333333333333,0.5,0.6666666666666666,1455,0,15
0.0,0.5,1.0,1288,1,10
0.0,0.42857142857142855,1.0,1216,1,12
0.5,0.4375,1.0,2349,0,19
0.0,0.6,0,1026,0,6
0.8,0.5714285714285714,0.8571428571428571,1843,0,26
0.5,0.5,0,2195,1,19
0.75,0.5833333333333334,0,2236,2,17
0.0,0.4,0.5,1300,1,9
0.25,0.5,1.0,1531,0,14
0.0,0.7,1.0,1649,1,19
0.0,0.0,0.5,1177,1,1
0.3333333333333333,0.5,0.5,1768,2,12
0.5,0.3076923076923077,1.0,1815,1,14
