@relation Will_Bynum
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0.5,0.5384615384615384,0.6666666666666666,2285,0,19
1.0,0.6363636363636364,0.6,1949,0,18
0.0,0.4,0,1024,1,4
0.5,0.3333333333333333,0,980,1,5
0,0.2857142857142857,1.0,755,0,8
0,0.42857142857142855,1.0,982,1,8
0,0.5,0.6,1258,0,14
0,0.0,0,456,1,0
0.0,0.25,0.75,758,0,5
0,0.14285714285714285,0,878,0,2
0,0.5,0.5,642,0,7
0,1.0,0,316,0,2
1.0,0.3333333333333333,0,799,0,5
0.0,0.4166666666666667,1.0,1400,0,11
0.3333333333333333,0.6153846153846154,1.0,1195,0,18
0.5,0.3,1.0,1628,1,10
0,0,1.0,536,0,2
0.25,0.2727272727272727,0,1278,1,7
0,0.4,1.0,1387,1,10
0,0.2857142857142857,0,824,0,4
0.3333333333333333,0.5454545454545454,0.75,2036,1,16
0,0.5454545454545454,1.0,1386,1,16
0,0.3333333333333333,0,1206,0,4
0,0.42857142857142855,1.0,1189,0,7
0.0,0.8333333333333334,1.0,1022,0,11
0,0.5,0,661,0,2
1.0,0.5,1.0,671,0,5
0.3333333333333333,0.42857142857142855,0,922,1,7
0.0,0.4,0.5,1379,1,6
0.5,0.5,1.0,885,0,5
0,0.0,0,188,0,0
0,0.5,0,935,0,8
0.0,0.5,1.0,1208,0,12
0.0,0.4,0.5,1205,0,9
1.0,0.5555555555555556,0.6,1255,0,14
0.0,0.5714285714285714,1.0,1374,0,9
0,0.5833333333333334,0.75,1893,2,17
0.0,0.36363636363636365,0,980,2,8
0,0.5,0,1837,0,18
0.0,0.6,0,1224,3,12
0.5,0.5,0.8333333333333334,1104,1,16
0.0,0.09090909090909091,1.0,975,0,4
1.0,0.42857142857142855,1.0,1281,3,17
0,0.4444444444444444,0.8333333333333334,1310,0,18
0.0,0.2857142857142857,0,1294,0,8
0.5,0.4444444444444444,0.6666666666666666,1305,0,12
0,0.5,0.0,944,0,4
1.0,0.5,0.75,1349,1,12
0.0,0.36363636363636365,0,1895,0,8
0.5,0.2857142857142857,1.0,1431,0,6
0.0,0.3333333333333333,0,997,0,2
0,0.0,1.0,406,1,2
0.3333333333333333,0.6,0.8333333333333334,900,0,12
0.0,0.18181818181818182,1.0,1103,0,5
0.0,0.5,1.0,1397,0,12
0,0.2,0,773,0,2
0,0.0,0,175,0,0
0,0,0,148,0,0
0.0,0.0,0,186,0,0
0.0,0.45454545454545453,0,1137,0,10
0.0,0.0,0.5,1083,0,1
0,0,0,17,0,0
0.0,0.3333333333333333,0.5,1256,2,11
0,0.0,0,252,0,0
0.5,0.3333333333333333,0.8,778,0,9
0,0.7142857142857143,0,859,2,10
