@relation Zach_LaVine
@attribute box_fg3p Numeric
@attribute box_fgp Numeric
@attribute box_ftp Numeric
@attribute box_minutes Numeric
@attribute box_oreb Numeric
@attribute box_pts Numeric
@data
0,0,0,274,0,0
0,0.5,1.0,502,0,4
0.5,0.4,0,1545,0,5
0.0,0.2222222222222222,1.0,2066,0,8
0.0,0.4166666666666667,1.0,1863,1,13
0.0,0.3333333333333333,0.0,1116,0,4
0.0,0.2,0,996,0,2
0.3333333333333333,0.375,0,1186,0,7
1.0,0.25,1.0,781,0,5
0.0,0.4166666666666667,0.6666666666666666,2193,1,12
1.0,0.7857142857142857,1.0,1530,0,28
0,0.0,0,648,0,0
0.0,0.36363636363636365,1.0,1441,0,10
0.0,0.5,0,887,0,6
0.5,0.5,0.8,2095,0,17
0.5,0.5333333333333333,0.8,2548,0,22
0.0,0.25,0.5,2468,1,9
0.0,0.4444444444444444,1.0,2133,0,10
0.25,0.2727272727272727,0.6666666666666666,1933,0,11
0.0,0.26666666666666666,1.0,2338,0,10
1.0,0.3333333333333333,0.5,2025,0,8
0.5,0.42857142857142855,0,1406,1,7
1.0,0.3333333333333333,1.0,966,0,9
0.0,0.5,0.0,1562,0,6
0.0,0.5714285714285714,0,1162,0,8
0.0,0.3333333333333333,0.8,1882,0,12
0.0,0.5714285714285714,0,1521,0,8
0,0.6,0,1243,0,6
0,0.5,1.0,1417,1,8
0.0,0.2222222222222222,0.5,1557,0,5
0.0,0.5,1.0,758,0,6
0.3333333333333333,0.25,1.0,1620,0,6
0.3333333333333333,0.5,1.0,1573,0,19
0,0,0,252,0,0
0,0.4,0,686,1,4
1.0,0.75,0,704,1,7
0.0,0.4444444444444444,0.3333333333333333,1360,0,9
0.0,0.3333333333333333,0,1287,0,2
1.0,0.2,0,816,0,3
0,1.0,0,428,0,2
0.5,0.3333333333333333,0.8,1350,1,11
1.0,0.7777777777777778,1.0,1435,1,17
1.0,0.5,0,1470,0,5
0,0.0,0,480,0,0
0.0,0.0,0,487,0,0
0,0.8333333333333334,0,1102,1,10
0,1.0,0,365,0,4
0,0.0,0.5,978,1,1
0.0,0.25,0,844,0,2
0.5,0.4,1.0,1069,0,7
1.0,0.6,1.0,585,1,9
0.0,0.5,0,600,0,6
0.3333333333333333,0.5555555555555556,0.75,1346,0,14
0.3333333333333333,0.25,0,597,1,3
0.0,0.5,1.0,748,0,8
0.5,0.2,0,836,0,3
0.0,0.25,1.0,1230,1,8
0.5,0.4,1.0,1548,0,9
0.75,0.5384615384615384,0.5,2534,1,18
0.3333333333333333,0.5384615384615384,1.0,2195,1,20
0,0.5,0.6666666666666666,656,1,6
0.6666666666666666,0.5333333333333333,0,1830,0,20
0.3333333333333333,0.4166666666666667,0,1850,0,11
0.8333333333333334,0.3684210526315789,0.8,2749,0,27
0.2,0.2777777777777778,0.875,2861,1,18
0.6666666666666666,0.25,1.0,2525,0,11
0.2,0.375,0.8,2251,1,17
0.16666666666666666,0.3684210526315789,0.8571428571428571,2606,2,21
0.25,0.5882352941176471,1.0,2177,0,22
0.0,0.35714285714285715,0.0,2375,1,10
0.0,0.5,0.8571428571428571,2285,1,18
0.4,0.5,1.0,1921,0,18
0.6,0.6190476190476191,1.0,2685,1,37
0.3333333333333333,0.3333333333333333,1.0,2703,0,24
0.2,0.375,1.0,2441,0,19
0.0,0.4,0,1196,1,8
0.0,0.5,1.0,1056,0,10
0.0,0.42857142857142855,1.0,961,0,10
1.0,0.2,0,1211,0,3
0.3333333333333333,0.3333333333333333,1.0,1158,1,8
0.25,0.47368421052631576,0.5,2194,1,20
0.0,0.2727272727272727,0.875,1533,1,13
0.5714285714285714,0.5,0,2405,1,26
0.5714285714285714,0.5333333333333333,0.8333333333333334,1049,1,25
0.4,0.4166666666666667,0.8333333333333334,1709,0,17
0.4,0.5,0,1782,0,14
0.4,0.46153846153846156,0,1571,1,14
0.0,0.3333333333333333,1.0,1492,0,12
0.4,0.5384615384615384,1.0,1613,1,18
0.16666666666666666,0.5,1.0,1754,1,19
0.6,0.4,1.0,1950,0,18
